Time	Referenz_left_y_baseline X
4.960000	-0.02925690	
4.980000	-0.02942821	
5.000000	-0.02942821	
5.020000	-0.02942821	
5.040000	-0.02942821	
5.060000	-0.02930237	
5.080000	-0.02917638	
5.100000	-0.02873251	
5.120000	-0.02841449	
5.140000	-0.02751227	
5.160000	-0.02561975	
5.180000	-0.02049823	
5.200000	-0.01399526	
5.220000	-0.00516365	
5.240000	0.00325273	
5.260000	0.01242428	
5.280000	0.01984513	
5.300000	0.02787188	
5.320000	0.03407720	
5.340000	0.03950226	
5.360000	0.04165168	
5.380000	0.04388379	
5.400000	0.04502773	
5.420000	0.04572847	
5.440000	0.04547395	
5.460000	0.04328530	
5.480000	0.04090342	
5.500000	0.03564395	
5.520000	0.02788368	
5.540000	0.01284623	
5.560000	-0.00679559	
5.580000	-0.02192365	
5.600000	-0.02928318	
5.620000	-0.02898704	
5.640000	-0.02880512	
5.660000	-0.02874532	
5.680000	-0.02891849	
5.700000	-0.02904044	
5.720000	-0.02905476	
5.740000	-0.02905476	
5.760000	-0.02910158	
5.780000	-0.02910158	
5.800000	-0.02911539	
5.820000	-0.02906874	
5.840000	-0.02906874	
5.860000	-0.02902174	
5.880000	-0.02903622	
5.900000	-0.02902174	
5.920000	-0.02903622	
5.940000	-0.02902174	
5.960000	-0.02903622	
5.980000	-0.02902174	
6.000000	-0.02903622	
6.020000	-0.02902174	
6.040000	-0.02903622	
6.060000	-0.02902174	
6.080000	-0.02903622	
6.100000	-0.02871820	
6.120000	-0.02841449	
6.140000	-0.02780925	
6.160000	-0.02602941	
6.180000	-0.01986317	
6.200000	-0.00942372	
6.220000	0.00406095	
6.240000	0.01488042	
6.260000	0.02350686	
6.280000	0.02853692	
6.300000	0.03407249	
6.320000	0.03731462	
6.340000	0.04037079	
6.360000	0.04120091	
6.380000	0.04217555	
6.400000	0.04239470	
6.420000	0.04244001	
6.440000	0.04226652	
6.460000	0.04050992	
6.480000	0.03849158	
6.500000	0.03274107	
6.520000	0.02333386	
6.540000	0.00693217	
6.560000	-0.01071370	
6.580000	-0.02340868	
6.600000	-0.02868871	
6.620000	-0.02885228	
6.640000	-0.02874549	
6.660000	-0.02860516	
6.680000	-0.02860516	
6.700000	-0.02858715	
6.720000	-0.02858715	
6.740000	-0.02876031	
6.760000	-0.02893330	
6.780000	-0.02893330	
6.800000	-0.02876014	
6.820000	-0.02858715	
6.840000	-0.02860534	
6.860000	-0.02860516	
6.880000	-0.02862336	
6.900000	-0.02860516	
6.920000	-0.02860516	
6.940000	-0.02858715	
6.960000	-0.02858715	
6.980000	-0.02858715	
7.000000	-0.02860534	
7.020000	-0.02860516	
7.040000	-0.02860516	
7.060000	-0.02783957	
7.080000	-0.02522272	
7.100000	-0.01851727	
7.120000	-0.00803772	
7.140000	0.00522274	
7.160000	0.01544440	
7.180000	0.02369216	
7.200000	0.02792208	
7.220000	0.03323731	
7.240000	0.03670602	
7.260000	0.04097654	
7.280000	0.04312594	
7.300000	0.04531106	
7.320000	0.04607312	
7.340000	0.04737136	
7.360000	0.04793313	
7.380000	0.04796244	
7.400000	0.04742207	
7.420000	0.04416695	
7.440000	0.03796938	
7.460000	0.02488545	
7.480000	0.00611232	
7.500000	-0.01276204	
7.520000	-0.02473085	
7.540000	-0.02811211	
7.560000	-0.02792919	
7.580000	-0.02808988	
7.600000	-0.02843386	
7.620000	-0.02862084	
7.640000	-0.02846368	
7.660000	-0.02793542	
7.680000	-0.02756415	
7.700000	-0.02443825	
7.720000	-0.01950151	
7.740000	-0.01006433	
7.760000	0.00019100	
7.780000	0.01208131	
7.800000	0.02229993	
7.820000	0.03151004	
7.840000	0.03712361	
7.860000	0.04167391	
7.880000	0.04370978	
7.900000	0.04559085	
7.920000	0.04559237	
7.940000	0.04293762	
7.960000	0.03921792	
7.980000	0.03347163	
8.000000	0.03029148	
8.020000	0.02537109	
8.040000	0.01782963	
8.059999	0.00129586	
8.080000	-0.01468724	
8.099999	-0.02619702	
8.120000	-0.02868871	
8.139999	-0.02915953	
8.160000	-0.02935190	
8.179999	-0.02933691	
8.200000	-0.02916981	
8.220000	-0.02902022	
8.240000	-0.02906318	
8.260000	-0.02833952	
8.280000	-0.02758825	
8.300000	-0.02283259	
8.320000	-0.01611367	
8.340000	-0.00404666	
8.360000	0.00639279	
8.380000	0.01787528	
8.400000	0.02562730	
8.420000	0.03311501	
8.440000	0.03724404	
8.460000	0.04091185	
8.480000	0.04246713	
8.500000	0.04294537	
8.520000	0.04226685	
8.540000	0.04009454	
8.559999	0.03840028	
8.580000	0.03388922	
8.599999	0.02822074	
8.620000	0.01635537	
8.639999	0.00034969	
8.660000	-0.01604781	
8.679999	-0.02602032	
8.700000	-0.02886795	
8.720000	-0.02869125	
8.740000	-0.02867608	
8.760000	-0.02884352	
8.780000	-0.02885228	
8.800000	-0.02874549	
8.820000	-0.02839865	
8.840000	-0.02819213	
8.860000	-0.02528471	
8.880000	-0.02008973	
8.900000	-0.01022369	
8.920000	-0.00087039	
8.940000	0.00824758	
8.960000	0.01269446	
8.980000	0.01685314	
9.000000	0.01873522	
9.020000	0.02100657	
9.040000	0.02159698	
9.059999	0.02300505	
9.080000	0.02402350	
9.099999	0.02534042	
9.120000	0.02583937	
9.139999	0.02603696	
9.160000	0.02573544	
9.179999	0.02502812	
9.200000	0.02391519	
9.220000	0.01749796	
9.240000	0.00536509	
9.260000	-0.01186521	
9.280000	-0.02379106	
9.300000	-0.02942736	
9.320000	-0.02925925	
9.340000	-0.02925925	
9.360000	-0.02942736	
9.380000	-0.02936842	
9.400000	-0.02914134	
9.420000	-0.02886862	
9.440000	-0.02882332	
9.460000	-0.02796657	
9.480000	-0.02692169	
9.500000	-0.02227031	
9.520000	-0.01576009	
9.540000	-0.00594728	
9.559999	0.00184922	
9.580000	0.00874013	
9.599999	0.01230468	
9.620000	0.01672612	
9.639999	0.01936790	
9.660000	0.02264659	
9.679999	0.02347839	
9.700000	0.02440099	
9.719999	0.02447712	
9.740000	0.02501567	
9.760000	0.02547821	
9.780000	0.02602333	
9.800000	0.02604420	
9.820000	0.02486776	
9.840000	0.02173242	
9.860000	0.01482956	
9.880000	0.00349699	
9.900000	-0.01193631	
9.920000	-0.02354008	
9.940000	-0.02911338	
9.960000	-0.02871011	
9.980000	-0.02830668	
10.000000	-0.02842914	
10.020000	-0.02842914	
10.040000	-0.02842914	
10.059999	-0.02830668	
10.080000	-0.02830668	
10.099999	-0.02830668	
10.120000	-0.02814041	
10.139999	-0.02752507	
10.160000	-0.02690990	
10.179999	-0.02258193	
10.200000	-0.01627067	
10.219999	-0.00609432	
10.240000	0.00229257	
10.260000	0.01015560	
10.280000	0.01415341	
10.300000	0.01710024	
10.320000	0.01828142	
10.340000	0.02018926	
10.360000	0.02118312	
10.380000	0.02409087	
10.400000	0.02627161	
10.420000	0.02824146	
10.440000	0.02815521	
10.460000	0.02733757	
10.480000	0.02660581	
10.500000	0.02269410	
10.520000	0.01666868	
10.540000	0.00471200	
10.559999	-0.01021476	
10.580000	-0.02233449	
10.599999	-0.02852279	
10.620000	-0.02840589	
10.639999	-0.02825126	
10.660000	-0.02809645	
10.679999	-0.02809645	
10.700000	-0.02767651	
10.719999	-0.02725673	
10.740000	-0.02388085	
10.760000	-0.01872076	
10.780000	-0.00994119	
10.800000	-0.00282255	
10.820000	0.00505699	
10.840000	0.01072109	
10.860000	0.01682197	
10.880000	0.02031392	
10.900000	0.02477477	
10.920000	0.02750398	
10.940000	0.03043635	
10.960000	0.03099594	
10.980000	0.03244206	
11.000000	0.03333822	
11.020000	0.03469339	
11.040000	0.03518391	
11.059999	0.03550160	
11.080000	0.03536011	
11.099999	0.03367646	
11.120000	0.03125770	
11.139999	0.02470706	
11.160000	0.01313362	
11.179999	-0.00566226	
11.200000	-0.02032624	
11.219999	-0.02848490	
11.240000	-0.02852279	
11.259999	-0.02856070	
11.280000	-0.02856070	
11.300000	-0.02856070	
11.320000	-0.02856070	
11.340000	-0.02856070	
11.360000	-0.02856070	
11.380000	-0.02825917	
11.400000	-0.02795765	
11.420000	-0.02442713	
11.440000	-0.01772825	
11.460000	-0.00742608	
11.480000	0.00234817	
11.500000	0.01142688	
11.520000	0.01704550	
11.540000	0.02154124	
11.559999	0.02369334	
11.580000	0.02750972	
11.599999	0.02982101	
11.620000	0.03406407	
11.639999	0.03649966	
11.660000	0.03926577	
11.679999	0.03965050	
11.700000	0.03956342	
11.719999	0.03906767	
11.740000	0.03786528	
11.759999	0.03713454	
11.780000	0.03464960	
11.800000	0.03107174	
11.820000	0.02231711	
11.840000	0.00932683	
11.860000	-0.00899452	
11.880000	-0.02213858	
11.900000	-0.02904566	
11.920000	-0.02880310	
11.940000	-0.02856070	
11.960000	-0.02856070	
11.980000	-0.02856070	
12.000000	-0.02856070	
12.020000	-0.02856070	
12.040000	-0.02856070	
12.059999	-0.02804945	
12.080000	-0.02753837	
12.099999	-0.02333795	
12.120000	-0.01743969	
