Time	Referenz_left_y_velocity X
10.300000	0.14012977	
10.320000	0.09973877	
10.340000	0.09397836	
10.360000	0.09668012	
10.380000	0.09179676	
10.400000	0.07197308	
10.420000	0.04691486	
10.440000	-0.00168333	
10.460000	-0.07093633	
10.480000	-0.16998512	
10.500000	-0.30537993	
10.520000	-0.44232309	
10.540000	-0.51539469	
10.559999	-0.49344715	
10.580000	-0.39763799	
10.599999	-0.25423178	
10.620000	-0.11115678	
10.639999	-0.01473091	
10.660000	0.01279991	
10.679999	0.02367831	
10.700000	0.06409794	
10.719999	0.13624386	
10.740000	0.21614560	
10.760000	0.28951374	
10.780000	0.34001091	
10.800000	0.35703617	
10.820000	0.33198741	
10.840000	0.28914821	
10.860000	0.25028318	
10.880000	0.21113683	
10.900000	0.16887492	
10.920000	0.12986313	
10.940000	0.10289757	
10.960000	0.07782886	
10.980000	0.05874129	
11.000000	0.04555444	
11.020000	0.03906723	
11.040000	0.01810329	
11.059999	-0.01176887	
11.080000	-0.06279825	
11.099999	-0.15454708	
11.120000	-0.31604400	
11.139999	-0.48588768	
11.160000	-0.58497047	
11.179999	-0.57925820	
11.200000	-0.48485628	
11.219999	-0.32557023	
11.240000	-0.14680059	
11.259999	-0.02936285	
11.280000	0.00619975	
11.300000	-0.00040879	
11.320000	0.00128758	
11.340000	0.00183154	
11.360000	0.01835146	
11.380000	0.06918725	
11.400000	0.15752459	
11.420000	0.25997978	
11.440000	0.35611278	
11.460000	0.41343692	
11.480000	0.41224244	
11.500000	0.35507312	
11.520000	0.28025284	
11.540000	0.21395943	
11.559999	0.17314012	
11.580000	0.15822692	
11.599999	0.15379743	
11.620000	0.14107631	
11.639999	0.11050473	
11.660000	0.07476325	
11.679999	0.03081162	
11.700000	-0.00446830	
11.719999	-0.03566554	
11.740000	-0.06297147	
11.759999	-0.11929709	
11.780000	-0.21866857	
11.800000	-0.37427798	
11.820000	-0.52647078	
11.840000	-0.60090780	
11.860000	-0.56998956	
11.880000	-0.45280850	
11.900000	-0.28719482	
11.920000	-0.12042984	
11.940000	-0.01853021	
11.960000	0.00959523	
11.980000	0.00058475	
12.000000	0.00192722	
12.020000	0.00459285	
12.040000	0.02673646	
12.059999	0.07724182	
12.080000	0.15919550	
12.099999	0.23868360	
12.120000	0.30045348	
12.139999	0.32519567	
12.160000	0.30601373	
12.179999	0.24614871	
12.200000	0.18511941	
12.219999	0.15214874	
12.240000	0.14196344	
12.259999	0.14332937	
12.280000	0.14624925	
12.300000	0.14824910	
12.320000	0.13293649	
12.340000	0.10831264	
12.360000	0.07511741	
12.380000	0.04522302	
12.400000	0.00508601	
12.420000	-0.04201610	
12.440000	-0.10977396	
12.460000	-0.19338359	
12.480000	-0.31189770	
12.500000	-0.42834431	
12.520000	-0.49495345	
12.540000	-0.48334098	
12.559999	-0.40558776	
12.580000	-0.28644758	
12.599999	-0.15237941	
12.620000	-0.05433247	
12.639999	-0.00997204	
12.660000	-0.00429489	
12.679999	0.00127492	
12.700000	0.01061807	
12.719999	0.04703115	
12.740000	0.10778502	
12.759999	0.18627407	
12.780000	0.26088205	
12.799999	0.32623973	
12.820000	0.36533496	
12.840000	0.37551582	
12.860000	0.35615256	
12.880000	0.32740447	
12.900000	0.29266047	
12.920000	0.24820390	
12.940000	0.19978134	
12.960000	0.14966168	
12.980000	0.10762496	
13.000000	0.05754441	
13.020000	0.01136312	
13.040000	-0.03763964	
13.059999	-0.07609486	
13.080000	-0.11696345	
13.099999	-0.16173087	
13.120000	-0.24540167	
13.139999	-0.37730905	
13.160000	-0.50248474	
13.179999	-0.56081986	
13.200000	-0.52765751	
13.219999	-0.42330587	
13.240000	-0.26224408	
13.259999	-0.10630050	
13.280000	0.01215885	
13.299999	0.10311848	
13.320000	0.21182700	
13.340000	0.33686733	
13.360000	0.44458160	
13.380000	0.50181848	
13.400000	0.48194864	
13.420000	0.39251852	
13.440000	0.27312464	
13.460000	0.16932015	
13.480000	0.07736196	
13.500000	0.00565747	
13.520000	-0.04928247	
13.540000	-0.08111028	
13.559999	-0.11749350	
13.580000	-0.17652702	
13.599999	-0.28865364	
13.620000	-0.41586182	
13.639999	-0.49860209	
13.660000	-0.50180995	
13.679999	-0.42587999	
13.700000	-0.29466191	
13.719999	-0.13936535	
13.740000	-0.03371423	
13.759999	0.01466640	
13.780000	0.03976206	
13.799999	0.09466735	
13.820000	0.16830607	
13.840000	0.25554371	
13.860000	0.32946295	
13.880000	0.36897084	
13.900000	0.36482790	
13.920000	0.32946062	
13.940000	0.27259204	
13.960000	0.20303158	
13.980000	0.14293790	
14.000000	0.08723547	
14.020000	0.02387134	
14.040000	-0.07518309	
14.059999	-0.20245524	
14.080000	-0.35049194	
14.099999	-0.46550828	
14.120000	-0.50555813	
14.139999	-0.45441720	
14.160000	-0.33776748	
14.179999	-0.19974472	
14.200000	-0.07527728	
14.219999	0.00753502	
14.240000	0.07015296	
14.259999	0.13951939	
14.280000	0.23923139	
14.299999	0.34504455	
14.320000	0.43211651	
14.340000	0.46936592	
14.360000	0.45258531	
14.380000	0.39196351	
14.400000	0.30859113	
14.420000	0.22083835	
14.440000	0.13758454	
14.460000	0.06417878	
14.480000	-0.01922982	
14.500000	-0.12075219	
14.520000	-0.25445163	
14.540000	-0.41648406	
14.559999	-0.55417281	
14.580000	-0.60159880	
14.599999	-0.54533029	
14.620000	-0.41982403	
14.639999	-0.25153220	
14.660000	-0.08698084	
14.679999	0.04055666	
14.700000	0.13197407	
14.719999	0.22495033	
14.740000	0.32402775	
14.759999	0.40170953	
14.780000	0.44327304	
14.799999	0.44585094	
14.820000	0.41119373	
14.839999	0.35797456	
14.860000	0.30251172	
14.880000	0.23520413	
14.900000	0.15870786	
14.920000	0.06841375	
14.940000	-0.02216746	
14.960000	-0.11883609	
14.980000	-0.21479811	
15.000000	-0.32528582	
15.020000	-0.45406535	
15.040000	-0.55870539	
15.059999	-0.58832008	
15.080000	-0.52621382	
15.099999	-0.40455183	
15.120000	-0.24433090	
15.139999	-0.09474961	
15.160000	0.02529937	
15.179999	0.12221617	
15.200000	0.23094146	
15.219999	0.35055390	
15.240000	0.45109713	
15.259999	0.50080353	
15.280000	0.48548865	
15.299999	0.41262826	
15.320000	0.31443709	
15.339999	0.22568259	
15.360000	0.14375462	
15.380000	0.07309432	
15.400000	-0.00155798	
15.420000	-0.08740360	
15.440000	-0.20307375	
15.460000	-0.35260615	
15.480000	-0.50425822	
15.500000	-0.59242308	
15.520000	-0.58278567	
15.540000	-0.48679507	
15.559999	-0.32427385	
15.580000	-0.14460808	
15.599999	0.01048576	
15.620000	0.12091629	
15.639999	0.21817887	
15.660000	0.31777906	
15.679999	0.39784476	
15.700000	0.43374693	
15.719999	0.42456484	
15.740000	0.37979606	
15.759999	0.31927997	
15.780000	0.26569816	
15.799999	0.21676971	
15.820000	0.17166789	
15.839999	0.10749662	
15.860000	0.03513972	
15.880000	-0.03970562	
15.900000	-0.09819011	
15.920000	-0.15649529	
15.940000	-0.23516934	
15.960000	-0.36761546	
15.980000	-0.50855100	
16.000000	-0.58708876	
16.020000	-0.57104355	
16.039999	-0.46860409	
16.059999	-0.31072474	
16.080000	-0.13459221	
16.100000	-0.01899481	
16.119999	0.03264930	
16.139999	0.07149512	
16.160000	0.14793637	
16.180000	0.24048962	
16.199999	0.33393106	
16.219999	0.39807364	
16.240000	0.41723886	
16.260000	0.39105704	
16.279999	0.33705008	
16.299999	0.26895562	
16.320000	0.20113902	
16.340000	0.14828755	
16.359999	0.08986906	
16.379999	0.02079767	
16.400000	-0.06011722	
16.420000	-0.14580247	
16.440001	-0.25158626	
16.459999	-0.35848233	
16.480000	-0.44829825	
16.500000	-0.49113545	
16.520000	-0.46996176	
16.539999	-0.38967296	
16.559999	-0.27161407	
16.580000	-0.15394694	
16.600000	-0.05150802	
16.619999	0.02199709	
16.639999	0.08494354	
16.660000	0.16001488	
16.680000	0.25719592	
16.699999	0.34161282	
16.719999	0.38958010	
16.740000	0.38391840	
16.760000	0.34405938	
16.779999	0.28707424	
16.799999	0.22981672	
16.820000	0.18263154	
16.840000	0.13333355	
16.859999	0.07906479	
16.879999	0.00689787	
16.900000	-0.07240652	
16.920000	-0.17780493	
16.940001	-0.31335032	
16.959999	-0.44845265	
16.980000	-0.52232397	
17.000000	-0.51063925	
17.020000	-0.42634887	
17.039999	-0.28497925	
17.059999	-0.13569576	
17.080000	-0.02510758	
17.100000	0.02539722	
17.119999	0.06015826	
17.139999	0.11572001	
17.160000	0.18978745	
17.180000	0.26428154	
17.199999	0.32893991	
17.219999	0.36581403	
17.240000	0.37086552	
17.260000	0.34544492	
17.279999	0.29857707	
17.299999	0.23971650	
17.320000	0.16749699	
17.340000	0.09729026	
17.359999	0.03267190	
17.379999	-0.01570588	
17.400000	-0.07498038	
17.420000	-0.15471397	
17.440001	-0.27816752	
17.459999	-0.41042018	
17.480000	-0.50126177	
17.500000	-0.51090223	
17.520000	-0.43579969	
17.539999	-0.30522346	
17.559999	-0.15555105	
17.580000	-0.04769928	
17.600000	0.01490103	
17.619999	0.05987551	
17.639999	0.13502644	
17.660000	0.22034656	
17.680000	0.30151358	
17.699999	0.35839725	
17.719999	0.37619120	
17.740000	0.34423405	
17.760000	0.28797215	
17.779999	0.23383836	
17.799999	0.17894138	
17.820000	0.12508389	
17.840000	0.07370968	
17.859999	0.03656303	
17.879999	-0.00906375	
17.900000	-0.06488497	
17.920000	-0.13972223	
17.940001	-0.23874018	
17.959999	-0.36466914	
17.980000	-0.46651477	
18.000000	-0.48992234	
18.020000	-0.42957893	
18.039999	-0.31433222	
18.059999	-0.18189344	
18.080000	-0.06518560	
18.100000	-0.00399041	
18.119999	0.01785394	
18.139999	0.04290608	
18.160000	0.10144210	
18.180000	0.18226583	
18.199999	0.27311462	
18.219999	0.34901324	
18.240000	0.38708097	
18.260000	0.37520891	
18.279999	0.32646558	
18.299999	0.26018944	
18.320000	0.17261536	
18.340000	0.07665862	
18.359999	-0.03574141	
18.379999	-0.17777885	
18.400000	-0.34443596	
18.420000	-0.47134778	
18.440001	-0.50553077	
18.459999	-0.44650516	
18.480000	-0.32550097	
18.500000	-0.18028164	
18.520000	-0.04613956	
18.539999	0.04289857	
18.559999	0.11828139	
18.580000	0.20509453	
18.600000	0.30851319	
18.619999	0.39125785	
18.639999	0.42889172	
18.660000	0.40510345	
18.680000	0.34208906	
18.699999	0.26677209	
18.719999	0.20649704	
18.740000	0.17049691	
18.760000	0.14832002	
18.779999	0.13206099	
18.799999	0.09812715	
18.820000	0.05634027	
18.840000	0.00059785	
18.859999	-0.04751736	
18.879999	-0.09633206	
18.900000	-0.14343232	
18.920000	-0.21450014	
18.939999	-0.32977498	
18.959999	-0.46146640	
18.980000	-0.54808456	
19.000000	-0.54262495	
19.020000	-0.45880589	
19.039999	-0.31542200	
19.059999	-0.15834148	
19.080000	-0.03510625	
19.100000	0.02741347	
19.119999	0.07048197	
19.139999	0.13538183	
19.160000	0.22309135	
19.180000	0.30842331	
19.199999	0.37286013	
19.219999	0.39744225	
19.240000	0.38438249	
19.260000	0.34244153	
19.279999	0.27250442	
19.299999	0.19068797	
19.320000	0.09859063	
19.340000	0.00361620	
19.359999	-0.12152389	
19.379999	-0.27839094	
19.400000	-0.42901483	
19.420000	-0.51488888	
19.439999	-0.51182848	
19.459999	-0.42927775	
19.480000	-0.27151942	
19.500000	-0.08288209	
19.520000	0.09016553	
19.539999	0.21674885	
19.559999	0.31882989	
19.580000	0.39304939	
19.600000	0.41968805	
19.619999	0.39306653	
19.639999	0.31971800	
19.660000	0.22194295	
19.680000	0.10671245	
19.699999	-0.01337689	
19.719999	-0.16203181	
19.740000	-0.32865095	
19.760000	-0.46557847	
19.779999	-0.51764625	
19.799999	-0.47364831	
19.820000	-0.35621011	
19.840000	-0.18453988	
19.859999	-0.00381060	
19.879999	0.15643233	
19.900000	0.27740538	
19.920000	0.37971789	
19.939999	0.44905278	
19.959999	0.46069288	
19.980000	0.41184679	
20.000000	0.31952441	
20.020000	0.21718024	
20.039999	0.11555939	
20.059999	0.01926061	
20.080000	-0.10041392	
20.100000	-0.25993273	
20.119999	-0.43032649	
20.139999	-0.54333574	
20.160000	-0.55662632	
20.180000	-0.47328502	
20.199999	-0.30585951	
20.219999	-0.09291578	
20.240000	0.10567452	
20.260000	0.24650647	
20.279999	0.34290856	
20.299999	0.40721726	
20.320000	0.42360398	
20.340000	0.38683262	
20.359999	0.30782354	
20.379999	0.20782015	
20.400000	0.08442448	
20.420000	-0.04722928	
20.439999	-0.19568029	
20.459999	-0.35199502	
20.480000	-0.47391236	
20.500000	-0.51267123	
20.520000	-0.46119413	
20.539999	-0.34738430	
20.559999	-0.19021574	
20.580000	-0.02513340	
20.600000	0.12653154	
20.619999	0.25064772	
20.639999	0.36982214	
20.660000	0.46745339	
20.680000	0.51062226	
20.699999	0.48380652	
20.719999	0.39827183	
20.740000	0.28595269	
20.760000	0.16807871	
20.779999	0.07403105	
20.799999	-0.00808766	
20.820000	-0.08651381	
20.840000	-0.18681349	
20.859999	-0.31411219	
20.879999	-0.45520511	
20.900000	-0.55068463	
20.920000	-0.55739343	
20.939999	-0.47998261	
20.959999	-0.33514020	
20.980000	-0.15747032	
21.000000	0.02395348	
21.020000	0.17334799	
21.039999	0.30233562	
21.059999	0.41314510	
21.080000	0.48975858	
21.100000	0.50056654	
21.119999	0.44903138	
21.139999	0.35460243	
21.160000	0.23974474	
21.180000	0.13536277	
21.199999	0.04136219	
21.219999	-0.05988259	
21.240000	-0.20730904	
21.260000	-0.39146814	
21.279999	-0.54949421	
21.299999	-0.61499554	
21.320000	-0.56552649	
21.340000	-0.42281148	
21.359999	-0.22087337	
21.379999	-0.02369967	
21.400000	0.13039722	
21.420000	0.23490596	
21.439999	0.31818089	
21.459999	0.37894630	
21.480000	0.40094778	
21.500000	0.37757838	
21.520000	0.31541747	
21.539999	0.23727010	
21.559999	0.15853408	
21.580000	0.09855003	
21.600000	0.03994820	
21.619999	-0.02900212	
21.639999	-0.13247195	
21.660000	-0.27496469	
21.680000	-0.42511481	
21.699999	-0.51821613	
21.719999	-0.51812887	
21.740000	-0.43668371	
21.760000	-0.28140336	
21.779999	-0.09081559	
21.799999	0.09135339	
21.820000	0.21505876	
21.840000	0.30366555	
21.859999	0.37113500	
21.879999	0.40680563	
21.900000	0.40056279	
21.920000	0.36500117	
21.939999	0.31313524	
21.959999	0.24234350	
21.980000	0.17180423	
22.000000	0.09933917	
22.020000	0.02745103	
22.039999	-0.06486088	
22.059999	-0.17772527	
22.080000	-0.32196671	
22.100000	-0.46430004	
22.119999	-0.55206358	
22.139999	-0.54958552	
22.160000	-0.45727009	
22.180000	-0.30885166	
22.199999	-0.13482106	
22.219999	0.02157923	
22.240000	0.14604834	
22.260000	0.24510595	
22.279999	0.33591291	
22.299999	0.40003356	
22.320000	0.42194474	
22.340000	0.39405107	
22.359999	0.33005315	
22.379999	0.25367746	
22.400000	0.17511998	
22.420000	0.10727379	
22.439999	0.04230450	
