Time	Step_Length_2_4.81 X
5.100000	0.19810116	
5.120000	0.12370777	
5.140000	0.04225957	
5.160000	-0.04099536	
5.180000	-0.13192153	
5.200000	-0.22551775	
5.220000	-0.32265180	
5.240000	-0.42157120	
5.260000	-0.51950699	
5.280000	-0.61084896	
5.300000	-0.69077981	
5.320000	-0.75230473	
5.340000	-0.79307050	
5.360000	-0.80934912	
5.380000	-0.81163156	
5.400000	-0.80280983	
5.420000	-0.78890413	
5.440000	-0.76466489	
5.460000	-0.73304802	
5.480000	-0.69415730	
5.500000	-0.64990783	
5.520000	-0.59985322	
5.540000	-0.54447782	
5.560000	-0.48456424	
5.580000	-0.42012215	
5.600000	-0.35296726	
5.620000	-0.28226858	
5.640000	-0.20722675	
5.660000	-0.12736046	
5.680000	-0.04463005	
5.700000	0.04830742	
5.720000	0.14338565	
5.740000	0.24588698	
5.760000	0.34516120	
5.780000	0.44804555	
5.800000	0.54605633	
5.820000	0.63625544	
5.840000	0.71123236	
5.860000	0.76735979	
5.880000	0.80156940	
5.900000	0.81698668	
5.920000	0.82245469	
5.940000	0.82093275	
5.960000	0.81350094	
5.980000	0.79561371	
6.000000	0.77071184	
6.020000	0.74132055	
6.040000	0.70528138	
6.060000	0.66269910	
6.080000	0.61262822	
6.100000	0.55863649	
6.120000	0.49878454	
6.140000	0.43513530	
6.160000	0.36788088	
6.180000	0.29816628	
6.200000	0.22380853	
6.220000	0.14435518	
6.240000	0.05947983	
6.260000	-0.03155756	
6.280000	-0.12851858	
6.300000	-0.23223871	
6.320000	-0.33890867	
6.340000	-0.44671136	
6.360000	-0.54912555	
6.380000	-0.64211535	
6.400000	-0.71905679	
6.420000	-0.77580029	
6.440000	-0.80944949	
6.460000	-0.82135022	
6.480000	-0.82231820	
6.500000	-0.81519264	
6.520000	-0.80394191	
6.540000	-0.78183120	
6.560000	-0.75246805	
6.580000	-0.71548468	
6.600000	-0.67223632	
6.620000	-0.62345856	
6.640000	-0.56931752	
6.660000	-0.51005208	
6.680000	-0.44723672	
6.700000	-0.37997752	
6.720000	-0.31112766	
6.740000	-0.23820978	
6.760000	-0.16231835	
6.780000	-0.08000410	
6.800000	0.00948858	
6.820000	0.10465205	
6.840000	0.20345050	
6.860000	0.30523211	
6.880000	0.41010523	
6.900000	0.51393104	
6.920000	0.61160421	
6.940000	0.69756407	
6.960000	0.76867604	
6.980000	0.81853169	
7.000000	0.84619373	
7.020000	0.85655123	
7.040000	0.85807097	
7.060000	0.85147130	
7.080000	0.83542180	
7.100000	0.80940837	
7.120000	0.78072178	
7.140000	0.74618399	
7.160000	0.70584095	
7.180000	0.65584081	
7.200000	0.60154098	
7.220000	0.54230320	
7.240000	0.47959882	
7.260000	0.41309857	
7.280000	0.34458870	
7.300000	0.27426165	
7.320000	0.19779241	
7.340000	0.11847591	
7.360000	0.03348804	
7.380000	-0.05410206	
7.400000	-0.14861894	
7.420000	-0.24697787	
7.440000	-0.34763598	
7.460000	-0.44822431	
7.480000	-0.54584163	
7.500000	-0.63631773	
7.520000	-0.71270341	
7.540000	-0.77031827	
7.560000	-0.80571598	
7.580000	-0.81964082	
7.600000	-0.82083088	
7.620000	-0.81193781	
7.640000	-0.79846537	
7.660000	-0.77531958	
7.680000	-0.74548584	
7.700000	-0.70758039	
7.720000	-0.66411775	
7.740000	-0.61475646	
7.760000	-0.55974430	
