Time	Knee_Ankle_Angle_left_4.84 X
7.620000	108.38178253	
7.640000	110.00235748	
7.660000	111.77443695	
7.680000	113.72100067	
7.700000	115.91717529	
7.720000	118.36109924	
7.740000	121.02584839	
7.760000	123.86396790	
7.780000	126.89207458	
7.800000	130.14338684	
7.820000	133.67459106	
7.840000	137.47076416	
7.860000	141.40411377	
7.880000	145.15838623	
7.900000	148.33657837	
7.920000	150.53118896	
7.940000	151.45480347	
7.960000	151.00239563	
7.980000	149.19979858	
8.000000	146.20874023	
8.020000	142.20996094	
8.040000	137.38732910	
8.059999	131.84713745	
8.080000	125.74109650	
8.099999	119.16212463	
8.120000	112.19062805	
8.139999	104.97561646	
8.160000	97.78586578	
8.179999	90.99202728	
8.200000	85.04464722	
8.220000	80.52230072	
8.240000	77.87708282	
8.260000	77.16194916	
8.280000	78.23975372	
8.300000	80.77302551	
8.320000	84.20857239	
8.340000	87.79102325	
8.360000	91.03487396	
8.380000	93.78463745	
8.400000	96.02314758	
8.420000	97.75601959	
8.440000	99.11361694	
8.460000	100.28801727	
8.480000	101.31620789	
8.500000	102.20590210	
8.520000	102.95542145	
8.540000	103.65435791	
8.559999	104.36705017	
8.580000	105.14655304	
8.599999	105.98259735	
8.620000	106.90470123	
8.639999	107.92718506	
8.660000	109.06130981	
8.679999	110.29330444	
8.700000	111.65788269	
8.720000	113.19108582	
8.740000	114.95367432	
8.760000	116.99163818	
8.780000	119.34878540	
8.800000	121.98821259	
8.820000	124.90908813	
8.840000	128.09770203	
8.860000	131.59278870	
8.880000	135.35104370	
8.900000	139.29791260	
8.920000	143.19015503	
8.940000	146.69769287	
8.960000	149.41511536	
8.980000	151.04408264	
9.000000	151.42283630	
9.020000	150.54255676	
9.040000	148.50128174	
9.059999	145.45726013	
9.080000	141.54344177	
9.099999	136.86914063	
9.120000	131.56259155	
9.139999	125.75688171	
9.160000	119.53010559	
9.179999	112.97688293	
9.200000	106.18414307	
9.220000	99.37948608	
9.240000	92.84810638	
9.260000	87.02523804	
9.280000	82.41771698	
9.300000	79.54467773	
9.320000	78.57072449	
9.340000	79.44898987	
9.360000	81.86721039	
9.380000	85.27737427	
9.400000	88.90144348	
9.420000	92.16931915	
9.440000	94.88144684	
9.460000	97.08339691	
9.480000	98.82803345	
9.500000	100.22313690	
9.520000	101.41591644	
9.540000	102.44375610	
9.559999	103.27938080	
9.580000	103.92647552	
9.599999	104.49538422	
9.620000	105.09992981	
9.639999	105.79779816	
9.660000	106.57736969	
9.679999	107.50005341	
9.700000	108.57286072	
9.719999	109.79872131	
9.740000	111.14979553	
9.760000	112.65640259	
9.780000	114.33780670	
9.800000	116.19043732	
9.820000	118.26257324	
9.840000	120.56319427	
9.860000	123.11927795	
9.880000	125.90171814	
9.900000	128.99459839	
9.920000	132.39471436	
9.940000	136.11895752	
9.960000	140.01960754	
9.980000	143.89009094	
10.000000	147.32150269	
10.020000	149.95999146	
10.040000	151.45800781	
10.059999	151.68328857	
10.080000	150.61947632	
10.099999	148.41319275	
10.120000	145.18750000	
10.139999	141.09707642	
10.160000	136.23571777	
10.179999	130.73397827	
10.200000	124.66041565	
10.219999	118.11016846	
10.240000	111.13837433	
10.260000	103.89350128	
10.280000	96.61349487	
10.300000	89.68938446	
10.320000	83.68624115	
10.340000	79.27256775	
10.360000	76.88903809	
10.380000	76.52804565	
10.400000	77.98369598	
10.420000	80.83953094	
10.440000	84.42084503	
10.460000	87.98117065	
10.480000	91.12315369	
10.500000	93.79226685	
10.520000	95.98793793	
10.540000	97.71170044	
10.559999	99.08415985	
10.580000	100.26375580	
10.599999	101.26702118	
10.620000	102.08941650	
10.639999	102.76162720	
10.660000	103.37609863	
10.679999	104.00411224	
10.700000	104.68784332	
10.719999	105.45671844	
10.740000	106.35689545	
10.760000	107.40790558	
10.780000	108.61480713	
10.800000	109.95967102	
10.820000	111.45272064	
10.840000	113.12919617	
10.860000	115.03464508	
10.880000	117.21283722	
10.900000	119.65634918	
10.920000	122.35473633	
10.940000	125.26985931	
10.960000	128.42767334	
10.980000	131.83027649	
11.000000	135.49186707	
11.020000	139.32197571	
11.040000	143.14425659	
11.059999	146.64746094	
11.080000	149.49275208	
11.099999	151.38525391	
11.120000	152.13363647	
11.139999	151.66836548	
11.160000	150.03515625	
11.179999	147.34478760	
11.200000	143.71836853	
11.219999	139.23976135	
11.240000	134.02563477	
11.259999	128.17440796	
11.280000	121.79173279	
11.300000	114.97113800	
11.320000	107.81522369	
11.340000	100.51288605	
11.360000	93.30966949	
11.380000	86.65521240	
11.400000	81.23202515	
11.420000	77.69507599	
11.440000	76.26327515	
11.460000	76.85973358	
11.480000	79.22237396	
11.500000	82.76416779	
11.520000	86.65000916	
11.540000	90.22433472	
11.559999	93.29275513	
11.580000	95.82427979	
11.599999	97.81980133	
11.620000	99.33158112	
11.639999	100.54808807	
11.660000	101.55344391	
11.679999	102.37824249	
11.700000	103.01602173	
11.719999	103.55224609	
11.740000	104.08022308	
11.759999	104.64778900	
11.780000	105.23318481	
11.800000	105.86488342	
11.820000	106.60819244	
11.840000	107.51689911	
11.860000	108.59098053	
11.880000	109.81800842	
11.900000	111.21942902	
11.920000	112.81729126	
11.940000	114.65438080	
11.960000	116.74422455	
11.980000	119.08993530	
12.000000	121.64709473	
12.020000	124.40228271	
12.040000	127.36166382	
12.059999	130.62133789	
12.080000	134.19384766	
12.099999	138.03857422	
12.120000	141.94383240	
12.139999	145.60353088	
12.160000	148.61062622	
12.179999	150.65740967	
12.200000	151.54626465	
12.219999	151.24328613	
12.240000	149.76948547	
12.259999	147.24157715	
12.280000	143.74040222	
12.300000	139.37649536	
12.320000	134.21125793	
12.340000	128.36804199	
12.360000	121.91060638	
12.380000	115.00335693	
12.400000	107.74803162	
12.420000	100.38241577	
12.440000	93.15023041	
12.460000	86.54335022	
12.480000	81.20553589	
12.500000	77.78558350	
12.520000	76.41278839	
12.540000	76.93132782	
12.559999	79.06119537	
12.580000	82.30762482	
12.599999	85.91390228	
12.620000	89.29802704	
12.639999	92.27587128	
12.660000	94.81664276	
12.679999	96.84695435	
12.700000	98.42335510	
12.719999	99.71498871	
12.740000	100.84402466	
12.759999	101.76834106	
12.780000	102.50820160	
12.799999	103.10739136	
12.820000	103.67696381	
12.840000	104.27463531	
12.860000	104.89671326	
12.880000	105.56658173	
12.900000	106.33312225	
12.920000	107.28513336	
12.940000	108.42440033	
12.960000	109.78199768	
12.980000	111.32313538	
13.000000	113.08448029	
13.020000	115.05297089	
13.040000	117.27074432	
13.059999	119.73170471	
13.080000	122.46217346	
13.099999	125.44494629	
13.120000	128.68576050	
13.139999	132.19680786	
13.160000	135.96080017	
13.179999	139.86740112	
13.200000	143.62013245	
13.219999	146.87551880	
13.240000	149.26507568	
13.259999	150.51284790	
13.280000	150.44721985	
13.299999	149.12060547	
13.320000	146.65795898	
13.340000	143.20159912	
13.360000	138.88916016	
13.380000	133.86285400	
13.400000	128.29144287	
13.420000	122.27857971	
13.440000	115.89504242	
13.460000	109.17534637	
13.480000	102.23883820	
13.500000	95.27331543	
13.520000	88.63372040	
13.540000	82.84451294	
13.559999	78.58837128	
13.580000	76.29006195	
13.599999	75.98960876	
13.620000	77.49623871	
13.639999	80.34155273	
13.660000	83.83133698	
13.679999	87.21615601	
13.700000	90.18769836	
13.719999	92.67622375	
13.740000	94.73033905	
13.759999	96.33748627	
13.780000	97.65856934	
13.799999	98.81712341	
13.820000	99.86707306	
13.840000	100.79212952	
13.860000	101.61849213	
13.880000	102.40243530	
13.900000	103.19059753	
13.920000	103.96147919	
13.940000	104.75730133	
13.960000	105.62745667	
13.980000	106.64939117	
14.000000	107.83507538	
14.020000	109.21502686	
14.040000	110.79076385	
14.059999	112.59585571	
14.080000	114.62592316	
14.099999	116.91486359	
14.120000	119.45884705	
14.139999	122.26432800	
14.160000	125.30690002	
14.179999	128.63711548	
14.200000	132.26275635	
14.219999	136.17337036	
14.240000	140.16197205	
14.259999	143.94903564	
14.280000	147.11656189	
14.299999	149.32597351	
14.320000	150.27906799	
14.340000	149.90121460	
14.360000	148.23678589	
14.380000	145.44390869	
14.400000	141.64274597	
14.420000	136.96675110	
14.440000	131.51829529	
14.460000	125.42362976	
14.480000	118.76254272	
14.500000	111.63832855	
14.520000	104.16799164	
14.540000	96.58661652	
14.559999	89.22364807	
14.580000	82.66424561	
14.599999	77.70455170	
14.620000	74.93230438	
14.639999	74.31362915	
14.660000	75.57498932	
14.679999	78.27703857	
14.700000	81.77385712	
14.719999	85.28260803	
14.740000	88.42172241	
14.759999	91.17098236	
14.780000	93.53608704	
14.799999	95.41538239	
14.820000	96.85937500	
14.839999	98.06439209	
14.860000	99.11557007	
14.880000	100.00934601	
14.900000	100.74848938	
14.920000	101.40908813	
14.940000	102.07276917	
14.960000	102.75588226	
14.980000	103.48805237	
15.000000	104.32827759	
15.020000	105.33776855	
15.040000	106.52359009	
15.059999	107.90602875	
15.080000	109.47561646	
15.099999	111.25270081	
15.120000	113.26047516	
15.139999	115.54883575	
15.160000	118.09666443	
15.179999	120.86803436	
15.200000	123.81906891	
15.219999	126.99013519	
15.240000	130.45825195	
15.259999	134.28199768	
15.280000	138.39004517	
15.299999	142.53039551	
15.320000	146.27328491	
15.339999	149.16560364	
15.360000	150.83152771	
15.380000	151.09440613	
15.400000	149.97021484	
15.420000	147.62268066	
15.440000	144.22952271	
15.460000	139.94888306	
15.480000	134.87612915	
15.500000	129.15017700	
15.520000	122.90158081	
15.540000	116.25599670	
15.559999	109.26950073	
15.580000	102.06790924	
15.599999	94.84085846	
15.620000	87.92234802	
15.639999	81.83731842	
15.660000	77.28394318	
15.679999	74.80076599	
15.700000	74.26329803	
15.719999	75.35842133	
15.740000	77.71121979	
15.759999	80.90894318	
15.780000	84.27534485	
15.799999	87.41889954	
15.820000	90.24317169	
15.839999	92.73537445	
15.860000	94.74113464	
15.880000	96.30104065	
15.900000	97.64070129	
15.920000	98.86613464	
15.940000	99.93686676	
15.960000	100.80359650	
15.980000	101.52964783	
16.000000	102.22966003	
16.020000	102.92490387	
16.039999	103.61710358	
16.059999	104.31496429	
16.080000	105.10633850	
16.100000	105.99872589	
16.119999	107.05831146	
16.139999	108.28444672	
16.160000	109.75186920	
16.180000	111.42441559	
16.199999	113.32401276	
16.219999	115.41933441	
16.240000	117.72366333	
16.260000	120.21687317	
16.279999	122.89582825	
16.299999	125.77784729	
16.320000	128.93418884	
16.340000	132.42362976	
16.359999	136.21786499	
16.379999	140.14852905	
16.400000	143.92070007	
16.420000	147.17674255	
16.440001	149.54380798	
16.459999	150.75738525	
16.480000	150.70953369	
16.500000	149.44850159	
16.520000	147.05982971	
16.539999	143.66891479	
16.559999	139.38163757	
16.580000	134.34001160	
16.600000	128.63098145	
16.619999	122.35858154	
16.639999	115.57962036	
16.660000	108.40381622	
16.680000	101.05046082	
16.699999	93.85926819	
16.719999	87.33659363	
16.740000	82.13298798	
16.760000	78.90357208	
16.779999	77.82822418	
16.799999	78.81459045	
16.820000	81.44121552	
16.840000	85.04913330	
16.859999	88.73359680	
16.879999	91.95780945	
16.900000	94.63048553	
16.920000	96.82690430	
16.940001	98.58643341	
16.959999	100.01758575	
16.980000	101.30767059	
17.000000	102.47531128	
17.020000	103.52175903	
17.039999	104.43772125	
17.059999	105.33265686	
17.080000	106.21517181	
17.100000	107.10285950	
17.119999	107.99053955	
17.139999	108.94039154	
17.160000	109.99574280	
17.180000	111.17599487	
17.199999	112.50291443	
17.219999	113.99469757	
17.240000	115.69911957	
17.260000	117.64813232	
17.279999	119.86172485	
17.299999	122.34654236	
17.320000	125.08699036	
17.340000	128.13748169	
17.359999	131.49783325	
17.379999	135.18415833	
17.400000	139.06068420	
17.420000	142.95632935	
17.440001	146.48388672	
17.459999	149.29869080	
17.480000	151.06455994	
17.500000	151.60096741	
17.520000	150.84628296	
17.539999	148.88865662	
17.559999	145.87277222	
17.580000	141.95993042	
17.600000	137.27362061	
17.619999	131.95758057	
17.639999	126.07276154	
17.660000	119.72920227	
17.680000	112.94966125	
17.699999	105.85419464	
17.719999	98.53099060	
17.740000	91.35083008	
17.760000	84.86956024	
17.779999	79.89234924	
17.799999	76.98870850	
17.820000	76.26066589	
17.840000	77.53044128	
17.859999	80.41612244	
17.879999	84.22074890	
17.900000	88.10424042	
17.920000	91.55006409	
17.940001	94.42986298	
17.959999	96.73878479	
17.980000	98.49256134	
18.000000	99.85174561	
18.020000	101.02015686	
18.039999	102.07309723	
18.059999	102.98037720	
18.080000	103.71782684	
18.100000	104.34383392	
18.119999	104.96877289	
18.139999	105.62946320	
18.160000	106.33318329	
18.180000	107.10384369	
18.199999	108.01535034	
18.219999	109.07936096	
18.240000	110.32366943	
18.260000	111.71067810	
18.279999	113.27946472	
18.299999	115.02146912	
18.320000	117.00234985	
18.340000	119.22384644	
18.359999	121.74388885	
18.379999	124.56010437	
18.400000	127.71279144	
18.420000	131.21028137	
18.440001	135.04737854	
18.459999	139.11022949	
18.480000	143.16479492	
18.500000	146.90379333	
18.520000	149.96694946	
18.539999	152.04141235	
18.559999	152.93858337	
18.580000	152.59732056	
18.600000	151.04638672	
18.619999	148.36566162	
18.639999	144.68560791	
18.660000	140.09603882	
18.680000	134.72550964	
18.699999	128.66725159	
18.719999	122.01776123	
18.740000	114.82670593	
18.760000	107.25006104	
18.779999	99.57697296	
18.799999	92.23642731	
18.820000	85.79211426	
18.840000	80.99357605	
18.859999	78.34243774	
18.879999	77.90636444	
18.900000	79.44777679	
18.920000	82.49127960	
18.939999	86.27888489	
18.959999	90.00738525	
18.980000	93.27582550	
19.000000	96.03910828	
19.020000	98.30738831	
19.039999	100.08798981	
19.059999	101.48463440	
19.080000	102.64233398	
19.100000	103.58547211	
19.119999	104.33386230	
19.139999	104.91694641	
19.160000	105.45632172	
19.180000	106.01980591	
19.199999	106.60740662	
19.219999	107.20719147	
19.240000	107.88292694	
19.260000	108.68210602	
19.279999	109.62970734	
19.299999	110.73955536	
19.320000	112.04510498	
19.340000	113.57751465	
19.359999	115.36833191	
19.379999	117.43016815	
19.400000	119.74254608	
19.420000	122.31997681	
19.439999	125.15092468	
19.459999	128.25364685	
19.480000	131.64323425	
19.500000	135.35604858	
19.520000	139.29286194	
19.539999	143.22726440	
19.559999	146.78659058	
19.580000	149.59388733	
19.600000	151.28498840	
19.619999	151.66693115	
19.639999	150.70135498	
19.660000	148.49223328	
19.680000	145.21343994	
19.699999	141.02633667	
19.719999	136.07701111	
19.740000	130.46952820	
19.760000	124.33119202	
19.779999	117.72896576	
19.799999	110.72504425	
19.820000	103.41535187	
19.840000	96.02136993	
19.859999	88.90110016	
19.879999	82.66086578	
19.900000	78.08709717	
19.920000	75.08394623	
19.939999	74.81771088	
19.959999	76.55947113	
19.980000	79.69141388	
20.000000	83.35052490	
20.020000	87.34055328	
20.039999	91.35869598	
20.059999	94.53882599	
