Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
0.960000	-0.75640291	-0.53424317	1.67786086	-0.08924724	-0.24138927	0.25735939	25.39179611	2.25480866	-6.80301952	
0.980000	-0.75032669	-0.53941792	1.68584204	0.40889317	-0.20123166	0.45572779	21.55810356	2.39779687	1.46191132	
1.000000	-0.73522174	-0.54355204	1.70150256	0.79079139	-0.14255613	0.80353796	16.83766556	2.62631583	8.82623196	
1.020000	-0.71388948	-0.54576963	1.72294974	1.06365418	-0.07594275	1.06636178	12.21120834	2.61972308	11.10529327	
1.040000	-0.68952298	-0.54609287	1.74731839	1.24466097	-0.01674542	1.24477363	8.42486763	2.24162769	8.37685966	
1.060000	-0.66273153	-0.54512602	1.77412724	1.35689151	0.02469469	1.35711622	5.65687084	1.60935986	5.61466694	
1.080000	-0.63429242	-0.54394859	1.80259073	1.43026531	0.04549919	1.43098879	3.76966763	0.96312159	3.77278852	
1.100000	-0.60458851	-0.54292291	1.83231235	1.48663807	0.05120558	1.48751962	2.60755515	0.48530829	2.61832309	
1.120000	-0.57448065	-0.54210526	1.86243129	1.52820134	0.05146735	1.52906775	1.93353820	0.23947209	1.94090772	
1.140000	-0.54353321	-0.54113990	1.89339375	1.55780518	0.05349366	1.55872333	1.43931794	0.18984997	1.44568229	
1.160000	-0.51189417	-0.54003018	1.92505229	1.58128405	0.05873092	1.58237433	1.00019586	0.25436494	1.00976181	
1.180000	-0.47987923	-0.53871924	1.95709407	1.59940028	0.06564604	1.60074687	0.64748651	0.36342907	0.66291761	
1.200000	-0.44766730	-0.53736246	1.98933458	1.60794079	0.07288130	1.60959160	0.35995233	0.49397010	0.38432166	
1.220000	-0.41534379	-0.53586334	2.02169275	1.60969102	0.08236912	1.61179709	0.11203682	0.65464449	0.15043710	
1.240000	-0.38308206	-0.53422815	2.05399585	1.60798264	0.09615144	1.61085486	-0.06053843	0.85033721	-0.00143051	
1.260000	-0.35097867	-0.53228831	2.08615780	1.60465896	0.11585698	1.60883594	-0.14683151	1.05269086	-0.06153333	
1.280000	-0.31897762	-0.52984685	2.11825180	1.60083258	0.14046673	1.60698342	-0.20301631	1.21794415	-0.08898275	
1.300000	-0.28703043	-0.52681959	2.15034199	1.59697890	0.16827726	1.60582030	-0.28946635	1.31902146	-0.14692539	
1.320000	-0.25506949	-0.52307642	2.18252134	1.59224761	0.19635426	1.60430896	-0.44504684	1.35817564	-0.27495512	
1.340000	-0.22319783	-0.51881939	2.21467614	1.58391416	0.22376890	1.59964263	-0.68083084	1.37106514	-0.48071474	
1.360000	-0.19150525	-0.51402414	2.24672937	1.56865978	0.25014594	1.58847928	-1.00776207	1.40484488	-0.76735884	
1.380000	-0.16012391	-0.50885785	2.27853322	1.54515600	0.27699992	1.56978858	-1.45292127	1.49444485	-1.15109146	
1.400000	-0.12932336	-0.50308055	2.30987096	1.51337528	0.30660245	1.54412103	-2.05214500	1.66049123	-1.65178514	
1.420000	-0.09931461	-0.49676618	2.34053683	1.47028673	0.34079540	1.50926626	-2.87990999	1.93164802	-2.31058908	
1.440000	-0.07021117	-0.48963961	2.37050009	1.40996003	0.38078550	1.46047425	-4.05995131	2.32954788	-3.18431973	
1.460000	-0.04220914	-0.48173285	2.39959693	1.32436132	0.42869073	1.39201605	-5.68037701	2.85725832	-4.22644424	
1.480000	-0.01594993	-0.47279188	2.42733645	1.20192218	0.48889872	1.29755116	-7.71731901	3.48042750	-5.15211964	
1.500000	0.00763596	-0.46271613	2.45298433	1.03050160	0.56471330	1.17508924	-10.04317284	4.07984352	-5.43098402	
1.520000	0.02736972	-0.45098794	2.47594023	0.80377412	0.65685910	1.03803504	-12.42418671	4.41127110	-4.55421352	
1.540000	0.04188599	-0.43713391	2.49600649	0.52394712	0.75939840	0.92260855	-14.53489876	4.16637945	-2.48009205	
1.560000	0.04999479	-0.42078760	2.51425362	0.20034190	0.85680103	0.87991184	-16.06805611	3.08364558	0.31914601	
1.580000	0.05087121	-0.40206906	2.53299260	-0.14997846	0.92408168	0.93617332	-16.82978630	1.03737223	3.20673704	
1.600000	0.04418487	-0.38177654	2.55435824	-0.50589448	0.93562800	1.06363952	-16.74681282	-1.86915362	5.58422279	
1.620000	0.03001949	-0.36157575	2.57903075	-0.84840137	0.87177521	1.21646082	-15.89256859	-5.26631546	7.08750057	
1.640000	0.00904513	-0.34355539	2.60668325	-1.16247618	0.72465074	1.36984289	-14.50143909	-8.61995125	7.86785936	
1.660000	-0.01791750	-0.32969025	2.63700199	-1.43770313	0.50221872	1.52289653	-12.87034798	-11.40336609	8.41010571	
1.680000	-0.04997684	-0.32150373	2.67008996	-1.67290068	0.22684811	1.68821108	-11.26606369	-13.21095562	9.03464508	
1.700000	-0.08621472	-0.31984687	2.70636559	-1.87515140	-0.07275365	1.87656224	-9.91867161	-13.82740784	9.74506187	
1.720000	-0.12582959	-0.32479098	2.74628782	-2.05387807	-0.36900735	2.08676338	-8.96901989	-13.26141644	10.34401798	
1.740000	-0.16860296	-0.33578110	2.79045057	-2.21826339	-0.63822180	2.30825043	-8.38111115	-11.68285751	10.55781364	
1.760000	-0.21451642	-0.35192367	2.83911920	-2.37800837	-0.86183095	2.52936292	-7.96860790	-9.30443096	10.16662693	
1.780000	-0.26367444	-0.37219861	2.89229417	-2.53766203	-1.02792740	2.73794866	-7.47145414	-6.34004211	9.06540203	
1.800000	-0.31598744	-0.39531007	2.94948506	-2.69200158	-1.12795162	2.91875792	-6.55227518	-3.03676152	7.18997049	
1.820000	-0.37160587	-0.41979685	3.01025534	-2.82751894	-1.15533817	3.05445075	-4.81717205	0.31993651	4.44452286	
1.840000	-0.43013683	-0.44417268	3.07365918	-2.92460155	-1.10882509	3.12774467	-1.93185437	3.38153172	0.74245107	
1.860000	-0.49071929	-0.46673155	3.13830543	-2.95526171	-0.99712145	3.11894584	2.27296758	5.73485899	-3.92904329	
