Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
0.960000	-0.48836750	-0.57829446	1.81448686	-1.34600306	-0.05275059	1.34703636	-3.38745689	2.86902094	2.96812534	
0.980000	-0.51733428	-0.57965249	1.84348547	-1.39810169	-0.02832089	1.39838850	-2.36491919	1.78738236	2.21078062	
1.000000	-0.54577428	-0.58031899	1.87193334	-1.45051575	-0.02968260	1.45081937	-2.27580142	0.73391855	2.24984884	
1.020000	-0.57454914	-0.58086586	1.90071344	-1.48895872	-0.02680619	1.48920000	-2.28806400	0.21318445	2.28735805	
1.040000	-0.60448194	-0.58136320	1.93065035	-1.53006208	-0.01755381	1.53016281	-2.06174755	0.16680758	2.05969977	
1.060000	-0.63557178	-0.58124560	1.96174037	-1.57839048	-0.01380319	1.57845080	-1.75293112	0.19579658	1.75034273	
1.080000	-0.66796374	-0.58191687	1.99413931	-1.61767662	-0.01043006	1.61771023	-1.36436069	0.17949867	1.36272860	
1.100000	-0.70130903	-0.58168906	2.02748537	-1.64015412	-0.01063197	1.64018857	-0.81296879	0.17658895	0.81225699	
1.120000	-0.73442054	-0.58229148	2.06060243	-1.64696503	-0.00733261	1.64698136	-0.25438356	0.21527091	0.25423855	
1.140000	-0.76762849	-0.58210629	2.09381080	-1.64047968	-0.00073115	1.64047980	0.12668912	0.26435655	-0.12625699	
1.160000	-0.79994875	-0.58253974	2.12613392	-1.63048959	0.00582138	1.63049996	0.29118049	0.29704261	-0.29017815	
1.180000	-0.83256704	-0.58199424	2.15875673	-1.62172651	0.01332014	1.62178123	0.28807461	0.24827138	-0.28681892	
1.200000	-0.86466634	-0.58174533	2.19085693	-1.61752164	0.01784364	1.61762011	0.18190238	0.17564860	-0.18068644	
1.220000	-0.89719152	-0.58105528	2.22338939	-1.61681664	0.02139558	1.61695814	0.05667704	0.15205546	-0.05508013	
1.240000	-0.92933381	-0.58075702	2.25553298	-1.61636853	0.01949394	1.61648607	-0.03323057	0.18384553	0.03603844	
1.260000	-0.96185553	-0.58037090	2.28805709	-1.61898959	0.02209295	1.61914027	-0.06569870	0.27618647	0.07128315	
1.280000	-0.99405396	-0.58001208	2.32025743	-1.62088609	0.02929021	1.62115073	-0.05951422	0.48828432	0.07284728	
1.300000	-1.02653265	-0.57971352	2.35273743	-1.62326825	0.04084332	1.62378204	0.00549704	0.80252749	0.02394814	
1.320000	-1.05911517	-0.57852042	2.38534188	-1.62278104	0.05729743	1.62379229	0.14613612	1.13714814	-0.08908407	
1.340000	-1.09158885	-0.57728368	2.41783905	-1.62034619	0.08441082	1.62254333	0.36637321	1.54131222	-0.25981951	
1.360000	-1.12417150	-0.57549387	2.45047092	-1.61142480	0.11888291	1.61580420	0.70489323	2.07405877	-0.50563097	
1.380000	-1.15621006	-0.57310718	2.48259830	-1.59639800	0.16230313	1.60462737	1.25144577	2.69980717	-0.88977033	
1.400000	-1.18824518	-0.56947279	2.51483893	-1.57028270	0.21996836	1.58561468	2.14312696	3.34227610	-1.52256680	
1.420000	-1.21946311	-0.56466997	2.54642415	-1.52767837	0.29589769	1.55607092	3.41524649	3.99762225	-2.38654828	
1.440000	-1.25014198	-0.55820632	2.57777643	-1.45408404	0.38660350	1.50460052	5.06916332	4.65169811	-3.37314677	
1.460000	-1.27908683	-0.55000234	2.60786152	-1.33659196	0.48553851	1.42204988	7.09848261	5.24474907	-4.27883959	
1.480000	-1.30580699	-0.53893894	2.63678145	-1.17559481	0.59490776	1.31755018	9.36760712	5.67805338	-4.71477461	
1.500000	-1.32805741	-0.52601159	2.66251469	-0.96538872	0.71544844	1.20159972	11.56864452	5.81223917	-4.26643038	
1.520000	-1.34550285	-0.51068062	2.68573928	-0.70562041	0.84379607	1.09995091	13.52053928	5.42378950	-2.92390156	
1.540000	-1.35760641	-0.49286678	2.70727587	-0.40440840	0.96394479	1.04533994	15.12480736	4.25340176	-1.00691223	
1.560000	-1.36309278	-0.47205245	2.72880101	-0.08048958	1.05306685	1.05613840	16.16713524	2.08801079	1.05698562	
1.580000	-1.36158788	-0.44844010	2.75246119	0.26041406	1.08640981	1.11718476	16.46657562	-1.03601420	2.84402704	
1.600000	-1.35235620	-0.42476606	2.77787161	0.60506290	1.04277420	1.20560324	16.08938789	-4.69899178	4.24280262	
1.620000	-1.33676505	-0.40315476	2.80451989	0.93372524	0.90397739	1.29962218	15.21323204	-8.34314632	5.45531702	
1.640000	-1.31416595	-0.38564530	2.83310843	1.22759151	0.67937368	1.40304291	13.93864632	-11.47960377	6.68311357	
1.660000	-1.28604233	-0.37376010	2.86364031	1.48858023	0.39823088	1.54092789	12.49216843	-13.67628193	8.05436039	
1.680000	-1.25296259	-0.36869720	2.89710522	1.72128701	0.08917348	1.72359538	11.24392319	-14.63386345	9.58534908	
1.700000	-1.21653712	-0.37051204	2.93357587	1.92677402	-0.22538221	1.93991113	10.41485691	-14.38154316	10.99053764	
1.720000	-1.17581749	-0.37871855	2.97511411	2.11636233	-0.52340806	2.18012500	9.97462940	-13.13430691	11.90962124	
1.740000	-1.13171828	-0.39243463	3.02129722	2.30655074	-0.78064048	2.43507195	9.88464355	-11.05750179	12.24163914	
1.760000	-1.08364213	-0.41149393	3.07301354	2.50532603	-0.98476642	2.69191813	10.04916859	-8.22271729	12.00370884	
1.780000	-1.03210926	-0.43433705	3.12938237	2.71076059	-1.12666345	2.93557382	10.18918896	-4.76614952	11.17153740	
1.800000	-0.97584075	-0.45924947	3.19091916	2.92179394	-1.19603395	3.15711522	9.86147118	-0.86532247	9.64422321	
1.820000	-0.91523421	-0.48485577	3.25671315	3.12948680	-1.17682219	3.34344101	8.51723385	3.25804949	7.20136833	
1.840000	-0.85000437	-0.50919533	3.32633615	3.31509042	-1.06600130	3.48226690	5.53826857	7.17226648	3.49417591	
1.860000	-0.78116906	-0.53104490	3.39855599	3.43492413	-0.86616123	3.54244828	0.41550282	10.12902451	-1.82335508	
1.880000	-0.70954180	-0.54714143	3.47196960	3.43082547	-0.60214776	3.48326659	-6.94531441	11.25347328	-8.88737297	
1.900000	-0.63765943	-0.55679047	3.54449677	3.24020982	-0.31848687	3.25582457	-15.94845390	10.01398277	-17.34120560	
1.920000	-0.57057452	-0.55851996	3.61160398	2.82333660	-0.08771142	2.82469869	-25.02570724	6.77283573	-26.11609840	
1.940000	-0.51459342	-0.55543292	3.66767001	2.18227100	0.02125550	2.18237448	-32.08540726	2.69174218	-30.78571320	
1.960000	-0.47585073	-0.55023724	3.70675945	1.37809169	-0.01331120	1.37815595	-35.47695923	-0.88260555	-25.87991714	
1.980000	-0.45734677	-0.54930097	3.72528720	0.54757845	-0.12729585	0.56218004	-34.59121704	-2.80811620	-15.69055367	
2.000000	-0.45848286	-0.55476171	3.73086476	-0.17666933	-0.23923557	0.29739824	-29.83515549	-2.56114459	-5.84803391	
2.020000	-0.47501874	-0.56574988	3.75071859	-0.71820366	-0.29193100	0.77526784	-22.70219040	-0.72302753	3.95771599	
2.040000	-0.49737012	-0.57370776	3.77444434	-1.07104862	-0.26924700	1.10437274	-15.35909462	1.31539392	10.53488636	
2.060000	-0.52266997	-0.57804179	3.80011272	-1.25958073	-0.18587652	1.27322173	-9.42608070	2.51542258	9.34265327	
2.080000	-0.54807216	-0.57754463	3.82551980	-1.34561944	-0.09117669	1.34870493	-5.39207554	2.67154098	4.97882700	
2.100000	-0.57667333	-0.57851058	3.85413718	-1.39680696	-0.03622247	1.39727652	-3.08092308	2.09537554	2.85903597	
2.120000	-0.60535330	-0.57879943	3.88281870	-1.44295788	-0.02391288	1.44315600	-2.14462686	1.17266250	2.07637620	
2.140000	-0.63482356	-0.57999909	3.91231346	-1.48079014	-0.02665568	1.48102999	-1.92619884	0.41467777	1.91776323	
2.160000	-0.66425073	-0.58026338	3.94174170	-1.51042581	-0.02047419	1.51056457	-1.80758667	0.10825625	1.80710983	
2.180000	-0.69480669	-0.58062118	3.97229981	-1.54786468	-0.01769115	1.54796576	-1.61330330	0.09589404	1.61196816	
2.200000	-0.72587800	-0.58061492	4.00337124	-1.58513772	-0.01379400	1.58519769	-1.37381506	0.09775283	1.37246239	
2.220000	-0.75839978	-0.58085626	4.03589392	-1.61469638	-0.01553048	1.61477113	-1.00856280	0.07950969	1.00776803	
2.240000	-0.79133576	-0.58147764	4.06883574	-1.62992465	-0.01437266	1.62998807	-0.51486224	0.12224545	0.51413900	
2.260000	-0.82451659	-0.58167654	4.10201740	-1.63224328	-0.01331766	1.63229764	-0.05904980	0.20141882	0.05850293	
2.280000	-0.85703832	-0.58225566	4.13454437	-1.62421250	-0.00730008	1.62422895	0.23831765	0.27214158	-0.23859233	
2.300000	-0.88921297	-0.58183318	4.16672182	-1.61288369	0.00134458	1.61288428	0.31974402	0.28073311	-0.31976837	
2.320000	-0.92118812	-0.58216459	4.19869852	-1.60369956	0.00932589	1.60372663	0.22633861	0.26840755	-0.22590400	
2.340000	-0.95327425	-0.58154929	4.23079062	-1.59996438	0.01349821	1.60002136	0.05719113	0.20953645	-0.05626031	
2.360000	-0.98521590	-0.58135647	4.26273298	-1.60378599	0.01406446	1.60384762	-0.10440743	0.14152680	0.10542865	
2.380000	-1.01725066	-0.58082038	4.29477215	-1.60998142	0.01773461	1.61007905	-0.22718351	0.19187318	0.22942117	
2.400000	-1.04921436	-0.58066511	4.32673645	-1.61563385	0.01830210	1.61573756	-0.24284910	0.45346597	0.25267094	
2.420000	-1.08202994	-0.58045977	4.35955286	-1.62042606	0.02444534	1.62061048	-0.10562585	0.87371081	0.13696247	
2.440000	-1.11442280	-0.57975405	4.39195347	-1.62523818	0.04317014	1.62581146	0.12639259	1.42100120	-0.04899500	
2.460000	-1.14716852	-0.57930654	4.42470217	-1.62241352	0.08039869	1.62440443	0.43359381	2.10455632	-0.26923159	
2.480000	-1.17935097	-0.57757235	4.45693111	-1.60914493	0.13049886	1.61442792	0.91700268	2.82892942	-0.60444403	
2.500000	-1.21192598	-0.57470959	4.48963165	-1.58814621	0.19386627	1.59993517	1.70142984	3.51150084	-1.15024853	
2.520000	-1.24347484	-0.56988668	4.52154684	-1.55520129	0.27120748	1.57867181	2.81305504	4.15771198	-1.88463557	
2.540000	-1.27451754	-0.56378210	4.55318403	-1.49739671	0.36122239	1.54035008	4.34070778	4.87047911	-2.76365256	
2.560000	-1.30426371	-0.55604690	4.58391953	-1.39884305	0.46381882	1.47373331	6.39963150	5.61750698	-3.69134521	
2.580000	-1.33245635	-0.54616278	4.61379480	-1.25620270	0.58024007	1.38373542	8.94145870	6.23025322	-4.33223391	
2.600000	-1.35698831	-0.53344679	4.64142656	-1.05606627	0.71868795	1.27741468	11.65870476	6.50417423	-4.16114712	
2.620000	-1.37667930	-0.51790696	4.66651106	-0.79246378	0.86514914	1.17323565	14.22966576	6.19335842	-2.94964147	
2.640000	-1.39066982	-0.49907392	4.68997192	-0.46618116	1.00181222	1.10496724	16.38834381	5.00190926	-0.95719212	
2.660000	-1.39725447	-0.47678158	4.71321630	-0.10300870	1.10441339	1.10920680	17.80377960	2.73967361	1.34512234	
2.680000	-1.39597547	-0.45275536	4.73727655	0.27996191	1.14957583	1.18317509	18.21885681	-0.47254866	3.47676253	
2.700000	-1.38545454	-0.42762560	4.76451969	0.66110861	1.11557865	1.29675758	17.63278008	-4.26454687	5.06232882	
2.720000	-1.36817110	-0.40474853	4.79319143	1.01905715	0.98584574	1.41787493	16.30057526	-8.14194298	6.07674408	
2.740000	-1.34324574	-0.38491878	4.82504272	1.33398223	0.76797837	1.53925288	14.53834629	-11.60077953	6.88566351	
2.760000	-1.31321526	-0.37089750	4.85818529	1.59897041	0.48262534	1.67021966	12.73277283	-14.09253407	7.88234854	
2.780000	-1.27757108	-0.36433446	4.89442873	1.82409155	0.15698430	1.83083427	11.23353386	-15.30133820	9.16109657	
2.800000	-1.23864460	-0.36466247	4.93335676	2.02300954	-0.18091071	2.03108263	10.27173233	-15.23916435	10.52655411	
2.820000	-1.19648862	-0.37251833	4.97623825	2.21327162	-0.49499315	2.26794839	9.87044621	-14.00072193	11.65237522	
