Time	Knee_Angle_right_4.81 X
9.580000	133.54025269	
9.599999	137.39408875	
9.620000	141.85131836	
9.639999	147.63204956	
9.660000	154.37875366	
9.679999	162.27265930	
9.700000	170.54750061	
9.719999	178.55445862	
9.740000	175.03155518	
9.760000	171.24848938	
9.780000	170.94433594	
9.800000	173.89852905	
9.820000	178.26319885	
9.840000	176.95025635	
9.860000	171.77175903	
9.880000	166.89698792	
9.900000	163.61543274	
9.920000	162.96638489	
9.940000	163.73403931	
9.960000	164.34333801	
9.980000	164.55514526	
10.000000	164.98493958	
10.020000	166.36473083	
10.040000	168.35913086	
10.059999	170.41777039	
10.080000	172.03273010	
10.099999	173.55754089	
10.120000	174.94313049	
10.139999	176.31022644	
10.160000	177.51045227	
10.179999	178.22262573	
10.200000	178.72235107	
10.219999	178.95333862	
10.240000	179.16984558	
10.260000	179.28709412	
10.280000	179.22810364	
10.300000	178.92863464	
10.320000	178.10354614	
10.340000	176.83656311	
10.360000	175.10278320	
10.380000	173.12214661	
10.400000	170.86857605	
10.420000	168.04449463	
10.440000	163.92459106	
10.460000	158.23236084	
10.480000	151.55247498	
10.500000	144.75491333	
10.520000	138.79020691	
10.540000	133.85884094	
10.559999	130.15010071	
10.580000	127.29465485	
10.599999	125.41632080	
10.620000	124.59065247	
10.639999	125.27318573	
10.660000	127.36067200	
10.679999	130.90399170	
10.700000	134.74455261	
10.719999	139.10908508	
10.740000	143.86012268	
10.760000	149.84237671	
10.780000	156.52632141	
10.800000	164.18426514	
10.820000	171.95959473	
10.840000	179.26708984	
10.860000	175.30636597	
10.880000	172.56297302	
10.900000	173.21003723	
10.920000	176.58235168	
10.940000	178.93267822	
10.960000	174.11239624	
10.980000	169.31044006	
11.000000	165.28889465	
11.020000	163.21072388	
11.040000	163.27447510	
11.059999	164.07475281	
11.080000	164.40409851	
11.099999	164.58283997	
11.120000	165.32331848	
11.139999	166.95709229	
11.160000	168.93017578	
11.179999	170.62353516	
11.200000	171.96929932	
11.219999	172.93034363	
11.240000	173.89181519	
11.259999	175.26747131	
11.280000	176.69651794	
11.300000	177.98918152	
11.320000	178.71485901	
11.340000	179.26995850	
11.360000	179.65763855	
11.380000	179.73904419	
11.400000	179.68972778	
11.420000	179.26103210	
11.440000	178.64056396	
11.460000	177.39239502	
11.480000	175.57568359	
11.500000	173.17248535	
11.520000	170.37881470	
11.540000	166.87593079	
11.559999	162.09503174	
11.580000	155.76387024	
11.599999	148.76972961	
11.620000	141.97674561	
11.639999	136.33857727	
11.660000	131.77378845	
11.679999	128.38603210	
11.700000	125.83556366	
11.719999	124.06768799	
11.740000	123.60459900	
11.759999	124.67055511	
11.780000	127.38679504	
11.800000	131.04524231	
11.820000	135.24468994	
11.840000	140.19580078	
11.860000	145.90707397	
11.880000	152.74992371	
11.900000	160.33609009	
11.920000	168.55787659	
11.940000	176.66206360	
11.960000	176.55688477	
11.980000	172.26544189	
12.000000	171.26930237	
