Time	Right_paced_y_velocity X
5.140000	0.15948287	
5.160000	0.09766164	
5.180000	0.05525035	
5.200000	0.02611322	
5.220000	0.01129045	
5.240000	-0.00094408	
5.260000	-0.01178508	
5.280000	-0.03203966	
5.300000	-0.05267928	
5.320000	-0.07656369	
5.340000	-0.12294339	
5.360000	-0.24346358	
5.380000	-0.50265902	
5.400000	-0.80936015	
5.420000	-1.01590395	
5.440000	-1.03393185	
5.460000	-0.88522482	
5.480000	-0.60369933	
5.500000	-0.28015998	
5.520000	-0.05603381	
5.540000	0.01275576	
5.560000	-0.00347365	
5.580000	-0.00717348	
5.600000	-0.00576383	
5.620000	-0.00171376	
5.640000	0.00083713	
5.660000	0.00253568	
5.680000	0.00360372	
5.700000	0.00268022	
5.720000	0.00082018	
5.740000	-0.00087501	
5.760000	-0.00284662	
5.780000	-0.00421094	
5.800000	-0.00140841	
5.820000	0.00410626	
5.840000	0.01037331	
5.860000	0.02375890	
5.880000	0.07152934	
5.900000	0.17846027	
5.920000	0.35226765	
5.940000	0.55863887	
5.960000	0.73556644	
5.980000	0.81256825	
6.000000	0.75919741	
6.020000	0.60163182	
6.040000	0.41845813	
6.060000	0.27180433	
6.080000	0.18741676	
6.100000	0.15378772	
6.120000	0.13672912	
6.140000	0.10733317	
6.160000	0.06253881	
6.180000	0.02732496	
6.200000	0.00903317	
6.220000	0.00542809	
6.240000	-0.00190046	
6.260000	-0.01082364	
6.280000	-0.02668415	
6.300000	-0.03857279	
6.320000	-0.04890708	
6.340000	-0.06383286	
6.360000	-0.11386461	
6.380000	-0.24046500	
6.400000	-0.49647290	
6.420000	-0.78833699	
6.440000	-0.97002035	
6.460000	-0.97282159	
6.480000	-0.82085562	
6.500000	-0.55546755	
6.520000	-0.25240570	
6.540000	-0.04761583	
6.560000	0.01512250	
6.580000	0.00074288	
6.600000	-0.00015267	
6.620000	-0.00000019	
6.640000	-0.00000019	
6.660000	-0.00000019	
6.680000	-0.00000019	
6.700000	-0.00000019	
6.720000	-0.00000019	
6.740000	-0.00000019	
6.760000	-0.00000019	
6.780000	-0.00016292	
6.800000	0.00081354	
6.820000	0.00228162	
6.840000	0.00816819	
6.860000	0.01346512	
6.880000	0.04614441	
6.900000	0.14093979	
6.920000	0.30487397	
6.940000	0.49494803	
6.960000	0.65291017	
6.980000	0.72422063	
7.000000	0.68665385	
7.020000	0.56418246	
7.040000	0.41687205	
7.060000	0.29852381	
7.080000	0.21869668	
7.100000	0.16800945	
7.120000	0.12369452	
7.140000	0.07503583	
7.160000	0.03012573	
7.180000	0.00673902	
7.200000	-0.00450120	
7.220000	-0.01069096	
7.240000	-0.01892018	
7.260000	-0.02301775	
7.280000	-0.02798890	
7.300000	-0.03243367	
7.320000	-0.03595487	
7.340000	-0.03698551	
7.360000	-0.04449528	
7.380000	-0.07665083	
7.400000	-0.17851990	
7.420000	-0.41116714	
7.440000	-0.69072950	
7.460000	-0.88101178	
7.480000	-0.90693760	
7.500000	-0.78729731	
7.520000	-0.54254067	
7.540000	-0.25018194	
7.560000	-0.03966421	
7.580000	0.03085520	
7.600000	0.05563688	
7.620000	0.13808057	
7.640000	0.27335238	
7.660000	0.44169191	
7.680000	0.61824906	
7.700000	0.74462485	
7.720000	0.76366925	
7.740000	0.67230237	
7.760000	0.49851024	
7.780000	0.28982368	
7.800000	0.05746848	
7.820000	-0.20444922	
7.840000	-0.51006067	
7.860000	-0.77685577	
7.880000	-0.90836585	
7.900000	-0.87221074	
7.920000	-0.70167422	
7.940000	-0.44220385	
7.960000	-0.17981541	
7.980000	-0.02494460	
8.000000	0.01121449	
8.020000	0.00181440	
8.040000	0.00229192	
8.059999	0.00426750	
8.080000	0.00482698	
8.099999	0.00416400	
8.120000	0.00209926	
8.139999	-0.00042462	
8.160000	-0.00192188	
8.179999	-0.00274889	
8.200000	0.00085278	
8.220000	0.00548977	
8.240000	0.03217526	
8.260000	0.11355643	
8.280000	0.26927578	
8.300000	0.46327826	
8.320000	0.63164932	
8.340000	0.71203154	
8.360000	0.68073148	
8.380000	0.55013049	
8.400000	0.37814146	
8.420000	0.23381701	
8.440000	0.14515570	
8.460000	0.10046986	
8.480000	0.03929031	
8.500000	-0.10593300	
8.520000	-0.37929314	
8.540000	-0.67346233	
8.559999	-0.85877305	
8.580000	-0.87259704	
8.599999	-0.74313319	
8.620000	-0.50308275	
8.639999	-0.23153180	
8.660000	-0.05143308	
8.679999	0.00213894	
8.700000	-0.00638626	
8.720000	-0.00163186	
8.740000	0.00318854	
8.760000	0.00463128	
8.780000	0.00367121	
8.800000	0.00486933	
8.820000	0.00632523	
8.840000	0.01119189	
8.860000	0.03986606	
8.880000	0.13578765	
8.900000	0.30610141	
8.920000	0.51590776	
8.940000	0.69266421	
8.960000	0.77409762	
8.980000	0.72743088	
9.000000	0.55925989	
9.020000	0.32654524	
9.040000	0.07099621	
9.059999	-0.21333171	
9.080000	-0.51607561	
9.099999	-0.74829161	
9.120000	-0.83743203	
9.139999	-0.77329147	
9.160000	-0.58767015	
9.179999	-0.33515838	
9.200000	-0.11098468	
9.220000	-0.00026555	
9.240000	0.01076019	
9.260000	-0.00249588	
9.280000	-0.00393422	
9.300000	0.00082273	
9.320000	0.00317314	
9.340000	0.00306697	
9.360000	0.00388343	
9.380000	0.00421305	
