Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
0.960000	-0.46896359	-0.51161021	0.64314979	0.46999237	0.02811252	0.47083238	0.29938111	0.27460676	0.31054878	
0.980000	-0.45934668	-0.51091141	0.65279204	0.47835824	0.03197887	0.47942597	0.30425948	0.16024655	0.31235480	
1.000000	-0.44969609	-0.51020646	0.66246831	0.48724121	0.03363737	0.48840094	0.31384379	0.08590090	0.31852549	
1.020000	-0.43987021	-0.50952548	0.67231774	0.49294850	0.03333339	0.49407423	0.28391892	0.04922702	0.28662124	
1.040000	-0.42993611	-0.50892538	0.68226993	0.49708143	0.03348116	0.49820772	0.20723683	0.04617714	0.21001241	
1.060000	-0.41989043	-0.50825071	0.69233823	0.50070924	0.03442316	0.50189114	0.13100077	0.06978447	0.13578230	
1.080000	-0.40988302	-0.50759685	0.70236695	0.50308847	0.03662431	0.50441980	0.05843066	0.11970024	0.06745778	
1.100000	-0.39976770	-0.50679952	0.71251363	0.50379860	0.03915477	0.50531787	-0.03971381	0.21503095	-0.02099275	
1.120000	-0.38969791	-0.50601101	0.72261423	0.50256020	0.04275017	0.50437516	-0.18059541	0.39788774	-0.13676479	
1.140000	-0.37954617	-0.50509679	0.73280704	0.49833289	0.04963351	0.50079852	-0.38525286	0.72289747	-0.27436665	
1.160000	-0.36958882	-0.50420409	0.74280435	0.49007517	0.06424931	0.49426880	-0.67991984	1.23001111	-0.40464061	
1.180000	-0.35977331	-0.50297296	0.75269675	0.47545490	0.09101985	0.48408881	-1.08952045	1.89723754	-0.46623853	
1.200000	-0.35035115	-0.50123775	0.76227736	0.45139086	0.13508891	0.47117165	-1.62980258	2.62552023	-0.39214614	
1.220000	-0.34131530	-0.49831721	0.77177346	0.41520950	0.19775459	0.45989761	-2.28965950	3.25588560	-0.15558359	
1.240000	-0.33315152	-0.49402902	0.78099495	0.36356172	0.27579394	0.45633256	-3.02593470	3.60193157	0.18768936	
1.260000	-0.32611066	-0.48765910	0.79048967	0.29505417	0.35978320	0.46529660	-3.79349971	3.48683119	0.49336767	
1.280000	-0.32071587	-0.47948572	0.80028296	0.21002346	0.43725032	0.48507494	-4.54756737	2.79744172	0.60418177	
1.300000	-0.31724873	-0.46938559	0.81096160	0.11058842	0.49421445	0.50643629	-5.25015879	1.51984262	0.46774131	
1.320000	-0.31594959	-0.45843816	0.82198584	-0.00228410	0.51739317	0.51739824	-5.89333439	-0.22937672	0.28040695	
1.340000	-0.31699628	-0.44713718	0.83333516	-0.12687811	0.49671412	0.51266265	-6.47890711	-2.23677468	0.46017697	
1.360000	-0.32059386	-0.43681630	0.84426510	-0.26259461	0.42763796	0.50182682	-6.97365952	-4.23422670	1.31414306	
1.380000	-0.32708451	-0.42828089	0.85498804	-0.40890995	0.31522301	0.51630700	-7.30626297	-5.93080854	2.79052830	
1.400000	-0.33662596	-0.42281300	0.86598516	-0.56304371	0.16933611	0.58795661	-7.39577579	-7.05115223	4.55326223	
1.420000	-0.34943241	-0.42089805	0.87893397	-0.71790236	0.00533064	0.71792215	-7.14090776	-7.43648958	6.07744312	
1.440000	-0.36553505	-0.42272028	0.89513940	-0.86430246	-0.15876958	0.87876421	-6.41899920	-7.07032156	6.74914360	
1.460000	-0.38467622	-0.42795464	0.91498333	-0.99273980	-0.30333450	1.03804827	-5.09995222	-6.01397276	6.14479113	
1.480000	-0.40629637	-0.43607524	0.93807822	-1.09134471	-0.41652131	1.16812813	-3.06065202	-4.40165806	4.19536877	
