Time	Knee_Angle_left X
4.860000	135.55525208	
4.880000	132.49766541	
4.900000	130.22395325	
4.920000	128.92707825	
4.940000	128.64128113	
4.960000	129.34236145	
4.980000	130.92684937	
5.000000	133.25834656	
5.020000	136.16326904	
5.040000	139.47615051	
5.060000	142.94467163	
5.080000	146.21803284	
5.100000	148.85829163	
5.120000	150.54742432	
5.140000	151.29084778	
5.160000	151.38627625	
5.180000	151.18093872	
5.200000	151.00582886	
5.220000	151.10867310	
5.240000	151.48898315	
5.260000	151.93310547	
5.280000	152.43371582	
5.300000	153.16082764	
5.320000	154.18647766	
5.340000	155.23567200	
5.360000	155.99470520	
5.380000	156.27346802	
5.400000	155.98046875	
5.420000	155.56181335	
5.440000	155.64266968	
5.460000	156.21897888	
5.480000	156.91305542	
5.500000	157.23805237	
5.520000	157.30863953	
5.540000	157.08549500	
5.560000	156.50398254	
5.580000	155.49220276	
5.600000	153.97015381	
5.620000	151.86790466	
5.640000	149.15507507	
5.660000	145.91885376	
5.680000	142.36640930	
5.700000	138.77091980	
5.720000	135.47608948	
5.740000	132.77871704	
5.760000	130.93478394	
5.780000	130.05680847	
5.800000	130.13566589	
5.820000	131.06568909	
5.840000	132.69566345	
5.860000	134.88067627	
5.880000	137.43530273	
5.900000	140.17361450	
5.920000	142.87020874	
5.940000	145.26734924	
5.960000	147.10545349	
5.980000	148.30563354	
6.000000	149.04107666	
6.020000	149.59117126	
6.040000	150.15985107	
6.060000	150.83863831	
6.080000	151.63081360	
6.100000	152.41169739	
6.120000	153.03311157	
6.140000	153.48297119	
6.160000	153.89234924	
6.180000	153.93411255	
6.200000	154.10827637	
6.220000	154.49804688	
6.240000	155.25486755	
6.260000	155.90016174	
6.280000	156.39979553	
6.300000	157.02894592	
6.320000	157.83798218	
6.340000	158.72479248	
6.360000	159.61685181	
6.380000	160.35429382	
6.400000	160.88163757	
6.420000	161.13374329	
6.440000	161.02261353	
6.460000	160.42350769	
6.480000	159.19219971	
6.500000	157.20382690	
6.520000	154.38731384	
6.540000	150.83085632	
6.560000	146.78550720	
6.580000	142.59844971	
6.600000	138.51466370	
6.620000	134.79652405	
6.640000	132.43594360	
6.660000	131.25761414	
6.680000	131.34547424	
6.700000	131.92819214	
6.720000	133.34457397	
6.740000	135.43089294	
6.760000	138.03974915	
6.780000	141.02366638	
6.800000	144.12117004	
6.820000	146.93025208	
6.840000	149.11018372	
6.860000	150.50389099	
6.880000	151.25843811	
6.900000	151.52305603	
6.920000	151.56518555	
6.940000	151.59983826	
6.960000	151.64607239	
6.980000	151.50621033	
7.000000	151.05574036	
7.020000	150.53700256	
7.040000	150.35220337	
7.060000	150.71820068	
7.080000	151.61204529	
7.100000	152.51986694	
7.120000	153.25248718	
7.140000	153.68807983	
7.160000	154.16177368	
7.180000	154.72027588	
7.200000	155.41491699	
7.220000	156.16375732	
7.240000	156.87203979	
7.260000	157.43780518	
7.280000	157.84124756	
7.300000	158.00299072	
7.320000	157.83850098	
7.340000	157.17282104	
7.360000	155.89971924	
7.380000	153.83969116	
7.400000	151.04312134	
7.420000	147.57225037	
7.440000	143.73400879	
7.460000	139.79154968	
7.480000	136.19763184	
7.500000	133.22355652	
7.520000	131.15945435	
7.540000	130.06796265	
7.560000	130.00654602	
7.580000	130.84896851	
7.600000	132.47651672	
7.620000	134.70233154	
7.640000	137.36880493	
7.660000	140.24504089	
7.680000	143.03964233	
7.700000	145.39947510	
7.720000	147.05371094	
7.740000	148.00341797	
7.760000	148.44140625	
7.780000	148.62448120	
7.800000	148.75564575	
7.820000	149.01066589	
7.840000	149.42097473	
7.860000	149.88877869	
7.880000	150.37985229	
7.900000	150.97204590	
7.920000	151.72532654	
7.940000	152.51062012	
7.960000	153.22193909	
7.980000	153.77975464	
8.000000	154.19265747	
8.020000	154.48260498	
8.040000	154.77256775	
8.059999	155.14030457	
8.080000	155.61956787	
8.099999	156.14328003	
8.120000	156.68244934	
8.139999	157.18049622	
8.160000	157.60650635	
8.179999	157.90533447	
8.200000	158.02586365	
8.220000	157.85493469	
8.240000	157.25129700	
8.260000	156.06192017	
8.280000	154.18966675	
8.300000	151.60884094	
8.320000	148.15634155	
8.340000	144.14344788	
8.360000	139.91339111	
8.380000	136.02839661	
8.400000	132.69442749	
8.420000	130.10112000	
8.440000	128.46421814	
8.460000	127.83966827	
8.480000	128.22314453	
8.500000	129.48825073	
8.520000	131.47789001	
8.540000	133.99894714	
8.559999	136.79357910	
8.580000	139.56979370	
8.599999	141.95346069	
8.620000	143.69438171	
8.639999	144.74716187	
8.660000	145.31356812	
8.679999	145.61386108	
8.700000	145.84486389	
8.720000	146.20042419	
8.740000	146.76022339	
8.760000	147.50816345	
8.780000	148.43121338	
8.800000	149.66415405	
8.820000	151.14895630	
8.840000	152.47257996	
8.860000	153.44152832	
8.880000	154.04241943	
8.900000	154.50201416	
8.920000	154.86558533	
8.940000	155.21263123	
8.960000	155.62948608	
8.980000	156.10362244	
9.000000	156.59524536	
9.020000	157.03007507	
9.040000	157.37512207	
9.059999	157.54591370	
9.080000	157.46319580	
9.099999	156.96760559	
9.120000	155.92857361	
9.139999	154.20268250	
9.160000	151.75822449	
9.179999	148.61497498	
9.200000	144.75212097	
9.220000	140.48931885	
9.240000	136.21044922	
9.260000	132.46208191	
9.280000	129.50123596	
9.300000	127.49175262	
9.320000	126.51971436	
9.340000	126.51692200	
9.360000	127.40444946	
9.380000	129.01506042	
9.400000	131.21559143	
9.420000	133.82429504	
9.440000	136.66911316	
9.460000	139.49565125	
9.480000	142.04624939	
9.500000	144.02458191	
9.520000	145.31170654	
9.540000	145.99049377	
9.559999	146.28880310	
9.580000	146.39559937	
9.599999	146.50451660	
9.620000	146.76110840	
9.639999	147.18687439	
9.660000	147.72517395	
9.679999	148.42541504	
9.700000	149.37869263	
9.719999	150.55497742	
9.740000	151.83668518	
9.760000	153.08918762	
9.780000	154.05657959	
9.800000	154.69895935	
9.820000	155.08332825	
9.840000	155.49197388	
9.860000	155.99099731	
9.880000	156.61100769	
9.900000	157.26655579	
9.920000	157.88430786	
9.940000	158.35252380	
9.960000	158.65640259	
9.980000	158.69728088	
10.000000	158.41462708	
10.020000	157.66757202	
10.040000	156.35351563	
10.059999	154.34564209	
10.080000	151.63926697	
10.099999	148.27606201	
10.120000	144.46260071	
10.139999	140.46226501	
10.160000	136.65681458	
10.179999	133.39450073	
10.200000	131.01383972	
10.219999	129.51284790	
10.240000	129.11543274	
10.260000	129.51252747	
10.280000	131.50471497	
10.300000	134.26829529	
10.320000	137.79348755	
10.340000	141.03140259	
10.360000	144.12704468	
10.380000	146.68550110	
10.400000	148.44865417	
10.420000	149.41018677	
10.440000	149.78149414	
10.460000	149.75317383	
10.480000	149.51119995	
10.500000	149.22801208	
10.520000	149.02900696	
10.540000	148.88385010	
10.559999	148.87626648	
10.580000	149.12908936	
10.599999	149.67449951	
10.620000	150.33158875	
10.639999	150.99250793	
10.660000	151.45806885	
10.679999	152.02468872	
10.700000	152.57423401	
10.719999	153.35258484	
10.740000	154.07711792	
10.760000	154.80290222	
10.780000	155.44688416	
10.800000	155.96684265	
10.820000	156.33578491	
10.840000	156.50711060	
10.860000	156.43138123	
10.880000	155.99450684	
10.900000	155.02296448	
10.920000	153.34509277	
10.940000	150.86039734	
10.960000	147.57983398	
10.980000	143.27821350	
11.000000	138.98377991	
11.020000	134.70100403	
11.040000	131.22425842	
11.059999	128.21669006	
11.080000	126.33374023	
11.099999	125.65625000	
11.120000	126.18711853	
11.139999	127.75254822	
11.160000	130.19544983	
11.179999	133.24073792	
11.200000	136.64155579	
11.219999	140.04130554	
11.240000	143.06929016	
11.259999	145.34201050	
11.280000	146.70896912	
11.300000	147.30415344	
11.320000	147.41120911	
11.340000	147.25860596	
11.360000	147.07069397	
11.380000	147.02832031	
11.400000	147.17782593	
11.420000	147.48666382	
11.440000	148.00927734	
11.460000	148.80108643	
11.480000	149.76776123	
11.500000	150.74661255	
11.520000	151.67018127	
11.540000	152.50502014	
11.559999	153.26126099	
11.580000	153.97259521	
11.599999	154.68971252	
11.620000	155.38412476	
11.639999	156.00222778	
11.660000	156.51597595	
11.679999	156.86412048	
11.700000	156.93968201	
11.719999	156.60101318	
11.740000	155.71411133	
11.759999	154.15655518	
11.780000	151.86735535	
11.800000	148.88394165	
11.820000	145.33346558	
11.840000	141.51644897	
11.860000	137.78230286	
11.880000	134.54913330	
11.900000	132.13714600	
11.920000	130.79826355	
11.940000	130.60192871	
11.960000	131.48837280	
11.980000	133.28192139	
12.000000	135.80555725	
12.020000	138.85737610	
12.040000	142.20233154	
12.059999	145.53228760	
12.080000	148.44366455	
12.099999	150.56144714	
12.120000	151.77748108	
12.139999	152.27784729	
12.160000	152.33792114	
12.179999	152.22956848	
12.200000	152.19279480	
12.219999	152.34848022	
12.240000	152.60923767	
12.259999	152.89654541	
12.280000	153.28268433	
12.300000	153.84957886	
12.320000	154.52566528	
12.340000	155.18833923	
12.360000	155.80348206	
12.380000	156.37498474	
12.400000	156.93518066	
12.420000	157.49960327	
12.440000	158.09118652	
12.460000	158.62490845	
12.480000	158.99116516	
12.500000	159.00051880	
12.520000	158.51890564	
12.540000	157.37364197	
12.559999	155.48410034	
12.580000	152.80763245	
12.599999	149.46200562	
12.620000	145.63117981	
12.639999	141.68769836	
12.660000	137.98721313	
12.679999	134.94398499	
12.700000	132.80360413	
12.719999	131.78385925	
12.740000	131.88693237	
12.759999	133.06040955	
12.780000	135.08049011	
12.799999	137.72831726	
12.820000	140.71266174	
12.840000	143.71189880	
12.860000	146.32861328	
12.880000	148.21958923	
12.900000	149.31768799	
12.920000	149.77378845	
12.940000	149.77207947	
12.960000	149.50823975	
12.980000	149.21929932	
13.000000	149.07061768	
13.020000	149.04737854	
13.040000	149.19219971	
13.059999	149.61293030	
13.080000	150.33236694	
