Time	Knee_Ankle_Angle_left X
20.039999	107.73585510	
20.059999	107.83226776	
20.080000	107.89701843	
20.100000	107.96949768	
20.119999	108.02517700	
20.139999	108.08992004	
20.160000	108.19525146	
20.180000	108.39529419	
20.199999	108.72290802	
20.219999	109.21179199	
20.240000	109.90975952	
20.260000	110.87286377	
20.279999	112.14382172	
20.299999	113.74356079	
20.320000	115.66529846	
20.340000	117.85006714	
20.359999	120.15522003	
20.379999	122.39004517	
20.400000	124.32637787	
20.420000	125.75721741	
20.439999	126.50509644	
20.459999	126.48988342	
20.480000	125.70449829	
20.500000	124.22257996	
20.520000	122.15179443	
20.539999	119.61631775	
20.559999	116.73637390	
20.580000	113.66995239	
20.600000	110.60533142	
20.619999	107.76824188	
20.639999	105.40665436	
20.660000	103.79477692	
20.680000	103.03700256	
20.699999	103.01194000	
20.719999	103.43328857	
20.740000	104.08900452	
20.760000	104.75399780	
20.779999	105.31477356	
20.799999	105.74528503	
20.820000	106.16624451	
20.840000	106.54530334	
20.859999	106.82727051	
20.879999	106.99727631	
20.900000	107.16350555	
20.920000	107.35864258	
20.939999	107.60521698	
20.959999	107.89651489	
20.980000	108.19995117	
21.000000	108.45953369	
21.020000	108.66232300	
21.039999	108.84532166	
21.059999	109.05755615	
21.080000	109.34143829	
21.100000	109.75672150	
21.119999	110.33177948	
21.139999	111.12157440	
21.160000	112.16711426	
21.180000	113.55291748	
21.199999	115.27268982	
21.219999	117.33810425	
21.240000	119.63166046	
21.260000	122.05043030	
21.279999	124.34271240	
21.299999	126.31076813	
21.320000	127.68345642	
21.340000	128.32180786	
21.359999	128.10511780	
21.379999	127.07199097	
21.400000	125.29469299	
21.420000	122.93766022	
21.439999	120.16004944	
21.459999	117.13037109	
21.480000	114.02725983	
21.500000	111.04013824	
21.520000	108.43609619	
21.539999	106.48614502	
21.559999	105.36573792	
21.580000	104.98608398	
21.600000	105.13446808	
21.619999	105.58371735	
21.639999	106.13633728	
21.660000	106.63151550	
21.680000	107.02929688	
21.699999	107.39049530	
21.719999	107.68856049	
21.740000	107.87382507	
21.760000	107.93154144	
21.779999	107.98110962	
21.799999	108.06317902	
21.820000	108.22706604	
21.840000	108.42340851	
21.859999	108.62896729	
21.879999	108.77927399	
21.900000	108.90176392	
21.920000	108.99172974	
21.939999	109.14642334	
21.959999	109.38269043	
21.980000	109.61837769	
22.000000	109.95018005	
22.020000	110.34753418	
