Time	Right_Heel_y_baseline X
5.080000	-0.02925210	
5.100000	-0.04276350	
5.120000	-0.04728068	
5.140000	-0.04309165	
5.160000	-0.03780110	
5.180000	-0.02677949	
5.200000	-0.01371923	
5.220000	0.00483976	
5.240000	0.02339403	
5.260000	0.04274358	
5.280000	0.05855709	
5.300000	0.06873082	
5.320000	0.07058482	
5.340000	0.06064751	
5.360000	0.04203755	
5.380000	0.01493611	
5.400000	-0.01110087	
5.420000	-0.03251158	
5.440000	-0.04312870	
5.460000	-0.04680476	
5.480000	-0.04289001	
5.500000	-0.03524251	
5.520000	-0.02189814	
5.540000	-0.00343147	
5.560000	0.01763983	
5.580000	0.04199190	
5.600000	0.06431538	
5.620000	0.08617254	
5.640000	0.09943299	
5.660000	0.10468566	
5.680000	0.09841377	
5.700000	0.08114503	
5.720000	0.05464562	
5.740000	0.02160370	
5.760000	-0.00816114	
5.780000	-0.03161928	
5.800000	-0.04279114	
5.820000	-0.04718755	
5.840000	-0.04335591	
5.860000	-0.03573298	
5.880000	-0.02284469	
5.900000	-0.00672965	
5.920000	0.01085249	
5.940000	0.03022415	
5.960000	0.04677459	
5.980000	0.06023504	
6.000000	0.06677754	
6.020000	0.06483573	
6.040000	0.05181765	
6.060000	0.02987779	
6.080000	0.00334543	
6.100000	-0.02149324	
6.120000	-0.03802545	
6.140000	-0.04577653	
6.160000	-0.04568216	
6.180000	-0.03964302	
6.200000	-0.02982505	
6.220000	-0.01383898	
6.240000	0.00347500	
6.260000	0.02454221	
6.280000	0.04347887	
6.300000	0.05963894	
6.320000	0.06877381	
6.340000	0.07007715	
6.360000	0.06037649	
6.380000	0.04104372	
6.400000	0.01541758	
6.420000	-0.01078543	
6.440000	-0.03038020	
6.460000	-0.04164256	
6.480000	-0.04463613	
6.500000	-0.04185382	
6.520000	-0.03397356	
6.540000	-0.02117349	
6.560000	-0.00676425	
6.580000	0.00715740	
6.600000	0.01560427	
6.620000	0.01534879	
6.640000	0.00504118	
6.660000	-0.01167957	
6.680000	-0.02793728	
6.700000	-0.03976297	
6.720000	-0.04486109	
6.740000	-0.04643384	
6.760000	-0.04618533	
6.780000	-0.04275040	
6.800000	-0.03849894	
6.820000	-0.03014950	
6.840000	-0.02025744	
6.860000	-0.00469100	
6.880000	0.01176362	
6.900000	0.03028310	
6.920000	0.04676374	
6.940000	0.06150358	
6.960000	0.06986017	
6.980000	0.07341463	
7.000000	0.07124212	
7.020000	0.06144033	
7.040000	0.04399575	
7.060000	0.01974622	
7.080000	-0.00523245	
7.100000	-0.02793933	
7.120000	-0.04107307	
7.140000	-0.04663792	
7.160000	-0.04524656	
7.180000	-0.04026593	
7.200000	-0.03132266	
7.220000	-0.01721147	
7.240000	-0.00228289	
7.260000	0.01362581	
7.280000	0.02651820	
7.300000	0.03643300	
7.320000	0.04149182	
7.340000	0.03924991	
7.360000	0.02915458	
7.380000	0.01010083	
7.400000	-0.01114960	
7.420000	-0.03121376	
7.440000	-0.04206240	
7.460000	-0.04716769	
7.480000	-0.04645349	
7.500000	-0.04164296	
7.520000	-0.03296459	
7.540000	-0.01841450	
7.560000	-0.00283416	
7.580000	0.01518892	
7.600000	0.03223719	
7.620000	0.04780138	
7.640000	0.05773868	
7.660000	0.06229332	
7.680000	0.05789671	
7.700000	0.04398469	
7.720000	0.02088027	
7.740000	-0.00697939	
7.760000	-0.03039679	
7.780000	-0.04415999	
7.800000	-0.04694805	
7.820000	-0.04270209	
7.840000	-0.03687687	
7.860000	-0.02702595	
7.880000	-0.01527272	
7.900000	-0.00082152	
7.920000	0.01325059	
7.940000	0.02965590	
7.960000	0.04370322	
7.980000	0.05345589	
8.000000	0.05574201	
8.020000	0.05081297	
8.040000	0.03862987	
8.059999	0.01955544	
8.080000	-0.00269720	
8.099999	-0.02451424	
8.120000	-0.04041393	
8.139999	-0.04731447	
8.160000	-0.04735950	
8.179999	-0.04249576	
8.200000	-0.03824899	
8.220000	-0.02975710	
8.240000	-0.02070861	
8.260000	-0.00508076	
8.280000	0.01081892	
8.300000	0.02974719	
8.320000	0.04496276	
8.340000	0.05747646	
8.360000	0.06306403	
8.380000	0.06228104	
