Time	Knee_Angle_right X
6.920000	140.95021057	
6.940000	145.78408813	
6.960000	150.02355957	
6.980000	153.67225647	
7.000000	156.54525757	
7.020000	158.64839172	
7.040000	159.66743469	
7.060000	160.29148865	
7.080000	160.70918274	
7.100000	160.85597229	
7.120000	160.34521484	
7.140000	159.72904968	
7.160000	159.97138977	
7.180000	161.36671448	
7.200000	163.01469421	
7.220000	164.17379761	
7.240000	164.69584656	
7.260000	165.44418335	
7.280000	166.53286743	
7.300000	167.69602966	
7.320000	168.48532104	
7.340000	169.15376282	
7.360000	169.76037598	
7.380000	170.50004578	
7.400000	171.26628113	
7.420000	171.93150330	
7.440000	172.45429993	
7.460000	173.02116394	
7.480000	173.43612671	
7.500000	173.56105042	
7.520000	173.15966797	
7.540000	172.34707642	
7.560000	171.49659729	
7.580000	170.15095520	
7.600000	168.70317078	
7.620000	166.52740479	
7.640000	163.72824097	
7.660000	159.69267273	
7.680000	155.00895691	
7.700000	149.90698242	
7.720000	144.81440735	
7.740000	139.54151917	
7.760000	134.56251526	
7.780000	130.46353149	
7.800000	128.06265259	
7.820000	127.50015259	
7.840000	128.23277283	
7.860000	129.63366699	
7.880000	131.51269531	
7.900000	134.15687561	
7.920000	137.67642212	
7.940000	141.92607117	
7.960000	146.57868958	
7.980000	151.14135742	
8.000000	155.15225220	
8.020000	158.35321045	
8.040000	160.47592163	
8.059999	161.52096558	
8.080000	161.92158508	
8.099999	162.12081909	
8.120000	161.97377014	
8.139999	161.54278564	
8.160000	161.09417725	
8.179999	161.54541016	
8.200000	162.82579041	
8.220000	164.28118896	
8.240000	165.19454956	
8.260000	165.59814453	
8.280000	166.15383911	
8.300000	167.07640076	
8.320000	167.88490295	
8.340000	168.20751953	
8.360000	168.37414551	
8.380000	168.74107361	
8.400000	169.50160217	
8.420000	170.09973145	
8.440000	170.44242859	
8.460000	170.68463135	
8.480000	171.01747131	
8.500000	171.37945557	
8.520000	171.26289368	
8.540000	170.79052734	
8.559999	170.05079651	
8.580000	169.02023315	
8.599999	167.82858276	
8.620000	166.00546265	
8.639999	163.73828125	
8.660000	160.50923157	
8.679999	156.82238770	
8.700000	152.17773438	
8.720000	147.14262390	
8.740000	141.64404297	
8.760000	136.72114563	
8.780000	132.42063904	
8.800000	129.50669861	
8.820000	128.03674316	
8.840000	128.04351807	
8.860000	128.85678101	
8.880000	130.09655762	
8.900000	131.87799072	
8.920000	134.51928711	
8.940000	138.17167664	
8.960000	142.61947632	
8.980000	147.33644104	
9.000000	151.69621277	
9.020000	155.43089294	
9.040000	158.31297302	
9.059999	160.36228943	
9.080000	161.05482483	
9.099999	160.85934448	
9.120000	160.37754822	
9.139999	160.20465088	
9.160000	159.95039368	
9.179999	159.40216064	
9.200000	158.94709778	
9.220000	159.60981750	
9.240000	161.53288269	
9.260000	163.56292725	
9.280000	164.44946289	
9.300000	164.37207031	
9.320000	164.53385925	
9.340000	165.48941040	
9.360000	166.59187317	
9.380000	167.30870056	
9.400000	167.65481567	
9.420000	167.95057678	
9.440000	168.48561096	
9.460000	169.05603027	
9.480000	169.64743042	
9.500000	170.04652405	
9.520000	170.28851318	
9.540000	170.44664001	
9.559999	170.23326111	
9.580000	169.53433228	
9.599999	168.24887085	
9.620000	166.47619629	
9.639999	164.35523987	
9.660000	161.21241760	
9.679999	157.32734680	
9.700000	152.55654907	
9.719999	147.70487976	
9.740000	142.46720886	
9.760000	137.26583862	
9.780000	132.32104492	
9.800000	128.58467102	
9.820000	126.35148621	
9.840000	125.75283813	
9.860000	126.51110840	
9.880000	128.33882141	
9.900000	130.86970520	
9.920000	134.07420349	
9.940000	137.97499084	
9.960000	142.35029602	
9.980000	146.88085938	
10.000000	150.81022644	
10.020000	154.31546021	
10.040000	156.82537842	
10.059999	158.45570374	
10.080000	159.03575134	
10.099999	159.50477600	
10.120000	159.95091248	
10.139999	160.02362061	
10.160000	159.25270081	
10.179999	158.23837280	
10.200000	158.19729614	
10.219999	159.47879028	
10.240000	161.44537354	
10.260000	163.11813354	
10.280000	163.85084534	
10.300000	164.57405090	
10.320000	165.48590088	
10.340000	166.54293823	
10.360000	167.09347534	
10.380000	167.31727600	
10.400000	167.42114258	
10.420000	167.75515747	
10.440000	168.05958557	
10.460000	168.40362549	
10.480000	168.62333679	
10.500000	168.86660767	
10.520000	168.99128723	
10.540000	168.76750183	
10.559999	168.22955322	
10.580000	167.32289124	
10.599999	166.42022705	
10.620000	164.87048340	
10.639999	162.81840515	
10.660000	159.64904785	
10.679999	155.99617004	
10.700000	151.78453064	
10.719999	147.41552734	
10.740000	142.69325256	
10.760000	137.93168640	
10.780000	133.55424500	
10.800000	130.16136169	
10.820000	128.31967163	
10.840000	127.88304901	
10.860000	128.58001709	
10.880000	129.83854675	
10.900000	131.44158936	
10.920000	133.70303345	
10.940000	136.66865540	
10.960000	140.42083740	
10.980000	144.59017944	
11.000000	148.54594421	
11.020000	152.25584412	
11.040000	155.28007507	
11.059999	158.12185669	
11.080000	160.15489197	
11.099999	161.19038391	
11.120000	161.30195618	
11.139999	161.30418396	
11.160000	161.37767029	
11.179999	161.38571167	
11.200000	160.69964600	
11.219999	159.87222290	
11.240000	159.66717529	
11.259999	160.70317078	
11.280000	162.21838379	
11.300000	163.21774292	
11.320000	163.31974792	
11.340000	163.62136841	
11.360000	164.51548767	
11.380000	165.67897034	
11.400000	166.51890564	
11.420000	166.88751221	
11.440000	167.13444519	
11.460000	167.56207275	
11.480000	168.20140076	
11.500000	168.94833374	
11.520000	169.44738770	
11.540000	169.82542419	
11.559999	170.05139160	
11.580000	170.15551758	
11.599999	169.89099121	
11.620000	169.19741821	
11.639999	168.43078613	
11.660000	167.14631653	
11.679999	165.77581787	
11.700000	163.39822388	
11.719999	160.61801147	
11.740000	156.67080688	
11.759999	152.48977661	
11.780000	147.46852112	
11.800000	142.31987000	
11.820000	136.85035706	
11.840000	131.77482605	
11.860000	127.67995453	
11.880000	125.18242645	
11.900000	124.36612701	
11.920000	124.84036255	
11.940000	125.94144440	
11.960000	127.74149323	
11.980000	130.24127197	
12.000000	133.50607300	
12.020000	137.74943542	
12.040000	142.44964600	
12.059999	147.40097046	
12.080000	151.76788330	
12.099999	155.52865601	
12.120000	158.36064148	
12.139999	160.13711548	
12.160000	161.19322205	
12.179999	161.97908020	
12.200000	162.23576355	
12.219999	161.71411133	
12.240000	160.59172058	
12.259999	160.41983032	
12.280000	161.58203125	
12.300000	163.49476624	
12.320000	164.72177124	
12.340000	165.11627197	
12.360000	165.14135742	
12.380000	165.60342407	
12.400000	166.13288879	
12.420000	166.57693481	
12.440000	166.64599609	
12.460000	166.85560608	
12.480000	167.14288330	
12.500000	167.75389099	
12.520000	168.15917969	
12.540000	168.62052917	
12.559999	168.71572876	
12.580000	168.93313599	
12.599999	168.70011902	
12.620000	168.22169495	
12.639999	167.29327393	
12.660000	166.09643555	
12.679999	164.78564453	
12.700000	162.93264771	
12.719999	160.87901306	
12.740000	158.27825928	
12.759999	155.41839600	
12.780000	152.15502930	
12.799999	148.50892639	
12.820000	144.24876404	
12.840000	139.95912170	
12.860000	135.97254944	
12.880000	133.10922241	
12.900000	131.33175659	
12.920000	130.74333191	
12.940000	131.22567749	
12.960000	132.42237854	
12.980000	134.30305481	
13.000000	136.45504761	
13.020000	139.22239685	
13.040000	142.33520508	
13.059999	145.83041382	
13.080000	149.24011230	
13.099999	152.43431091	
13.120000	155.01457214	
13.139999	156.83126831	
13.160000	157.82003784	
13.179999	158.62409973	
13.200000	159.65301514	
13.219999	161.03303528	
13.240000	161.69213867	
13.259999	161.37130737	
13.280000	160.74972534	
13.299999	161.35177612	
13.320000	162.98466492	
13.340000	164.61834717	
13.360000	165.06970215	
13.380000	165.11976624	
13.400000	165.33241272	
13.420000	166.16070557	
13.440000	166.73547363	
13.460000	166.83854675	
13.480000	166.60636902	
13.500000	166.70103455	
13.520000	166.91935730	
13.540000	167.20649719	
13.559999	167.13252258	
13.580000	167.12696838	
13.599999	167.13317871	
13.620000	167.17536926	
13.639999	166.89772034	
13.660000	166.19656372	
13.679999	164.98950195	
13.700000	163.25767517	
13.719999	161.31192017	
13.740000	158.87702942	
13.759999	156.00836182	
13.780000	152.30688477	
13.799999	148.20655823	
13.820000	143.75656128	
13.840000	139.58047485	
13.860000	135.66864014	
13.880000	132.60580444	
13.900000	130.83480835	
13.920000	130.47747803	
13.940000	131.41470337	
13.960000	132.84014893	
13.980000	134.75263977	
14.000000	137.10972595	
14.020000	139.97755432	
14.040000	143.41587830	
14.059999	147.18449402	
14.080000	150.85540771	
14.099999	154.20144653	
14.120000	156.55250549	
14.139999	158.04769897	
14.160000	158.52893066	
14.179999	159.27423096	
14.200000	160.34391785	
14.219999	161.70538330	
14.240000	162.05229187	
14.259999	161.71997070	
14.280000	161.68991089	
14.299999	162.83013916	
14.320000	164.49494934	
14.340000	165.66491699	
14.360000	166.06155396	
14.380000	166.30142212	
14.400000	166.58959961	
14.420000	167.26533508	
14.440000	167.58345032	
14.460000	167.74349976	
14.480000	167.51676941	
14.500000	167.58467102	
14.520000	167.73635864	
14.540000	167.82678223	
14.559999	167.72897339	
14.580000	167.44137573	
14.599999	167.01440430	
14.620000	166.26092529	
14.639999	165.45965576	
14.660000	164.23722839	
14.679999	162.46244812	
14.700000	159.77696228	
14.719999	156.05282593	
14.740000	151.61860657	
14.759999	146.46588135	
14.780000	141.38002014	
14.799999	136.23454285	
14.820000	131.81942749	
14.839999	128.69444275	
14.860000	127.27388000	
14.880000	127.17584229	
14.900000	127.66037750	
14.920000	128.79269409	
14.940000	130.29281616	
14.960000	132.88163757	
14.980000	136.09426880	
15.000000	140.20697021	
15.020000	144.30857849	
15.040000	148.40434265	
15.059999	152.33740234	
15.080000	156.00784302	
15.099999	159.47296143	
15.120000	161.89321899	
15.139999	163.13861084	
15.160000	162.92546082	
15.179999	162.55297852	
15.200000	162.08532715	
15.219999	161.66157532	
15.240000	160.89743042	
15.259999	160.06398010	
15.280000	160.15505981	
15.299999	161.44667053	
15.320000	163.25018311	
15.339999	164.48614502	
15.360000	164.66548157	
15.380000	165.02792358	
15.400000	165.77914429	
15.420000	166.92294312	
15.440000	167.62512207	
15.460000	168.04307556	
15.480000	168.19219971	
15.500000	168.74525452	
15.520000	169.23518372	
15.540000	169.77197266	
15.559999	169.81288147	
15.580000	169.67477417	
15.599999	169.22283936	
15.620000	168.64938354	
15.639999	168.02667236	
15.660000	166.80923462	
15.679999	164.87176514	
15.700000	161.52922058	
15.719999	157.27734375	
15.740000	151.97673035	
15.759999	146.58345032	
15.780000	141.35430908	
15.799999	136.80288696	
15.820000	133.11154175	
15.839999	130.73149109	
15.860000	129.86949158	
15.880000	130.29336548	
15.900000	131.52847290	
15.920000	133.58796692	
15.940000	136.37364197	
15.960000	139.89436340	
15.980000	143.97778320	
16.000000	148.09455872	
16.020000	152.19784546	
16.039999	155.66874695	
16.059999	158.84379578	
16.080000	161.21676636	
16.100000	162.52943420	
16.119999	162.86683655	
16.139999	162.75439453	
16.160000	162.29495239	
16.180000	161.51538086	
16.199999	160.42814636	
16.219999	160.11676025	
16.240000	160.73587036	
16.260000	162.09230042	
16.279999	163.24810791	
16.299999	163.92170715	
16.320000	164.11198425	
16.340000	164.49684143	
16.359999	165.08242798	
16.379999	165.69308472	
16.400000	166.01986694	
16.420000	166.22631836	
16.440001	166.89274597	
16.459999	167.77268982	
16.480000	168.62388611	
16.500000	169.21789551	
16.520000	169.54707336	
16.539999	170.01490784	
16.559999	170.00907898	
16.580000	169.57545471	
16.600000	168.59191895	
16.619999	167.05210876	
16.639999	165.11314392	
16.660000	162.16371155	
16.680000	158.96250916	
16.699999	154.97888184	
16.719999	150.83851624	
16.740000	146.18072510	
16.760000	141.69229126	
16.779999	137.27102661	
16.799999	133.68869019	
16.820000	131.14906311	
16.840000	130.12614441	
16.859999	130.19386292	
16.879999	131.13183594	
16.900000	132.50309753	
16.920000	134.30744934	
16.940001	136.78244019	
16.959999	139.89613342	
16.980000	143.53489685	
17.000000	147.05871582	
17.020000	150.51873779	
17.039999	153.33758545	
17.059999	155.73718262	
17.080000	157.37443542	
17.100000	158.52885437	
17.119999	159.21737671	
17.139999	159.88905334	
17.160000	160.52818298	
17.180000	160.94172668	
17.199999	160.73316956	
17.219999	160.42469788	
17.240000	160.57550049	
17.260000	161.64707947	
17.279999	162.95942688	
17.299999	163.75856018	
17.320000	164.07315063	
17.340000	164.56198120	
17.359999	165.45756531	
17.379999	166.54251099	
17.400000	167.28115845	
17.420000	167.81990051	
17.440001	168.16470337	
17.459999	168.64952087	
17.480000	169.23683167	
17.500000	169.80540466	
17.520000	170.12030029	
17.539999	170.38246155	
17.559999	170.52336121	
17.580000	170.43057251	
17.600000	169.89292908	
17.619999	168.83464050	
17.639999	167.47932434	
