Time	Step_Length_1 X
0.000000	-0.16161679	
0.020000	-0.15081832	
0.040000	-0.13850629	
0.060000	-0.12264380	
0.080000	-0.10534832	
0.100000	-0.08543706	
0.120000	-0.06391251	
0.140000	-0.03845739	
0.160000	-0.01104409	
0.180000	0.01458886	
0.200000	0.04364732	
0.220000	0.07674471	
0.240000	0.11646959	
0.260000	0.15439588	
0.280000	0.18988860	
0.300000	0.22060335	
0.320000	0.24689552	
0.340000	0.26218447	
0.360000	0.26856333	
0.380000	0.26632077	
0.400000	0.26307580	
0.420000	0.25718373	
0.440000	0.24800891	
0.460000	0.23512392	
0.480000	0.22061710	
0.500000	0.20443615	
0.520000	0.18531731	
0.540000	0.16073945	
0.560000	0.13115996	
0.580000	0.09665689	
0.600000	0.05911347	
0.620000	0.01898706	
0.640000	-0.02196023	
0.660000	-0.06444749	
0.680000	-0.10555798	
0.700000	-0.14315146	
0.720000	-0.17339203	
0.740000	-0.19278145	
0.760000	-0.19987497	
0.780000	-0.19871232	
0.800000	-0.19476372	
0.820000	-0.18994609	
0.840000	-0.18154910	
0.860000	-0.16798633	
0.880000	-0.15071622	
0.900000	-0.13194543	
0.920000	-0.11276180	
0.940000	-0.09292501	
0.960000	-0.07040727	
0.980000	-0.04499739	
1.000000	-0.01776895	
1.020000	0.00953349	
1.040000	0.03765678	
1.060000	0.06695697	
1.080000	0.09776944	
1.100000	0.12940568	
1.120000	0.15898779	
1.140000	0.18409842	
1.160000	0.19812208	
1.180000	0.20242655	
1.200000	0.20141983	
1.220000	0.19995567	
1.240000	0.19910270	
1.260000	0.19622663	
1.280000	0.19217193	
1.300000	0.18556985	
1.320000	0.17717743	
1.340000	0.16817251	
1.360000	0.15708655	
1.380000	0.14261562	
1.400000	0.12262127	
1.420000	0.09877300	
1.440000	0.07121927	
1.460000	0.04052955	
1.480000	0.00705767	
1.500000	-0.02649319	
1.520000	-0.06133977	
1.540000	-0.09505022	
1.560000	-0.12812978	
1.580000	-0.15681738	
1.600000	-0.17761391	
1.620000	-0.18730038	
1.640000	-0.18854499	
1.660000	-0.18624106	
1.680000	-0.18413961	
1.700000	-0.18112785	
1.720000	-0.17574739	
1.740000	-0.16781831	
1.760000	-0.15665132	
1.780000	-0.14299759	
1.800000	-0.12734407	
1.820000	-0.10989267	
1.840000	-0.09051976	
1.860000	-0.06871295	
1.880000	-0.04510146	
1.900000	-0.01961601	
1.920000	0.00623864	
1.940000	0.03484204	
