Time	Knee_Ankle_Angle_left X
2.960000	107.49113464	
2.980000	107.45413208	
3.000000	107.47525787	
3.020000	107.54158783	
3.040000	107.56338501	
3.060000	107.54665375	
3.080000	107.56160736	
3.100000	107.69121552	
3.120000	107.86019897	
3.140000	108.10241699	
3.160000	108.40908051	
3.180000	108.95789337	
3.200000	109.61010742	
3.220000	110.36705017	
3.240000	111.11812592	
3.260000	112.12924194	
3.280000	113.26260376	
3.300000	114.61370087	
3.320000	115.95670319	
3.340000	117.41712952	
3.360000	118.82086945	
3.380000	120.26106262	
3.400000	121.44689941	
3.420000	122.45298767	
3.440000	122.85154724	
3.460000	122.73779297	
3.480000	121.98421478	
3.500000	120.80104065	
3.520000	119.28587341	
3.540000	117.40417480	
3.560000	115.37612915	
3.580000	113.29009247	
3.600000	111.44507599	
3.620000	110.27519226	
3.640000	109.89730835	
3.660000	110.04483032	
3.680000	110.04644012	
3.700000	109.90870667	
3.720000	109.69058990	
3.740000	109.60757446	
3.760000	109.49556732	
3.780000	109.36517334	
3.800000	109.11281586	
3.820000	108.84473419	
3.840000	108.53804016	
3.860000	108.33676147	
3.880000	108.10391998	
3.900000	107.98371887	
3.920000	107.81724548	
3.940000	107.68138123	
3.960000	107.45563507	
3.980000	107.25352478	
4.000000	107.06689453	
4.020000	106.98051453	
4.040000	106.89363861	
4.060000	106.86920166	
4.080000	106.88426208	
4.100000	107.01560211	
4.120000	107.30293274	
4.140000	107.64882660	
4.160000	108.09414673	
4.180000	108.68652344	
4.200000	109.33934784	
4.220000	110.19547272	
4.240000	111.08441162	
4.260000	112.31818390	
4.280000	113.68717194	
4.300000	115.37300110	
4.320000	117.07601929	
4.340000	118.89160156	
4.360000	120.50646973	
4.380000	122.02809143	
4.400000	123.14540100	
4.420000	123.71875763	
4.440000	123.55068970	
4.460000	122.53995514	
4.480000	120.98213196	
4.500000	118.89151001	
4.520000	116.62010193	
4.540000	114.04131317	
4.560000	111.49967957	
4.580000	109.22380066	
4.600000	107.98349762	
4.620000	107.94478607	
4.640000	108.37741089	
4.660000	108.58267212	
4.680000	108.41673279	
4.700000	108.39766693	
4.720000	108.60902405	
4.740000	108.73817444	
4.760000	108.66372681	
4.780000	108.46718597	
4.800000	108.28230286	
4.820000	108.23744202	
4.840000	108.20635986	
4.860000	108.23124695	
4.880000	108.28207397	
4.900000	108.28819275	
4.920000	108.31669617	
4.940000	108.37058258	
4.960000	108.49022675	
4.980000	108.72967529	
5.000000	109.00048065	
5.020000	109.45977783	
5.040000	109.88592529	
5.060000	110.51860809	
5.080000	111.15489960	
5.100000	112.03550720	
5.120000	112.94841766	
5.140000	114.16020966	
5.160000	115.49172974	
5.180000	117.06656647	
5.200000	118.53937531	
5.220000	119.91857910	
5.240000	120.97947693	
5.260000	121.65982819	
5.280000	121.82057953	
5.300000	121.28426361	
5.320000	120.25444794	
5.340000	118.77568054	
5.360000	117.03785706	
5.380000	114.94743347	
5.400000	112.77883148	
5.420000	110.61824036	
5.440000	108.75669098	
5.460000	107.20121002	
5.480000	106.39347076	
5.500000	106.30402374	
5.520000	106.65773010	
5.540000	106.92758942	
5.560000	107.06423950	
5.580000	107.21816254	
5.600000	107.46208191	
5.620000	107.62470245	
5.640000	107.65985870	
5.660000	107.52194214	
5.680000	107.34720612	
5.700000	107.21611786	
5.720000	107.16333008	
5.740000	107.21614075	
5.760000	107.24433899	
5.780000	107.27459717	
5.800000	107.27159882	
5.820000	107.29476166	
5.840000	107.39362335	
5.860000	107.46405029	
5.880000	107.64936829	
5.900000	107.96427917	
5.920000	108.37200165	
5.940000	108.94742584	
5.960000	109.51788330	
5.980000	110.38585663	
6.000000	111.24479675	
6.020000	112.36840820	
6.040000	113.55611420	
6.060000	114.88983917	
6.080000	116.24635315	
6.100000	117.55567932	
6.120000	118.67930603	
6.140000	119.47195435	
6.160000	119.71300507	
6.180000	119.35510254	
6.200000	118.43963623	
6.220000	117.13095093	
6.240000	115.64007568	
6.260000	113.88139343	
6.280000	112.16481781	
6.300000	110.50241089	
6.320000	109.42884064	
6.340000	109.05173492	
6.360000	109.34142303	
6.380000	109.63397217	
6.400000	109.62519836	
6.420000	109.39813995	
6.440000	109.32299042	
6.460000	109.38243866	
6.480000	109.41537476	
6.500000	109.30332947	
6.520000	109.12331390	
6.540000	109.04045868	
6.560000	109.04650879	
6.580000	109.04337311	
6.600000	108.97998047	
6.620000	108.87186432	
6.640000	108.84594727	
6.660000	108.85872650	
6.680000	108.95705414	
6.700000	109.03944397	
6.720000	109.18042755	
6.740000	109.31911469	
6.760000	109.61613464	
6.780000	110.01013184	
6.800000	110.52687073	
6.820000	111.30105591	
6.840000	112.23199463	
6.860000	113.36257935	
6.880000	114.54164886	
6.900000	115.83603668	
6.920000	117.07279205	
6.940000	118.23402405	
6.960000	119.10693359	
6.980000	119.75958252	
7.000000	119.82270813	
7.020000	119.39334106	
7.040000	118.45336151	
7.060000	117.12407684	
7.080000	115.58653259	
7.100000	113.78729248	
7.120000	111.96987915	
7.140000	110.08559418	
7.160000	108.56484985	
7.180000	107.67695618	
7.200000	107.59199524	
7.220000	107.91241455	
7.240000	108.06371307	
7.260000	108.02729797	
7.280000	107.99398804	
7.300000	108.14694977	
7.320000	108.24722290	
7.340000	108.16571808	
7.360000	107.97978210	
7.380000	107.76722717	
7.400000	107.69969177	
7.420000	107.62043762	
7.440000	107.64788055	
7.460000	107.66400146	
7.480000	107.76906586	
7.500000	107.86158752	
7.520000	107.88212585	
7.540000	107.80857086	
7.560000	107.73134613	
7.580000	107.74062347	
7.600000	107.90569305	
7.620000	108.06265259	
7.640000	108.29878235	
7.660000	108.58774567	
7.680000	108.92589569	
7.700000	109.34058380	
7.720000	109.75052643	
7.740000	110.36234283	
7.760000	110.93267822	
7.780000	111.62870789	
7.800000	112.32575989	
7.820000	113.29763794	
7.840000	114.37459564	
7.860000	115.73060608	
7.880000	117.06401062	
7.900000	118.49301910	
7.920000	119.78463745	
7.940000	121.13211060	
7.960000	122.18609619	
7.980000	122.99989319	
8.000000	123.32565308	
8.020000	123.15030670	
8.040000	122.37427521	
8.059999	121.10615540	
8.080000	119.52217865	
8.099999	117.53504944	
8.120000	115.39443207	
8.139999	113.13372803	
8.160000	110.99993896	
8.179999	108.90995789	
8.200000	107.35968018	
8.220000	106.41056061	
8.240000	106.32291412	
8.260000	106.45281219	
8.280000	106.56871033	
8.300000	106.52352142	
8.320000	106.54058838	
8.340000	106.76599121	
8.360000	106.93344116	
8.380000	107.11708832	
8.400000	107.16188812	
8.420000	107.17448425	
8.440000	107.09560394	
8.460000	106.98097992	
8.480000	106.89365387	
8.500000	106.80505371	
8.520000	106.78788757	
8.540000	106.73262787	
8.559999	106.75268555	
8.580000	106.80243683	
8.599999	106.88843536	
8.620000	106.92909241	
8.639999	106.90268707	
8.660000	106.96987152	
8.679999	107.02790070	
8.700000	107.17392731	
8.720000	107.19951630	
8.740000	107.29228210	
8.760000	107.45623779	
8.780000	107.77257538	
8.800000	108.12305450	
8.820000	108.58243561	
8.840000	109.04124451	
8.860000	109.69312286	
8.880000	110.28617096	
8.900000	111.08928680	
8.920000	111.95411682	
8.940000	113.11685181	
8.960000	114.42071533	
8.980000	115.96366119	
9.000000	117.46990967	
9.020000	119.02536011	
9.040000	120.36579895	
9.059999	121.74722290	
9.080000	122.86439514	
9.099999	123.85625458	
9.120000	124.30628967	
9.139999	124.28281403	
9.160000	123.66751099	
9.179999	122.58729553	
9.200000	121.03643036	
9.220000	119.12306976	
9.240000	117.05442810	
9.260000	114.80922699	
9.280000	112.60389709	
9.300000	110.38150787	
9.320000	108.56478882	
9.340000	107.14863586	
9.360000	106.48064423	
9.380000	106.34765625	
9.400000	106.32581329	
9.420000	106.20258331	
9.440000	106.06960297	
9.460000	106.15527344	
9.480000	106.36447906	
9.500000	106.50564575	
9.520000	106.52728271	
9.540000	106.42236328	
9.559999	106.29225159	
9.580000	106.21003723	
9.599999	106.10884094	
9.620000	106.02452850	
9.639999	105.91275024	
9.660000	105.92973328	
9.679999	105.93795013	
9.700000	105.96371460	
9.719999	105.90636444	
9.740000	105.82265472	
9.760000	105.78911591	
9.780000	105.78838348	
9.800000	105.82042694	
9.820000	105.95925903	
9.840000	106.07814026	
9.860000	106.37181091	
9.880000	106.62233734	
9.900000	107.02983093	
9.920000	107.40460205	
9.940000	107.80378723	
9.960000	108.20928955	
9.980000	108.51171875	
10.000000	108.85163879	
10.020000	109.18425751	
10.040000	109.58755493	
10.059999	110.13265991	
10.080000	110.79913330	
10.099999	111.67437744	
10.120000	112.59418488	
10.139999	113.59303284	
10.160000	114.62371063	
10.179999	115.68589020	
10.200000	116.53087616	
10.219999	117.12382507	
10.240000	117.22219849	
10.260000	116.85675049	
10.280000	116.02690125	
10.300000	114.74087524	
10.320000	113.32183838	
10.340000	111.60362244	
10.360000	109.94152832	
10.380000	108.13822937	
10.400000	106.48947144	
10.420000	105.05187225	
10.440000	104.15965271	
10.460000	103.91450500	
10.480000	104.21648407	
10.500000	104.63176727	
10.520000	105.00786591	
10.540000	105.25083160	
10.559999	105.53266907	
10.580000	105.79070282	
10.599999	105.96999359	
10.620000	106.04138947	
10.639999	105.98114777	
10.660000	105.93878937	
10.679999	105.89228058	
10.700000	105.93495941	
10.719999	105.94326019	
10.740000	105.97247314	
10.760000	106.15609741	
10.780000	106.29802704	
10.800000	106.60065460	
10.820000	106.78214264	
10.840000	107.04917145	
10.860000	107.19625092	
10.880000	107.32923889	
10.900000	107.47861481	
10.920000	107.70201874	
10.940000	108.12414551	
10.960000	108.62355804	
10.980000	109.29823303	
11.000000	109.93405914	
11.020000	110.90126038	
11.040000	111.98851013	
11.059999	113.51568604	
11.080000	115.06886292	
11.099999	116.70925903	
11.120000	118.25156403	
11.139999	119.80014801	
11.160000	121.13308716	
11.179999	122.14846039	
11.200000	122.53523254	
11.219999	122.30561829	
11.240000	121.38750458	
11.259999	120.03200531	
11.280000	118.27713776	
11.300000	116.15682983	
11.320000	113.74346924	
11.340000	111.28379822	
11.360000	108.92820740	
11.380000	107.00005341	
11.400000	105.74340820	
11.420000	105.42359924	
11.440000	105.68170166	
11.460000	105.99998474	
11.480000	106.15992737	
11.500000	106.30970764	
11.520000	106.68901825	
11.540000	107.08325195	
11.559999	107.25552368	
11.580000	107.23135376	
11.599999	107.24372101	
11.620000	107.34315491	
11.639999	107.64934540	
11.660000	107.81625366	
11.679999	108.05612183	
11.700000	108.10354614	
11.719999	108.17469025	
11.740000	108.14190674	
11.759999	108.19044495	
11.780000	108.27249146	
11.800000	108.35957336	
11.820000	108.56968689	
11.840000	108.83492279	
11.860000	109.39218140	
11.880000	109.93534851	
11.900000	110.69158936	
11.920000	111.48922729	
11.940000	112.52227020	
11.960000	113.72994995	
11.980000	115.04598999	
12.000000	116.42956543	
12.020000	117.74804688	
12.040000	118.87821960	
12.059999	119.70906067	
12.080000	120.02646637	
12.099999	119.84720612	
12.120000	119.12385559	
12.139999	117.97242737	
12.160000	116.49630737	
12.179999	114.67218018	
12.200000	112.75241852	
12.219999	110.81363678	
12.240000	109.15186310	
12.259999	107.79801941	
12.280000	107.01840210	
12.300000	106.78953552	
12.320000	106.96817017	
12.340000	107.19160461	
12.360000	107.28681946	
12.380000	107.35498810	
12.400000	107.55445099	
12.420000	107.82032776	
12.440000	108.01720428	
12.460000	108.03588104	
12.480000	107.99313354	
12.500000	107.91154480	
12.520000	107.92913055	
12.540000	107.94799805	
12.559999	108.05983734	
12.580000	108.09468842	
12.599999	108.23851776	
12.620000	108.34303284	
12.639999	108.45493317	
12.660000	108.46070862	
12.679999	108.43083954	
12.700000	108.34179688	
12.719999	108.35012054	
12.740000	108.43845367	
12.759999	108.59149170	
12.780000	108.82125854	
12.799999	109.02302551	
12.820000	109.43473053	
12.840000	109.79729462	
12.860000	110.31179047	
12.880000	110.73829651	
12.900000	111.29842377	
12.920000	111.78436279	
12.940000	112.48992157	
12.960000	113.18299103	
12.980000	114.15338135	
13.000000	115.11537933	
13.020000	116.35443878	
13.040000	117.53411865	
13.059999	118.81788635	
13.080000	119.98042297	
13.099999	121.18974304	
13.120000	122.14962769	
13.139999	122.65633392	
13.160000	122.59233093	
13.179999	121.90283203	
13.200000	120.79350281	
13.219999	119.26118469	
13.240000	117.39408875	
13.259999	115.28031921	
13.280000	113.04544830	
13.299999	110.83525085	
13.320000	108.71672821	
13.340000	106.84154510	
13.360000	105.51219177	
13.380000	104.88197327	
13.400000	104.91384125	
13.420000	105.32910156	
13.440000	105.63354492	
13.460000	105.76815033	
13.480000	105.78962708	
13.500000	105.90432739	
13.520000	106.02853394	
13.540000	106.08331299	
13.559999	106.05168152	
13.580000	105.97778320	
13.599999	105.89363098	
13.620000	105.89649963	
13.639999	105.94260406	
13.660000	105.95825195	
13.679999	105.96790314	
13.700000	106.01402283	
13.719999	106.18177032	
13.740000	106.36344910	
13.759999	106.58886719	
13.780000	106.73505402	
13.799999	106.89823914	
13.820000	106.98282623	
13.840000	107.03005219	
13.860000	107.00643158	
13.880000	107.02622223	
13.900000	107.12620544	
13.920000	107.27747345	
13.940000	107.40979767	
13.960000	107.58000946	
13.980000	107.77692413	
14.000000	108.07489777	
14.020000	108.50135040	
14.040000	109.00431824	
14.059999	109.68280029	
14.080000	110.31576538	
14.099999	111.09921265	
14.120000	111.95745850	
14.139999	113.01434326	
14.160000	114.19303131	
14.179999	115.51717377	
14.200000	116.93209839	
14.219999	118.54260254	
14.240000	120.04537964	
14.259999	121.65412903	
14.280000	122.91082764	
14.299999	124.06904602	
14.320000	124.87596130	
14.340000	125.48097992	
14.360000	125.57482147	
14.380000	125.02622986	
14.400000	123.87603760	
14.420000	122.29523468	
14.440000	120.41883087	
14.460000	118.33512878	
14.480000	116.14409637	
14.500000	113.92089844	
14.520000	111.72888184	
14.540000	109.64571381	
