Time	Paced_right_y_baseline X
5.120000	-0.00788561	
5.140000	-0.00793807	
5.160000	-0.00781178	
5.180000	-0.00802390	
5.200000	-0.00820605	
5.220000	-0.00820623	
5.240000	-0.00786783	
5.260000	-0.00768550	
5.280000	-0.00768550	
5.300000	-0.00786783	
5.320000	-0.00805014	
5.340000	-0.00823247	
5.360000	-0.00823247	
5.380000	-0.00805014	
5.400000	-0.00786783	
5.420000	-0.00667028	
5.440000	-0.00563018	
5.460000	-0.00285420	
5.480000	-0.00066260	
5.500000	0.00451727	
5.520000	0.00818931	
5.540000	0.01301841	
5.560000	0.01483436	
5.580000	0.01754889	
5.600000	0.01867601	
5.620000	0.02083629	
5.640000	0.02186929	
5.660000	0.02342792	
5.680000	0.02395339	
5.700000	0.02418819	
5.720000	0.02389736	
5.740000	0.02388856	
5.760000	0.02418973	
5.780000	0.02526435	
5.800000	0.02605714	
5.820000	0.02681842	
5.840000	0.02681249	
5.860000	0.02521290	
5.880000	0.02126375	
5.900000	0.01290651	
5.920000	0.00261092	
5.940000	-0.00540604	
5.960000	-0.00902136	
5.980000	-0.00866635	
6.000000	-0.00814089	
6.020000	-0.00796330	
6.040000	-0.00822367	
6.060000	-0.00827615	
6.080000	-0.00798073	
6.100000	-0.00679487	
6.120000	-0.00454707	
6.140000	0.00043643	
6.160000	0.00501600	
6.180000	0.01098610	
6.200000	0.01472247	
6.220000	0.01944813	
6.240000	0.02142610	
6.260000	0.02221362	
6.280000	0.02078873	
6.300000	0.01586194	
6.320000	0.01091552	
6.340000	0.00451170	
6.360000	-0.00051869	
6.380000	-0.00555231	
6.400000	-0.00839262	
6.420000	-0.00886069	
6.440000	-0.00861692	
6.460000	-0.00832643	
6.480000	-0.00827953	
6.500000	-0.00819522	
6.520000	-0.00819506	
6.540000	-0.00819506	
6.560000	-0.00824365	
6.580000	-0.00689206	
6.600000	-0.00550880	
6.620000	-0.00242843	
6.640000	-0.00050651	
6.660000	0.00410913	
6.680000	0.00756852	
6.700000	0.01337729	
6.720000	0.01667689	
6.740000	0.02120754	
6.760000	0.02320904	
6.780000	0.02579203	
6.800000	0.02661376	
6.820000	0.02775915	
6.840000	0.02809773	
6.860000	0.02882279	
6.880000	0.02917847	
6.900000	0.02814277	
6.920000	0.02654451	
6.940000	0.02255288	
6.960000	0.01899360	
6.980000	0.01277328	
7.000000	0.00699700	
7.020000	-0.00073504	
7.040000	-0.00566353	
7.060000	-0.00848098	
7.080000	-0.00837332	
7.100000	-0.00819522	
7.120000	-0.00819506	
7.140000	-0.00833607	
7.160000	-0.00854565	
7.180000	-0.00880924	
7.200000	-0.00895889	
7.220000	-0.00861032	
7.240000	-0.00817643	
7.260000	-0.00751013	
7.280000	-0.00731087	
7.300000	-0.00681554	
7.320000	-0.00651656	
7.340000	-0.00327775	
7.360000	0.00180732	
7.380000	0.01040088	
7.400000	0.01666842	
7.420000	0.02260536	
7.440000	0.02506883	
7.460000	0.02706778	
7.480000	0.02726111	
7.500000	0.02684703	
7.520000	0.02629921	
7.540000	0.02512503	
7.560000	0.02436459	
7.580000	0.02087387	
7.600000	0.01397082	
7.620000	0.00328723	
7.640000	-0.00469604	
7.660000	-0.00847286	
7.680000	-0.00831932	
7.700000	-0.00828630	
7.720000	-0.00842106	
7.740000	-0.00855581	
7.760000	-0.00855581	
7.780000	-0.00855581	
7.800000	-0.00858898	
7.820000	-0.00845407	
7.840000	-0.00835741	
7.860000	-0.00818947	
7.880000	-0.00822756	
7.900000	-0.00817931	
7.920000	-0.00820605	
7.940000	-0.00786918	
7.960000	-0.00758071	
7.980000	-0.00701156	
8.000000	-0.00682111	
8.020000	-0.00470501	
8.040000	-0.00156541	
