Time	Hip_Knee_Angle_right X
1.640000	109.94190979	
1.660000	109.57254028	
1.680000	109.13015747	
1.700000	108.58555603	
1.720000	107.94136047	
1.740000	107.23335266	
1.760000	106.50888824	
1.780000	105.78906250	
1.800000	105.12699127	
1.820000	104.55294037	
1.840000	104.07387543	
1.860000	103.66876221	
1.880000	103.35177612	
1.900000	103.10549927	
1.920000	102.89862061	
1.940000	102.66862488	
1.960000	102.37725067	
1.980000	102.00822449	
2.000000	101.58195496	
2.020000	101.12492371	
2.040000	100.65737915	
2.060000	100.19367981	
2.080000	99.75768280	
2.100000	99.36181641	
2.120000	99.00723267	
2.140000	98.71468353	
2.160000	98.47460175	
2.180000	98.29209900	
2.200000	98.15422821	
2.220000	98.09929657	
2.240000	98.12035370	
2.260000	98.26526642	
2.280000	98.51580048	
2.300000	98.94831085	
2.320000	99.53340149	
2.340000	100.35235596	
2.360000	101.36505890	
2.380000	102.65004730	
2.400000	104.12832642	
2.420000	105.83950043	
2.440000	107.62879944	
2.460000	109.39604950	
2.480000	110.90931702	
2.500000	112.03676605	
2.520000	112.65250397	
2.540000	112.78926849	
2.560000	112.55414581	
2.580000	112.11508179	
2.600000	111.58763885	
2.620000	111.04159546	
2.640000	110.48309326	
2.660000	109.93302155	
2.680000	109.38184357	
2.700000	108.80628967	
2.720000	108.17420959	
2.740000	107.49182892	
2.760000	106.77206421	
2.780000	105.98891449	
2.800000	105.18860626	
2.820000	104.38838196	
2.840000	103.63537598	
2.860000	102.83788300	
2.880000	102.03382111	
2.900000	101.18180084	
2.920000	100.36888885	
2.940000	99.58261108	
2.960000	98.93749237	
2.980000	98.44087982	
3.000000	98.17725372	
3.020000	98.13964844	
3.040000	98.38652039	
3.060000	98.96856689	
3.080000	99.94382477	
3.100000	101.33138275	
3.120000	103.06764984	
3.140000	105.05182648	
3.160000	107.07894135	
3.180000	108.96925354	
3.200000	110.54215240	
3.220000	111.72251129	
3.240000	112.47254944	
3.260000	112.85312653	
3.280000	112.93723297	
3.300000	112.79885101	
3.320000	112.48722076	
3.340000	112.04798126	
3.360000	111.51566315	
3.380000	110.87371063	
3.400000	110.09472656	
3.420000	109.13906097	
3.440000	108.04096985	
3.460000	106.78987885	
3.480000	105.46891022	
3.500000	104.13871002	
3.520000	102.94055176	
3.540000	101.86038208	
3.560000	100.92985535	
3.580000	100.09938812	
3.600000	99.43385315	
3.620000	98.89965057	
3.640000	98.51621246	
3.660000	98.23286438	
3.680000	98.03874207	
3.700000	97.88954163	
3.720000	97.76567078	
3.740000	97.66314697	
3.760000	97.63334656	
3.780000	97.74916077	
3.800000	98.04703522	
3.820000	98.59259796	
3.840000	99.43501282	
3.860000	100.61839294	
3.880000	102.11397552	
3.900000	103.90186310	
3.920000	105.89748383	
3.940000	107.98433685	
3.960000	109.95343018	
3.980000	111.65272522	
4.000000	112.95757294	
4.020000	113.80892944	
4.040000	114.20446014	
4.060000	114.21111298	
4.080000	113.94170380	
4.100000	113.47702026	
4.120000	112.89288330	
4.140000	112.17879486	
4.160000	111.34729004	
4.180000	110.38381195	
4.200000	109.38504791	
4.220000	108.36931610	
4.240000	107.36485291	
4.260000	106.34885406	
4.280000	105.36218262	
4.300000	104.33457184	
4.320000	103.25187683	
4.340000	102.11264038	
4.360000	101.06359100	
4.380000	100.12288666	
4.400000	99.34249115	
4.420000	98.67669678	
4.440000	98.18392944	
4.460000	97.81116486	
4.480000	97.56740570	
4.500000	97.40711975	
4.520000	97.39384460	
4.540000	97.54667664	
4.560000	97.91365814	
4.580000	98.53559875	
4.600000	99.49271393	
4.620000	100.84268188	
4.640000	102.55168152	
4.660000	104.54989624	
4.680000	106.69302368	
4.700000	108.81568909	
4.720000	110.70953369	
4.740000	112.25588226	
4.760000	113.37047577	
4.780000	114.04475403	
4.800000	114.30258179	
4.820000	114.22422028	
4.840000	113.87478638	
4.860000	113.31938934	
4.880000	112.62820435	
4.900000	111.83795929	
4.920000	110.94223785	
4.940000	109.96625519	
4.960000	108.98284912	
4.980000	107.99833679	
5.000000	106.99456787	
5.020000	105.96060944	
5.040000	104.96326447	
5.060000	103.98398590	
5.080000	103.06328583	
5.100000	102.23249817	
5.120000	101.58760071	
5.140000	101.06082916	
5.160000	100.60425568	
5.180000	100.15225220	
5.200000	99.72226715	
5.220000	99.29668427	
5.240000	98.90155029	
5.260000	98.55255127	
5.280000	98.30378723	
5.300000	98.18487549	
5.320000	98.23146057	
5.340000	98.47139740	
5.360000	98.93283844	
5.380000	99.65637207	
5.400000	100.65036774	
5.420000	101.93337250	
