Time	Paced_left_y_baseline X
5.040000	0.01413625	
5.060000	0.00848106	
5.080000	0.00509211	
5.100000	-0.00139253	
5.120000	-0.00553274	
5.140000	-0.01026331	
5.160000	-0.01168329	
5.180000	-0.01256587	
5.200000	-0.01240446	
5.220000	-0.01250769	
5.240000	-0.01277235	
5.260000	-0.01293378	
5.280000	-0.01283053	
5.300000	-0.01283053	
5.320000	-0.01293378	
5.340000	-0.01277252	
5.360000	-0.01250769	
5.380000	-0.01234476	
5.400000	-0.01244633	
5.420000	-0.01213744	
5.440000	-0.01172684	
5.460000	-0.01112925	
5.480000	-0.01094194	
5.500000	-0.00908126	
5.520000	-0.00687806	
5.540000	-0.00168242	
5.560000	0.00183988	
5.580000	0.00620775	
5.600000	0.00758301	
5.620000	0.01031098	
5.640000	0.01166353	
5.660000	0.01526888	
5.680000	0.01752150	
5.700000	0.02246292	
5.720000	0.02514885	
5.740000	0.02956633	
5.760000	0.03129485	
5.780000	0.03317924	
5.800000	0.03332771	
5.820000	0.03332771	
5.840000	0.03317471	
5.860000	0.03190690	
5.880000	0.03080253	
5.900000	0.02917002	
5.920000	0.02865684	
5.940000	0.02782267	
5.960000	0.02747630	
5.980000	0.02514414	
6.000000	0.02213974	
6.020000	0.01647161	
6.040000	0.00982487	
6.060000	0.00002711	
6.080000	-0.00720510	
6.100000	-0.01170616	
6.120000	-0.01207791	
6.140000	-0.01213139	
6.160000	-0.01195148	
6.180000	-0.01162511	
6.200000	-0.01147832	
6.220000	-0.00960587	
6.240000	-0.00788003	
6.260000	-0.00303312	
6.280000	0.00008798	
6.300000	0.00596495	
6.320000	0.01076631	
6.340000	0.01775791	
6.360000	0.02231091	
6.380000	0.02651569	
6.400000	0.02855074	
6.420000	0.02875873	
6.440000	0.02724291	
6.460000	0.02330565	
6.480000	0.02083057	
6.500000	0.01632936	
6.520000	0.01142897	
6.540000	0.00134587	
6.560000	-0.00726664	
6.580000	-0.01287138	
6.600000	-0.01324518	
6.620000	-0.01251543	
6.640000	-0.01208027	
6.660000	-0.01208027	
6.680000	-0.01260203	
6.700000	-0.01251543	
6.720000	-0.01199351	
6.740000	-0.01104350	
6.760000	-0.01061541	
6.780000	-0.00769053	
6.800000	-0.00489010	
6.820000	0.00038105	
6.840000	0.00390586	
6.860000	0.01039168	
6.880000	0.01512209	
6.900000	0.02122958	
6.920000	0.02407205	
6.940000	0.02684240	
6.960000	0.02748571	
6.980000	0.02812870	
7.000000	0.02812870	
7.020000	0.02693151	
7.040000	0.02424273	
7.060000	0.01892534	
7.080000	0.01147975	
7.100000	0.00124851	
7.120000	-0.00635429	
7.140000	-0.01143359	
7.160000	-0.01223546	
7.180000	-0.01260220	
7.200000	-0.01216704	
7.220000	-0.01206362	
7.240000	-0.01239538	
7.260000	-0.01256587	
7.280000	-0.01240446	
7.300000	-0.01250769	
7.320000	-0.01277235	
7.340000	-0.01260220	
7.360000	-0.01216704	
7.380000	-0.01110941	
7.400000	-0.01048695	
7.420000	-0.00806902	
7.440000	-0.00606139	
7.460000	-0.00165567	
7.480000	0.00229925	
7.500000	0.00885132	
7.520000	0.01515083	
7.540000	0.02288143	
7.560000	0.02800629	
7.580000	0.03273165	
7.600000	0.03468162	
7.620000	0.03711280	
7.640000	0.03779817	
7.660000	0.03960302	
7.680000	0.04072236	
7.700000	0.04108000	
7.720000	0.03921293	
7.740000	0.03379734	
7.760000	0.02672319	
7.780000	0.01608992	
7.800000	0.00329483	
7.820000	-0.00763790	
7.840000	-0.01392111	
7.860000	-0.01353388	
7.880000	-0.01258807	
7.900000	-0.01220672	
7.920000	-0.01278546	
7.940000	-0.01321121	
7.960000	-0.01305820	
