Time	Left_Forefoot_y_baseline X
5.060000	-0.00990050	
5.080000	-0.00981718	
5.100000	-0.00773466	
5.120000	-0.00491065	
5.140000	0.00272563	
5.160000	0.01203728	
5.180000	0.02309734	
5.200000	0.02939545	
5.220000	0.03056346	
5.240000	0.02585761	
5.260000	0.01509415	
5.280000	0.00253154	
5.300000	-0.00693686	
5.320000	-0.01044109	
5.340000	-0.01044109	
5.360000	-0.01023443	
5.380000	-0.00843199	
5.400000	-0.00674979	
5.420000	-0.00307211	
5.440000	0.00213450	
5.460000	0.01065271	
5.480000	0.01749802	
5.500000	0.02110268	
5.520000	0.01704921	
5.540000	0.00685953	
5.560000	-0.00375357	
5.580000	-0.01017502	
5.600000	-0.01091300	
5.620000	-0.01149689	
5.640000	-0.01192693	
5.660000	-0.00977036	
5.680000	-0.00714394	
5.700000	-0.00083263	
5.720000	0.00567564	
5.740000	0.01456676	
5.760000	0.01962240	
5.780000	0.01952980	
5.800000	0.01290911	
5.820000	0.00197218	
5.840000	-0.00666338	
5.860000	-0.01113059	
5.880000	-0.01101653	
5.900000	-0.01133788	
5.920000	-0.01178461	
5.940000	-0.01032621	
5.960000	-0.00830515	
5.980000	-0.00298446	
6.000000	0.00303501	
6.020000	0.01271544	
6.040000	0.01915731	
6.060000	0.02365752	
6.080000	0.02150673	
6.100000	0.01430936	
6.120000	0.00218607	
6.140000	-0.00657490	
6.160000	-0.01042871	
6.180000	-0.01102994	
6.200000	-0.01198468	
6.220000	-0.01257497	
6.240000	-0.01235428	
6.260000	-0.00934260	
6.280000	-0.00385731	
6.300000	0.00580353	
6.320000	0.01428728	
6.340000	0.02149662	
6.360000	0.02458380	
6.380000	0.02373342	
6.400000	0.01824072	
6.420000	0.00664276	
6.440000	-0.00338149	
6.460000	-0.00977036	
6.480000	-0.01004983	
6.500000	-0.00904517	
6.520000	-0.00845776	
6.540000	-0.00654210	
6.560000	-0.00521053	
6.580000	-0.00082871	
6.600000	0.00470132	
6.620000	0.01477446	
6.640000	0.02188705	
6.660000	0.02667230	
6.680000	0.02593268	
6.700000	0.01909523	
6.720000	0.00689335	
6.740000	-0.00537369	
6.760000	-0.01178627	
6.780000	-0.01281299	
6.800000	-0.01270449	
6.820000	-0.01227796	
6.840000	-0.01199272	
6.860000	-0.00961834	
6.880000	-0.00563438	
6.900000	0.00242594	
6.920000	0.01035592	
6.940000	0.01595792	
6.960000	0.01598185	
6.980000	0.00917017	
