Time	Knee_Angle_left X
5.900000	163.42536926	
5.920000	163.18348694	
5.940000	162.72477722	
5.960000	162.09606934	
5.980000	160.97015381	
6.000000	159.63238525	
6.020000	157.76838684	
6.040000	155.61122131	
6.060000	153.14544678	
6.080000	150.61247253	
6.100000	148.14723206	
6.120000	145.95109558	
6.140000	144.25338745	
6.160000	143.33374023	
6.180000	143.21145630	
6.200000	143.83100891	
6.220000	144.91349792	
6.240000	146.29112244	
6.260000	148.03874207	
6.280000	149.84754944	
6.300000	151.73709106	
6.320000	153.03030396	
6.340000	153.65467834	
6.360000	153.53561401	
6.380000	153.56150818	
6.400000	154.09796143	
6.420000	155.04530334	
6.440000	155.71076965	
6.460000	156.18536377	
6.480000	156.62902832	
6.500000	157.41250610	
6.520000	158.22966003	
6.540000	158.95951843	
6.560000	159.46737671	
6.580000	160.01617432	
6.600000	160.54862976	
6.620000	161.15991211	
6.640000	161.56922913	
6.660000	161.99382019	
6.680000	162.24638367	
6.700000	162.56698608	
6.720000	162.68702698	
6.740000	162.83705139	
6.760000	162.68783569	
6.780000	162.38150024	
6.800000	161.76373291	
6.820000	160.66336060	
6.840000	159.19105530	
6.860000	157.26284790	
6.880000	155.13752747	
6.900000	152.74421692	
6.920000	150.38673401	
6.940000	148.15115356	
6.960000	146.36964417	
6.980000	144.92248535	
7.000000	144.27238464	
7.020000	144.17939758	
7.040000	144.78454590	
7.060000	145.82211304	
7.080000	147.22180176	
7.100000	148.93475342	
7.120000	150.72833252	
7.140000	152.68820190	
7.160000	154.33151245	
7.180000	155.41448975	
7.200000	155.62318420	
7.220000	155.55056763	
7.240000	155.81489563	
7.260000	156.45352173	
7.280000	156.98039246	
7.300000	157.20623779	
7.320000	157.40768433	
7.340000	157.98373413	
7.360000	158.72120667	
7.380000	159.56576538	
7.400000	160.13761902	
7.420000	160.73844910	
7.440000	161.13618469	
7.460000	161.56173706	
7.480000	161.80926514	
7.500000	162.09793091	
7.520000	162.44755554	
7.540000	162.95201111	
7.560000	163.42306519	
7.580000	163.79129028	
7.600000	163.89503479	
7.620000	164.04727173	
7.640000	164.01164246	
7.660000	163.92657471	
7.680000	163.66384888	
7.700000	163.31431580	
7.720000	162.90495300	
7.740000	162.23509216	
7.760000	161.60386658	
7.780000	160.73321533	
7.800000	159.78739929	
7.820000	158.31124878	
7.840000	156.57891846	
7.860000	154.31053162	
7.880000	151.93864441	
7.900000	149.30238342	
7.920000	146.79801941	
7.940000	144.22377014	
7.960000	142.04502869	
7.980000	140.19479370	
8.000000	139.02326965	
8.020000	138.54203796	
8.040000	138.86047363	
8.059999	139.78926086	
8.080000	141.17897034	
8.099999	143.10018921	
8.120000	145.27645874	
8.139999	147.71188354	
8.160000	150.04473877	
8.179999	152.47119141	
8.200000	154.28021240	
8.220000	155.54335022	
8.240000	155.83416748	
8.260000	156.02005005	
8.280000	156.28448486	
8.300000	156.84779358	
8.320000	157.28425598	
8.340000	157.40669250	
8.360000	157.50125122	
8.380000	157.62171936	
8.400000	157.93215942	
8.420000	158.35110474	
8.440000	158.85424805	
8.460000	159.46371460	
8.480000	160.01498413	
8.500000	160.62361145	
8.520000	161.11230469	
8.540000	161.68676758	
8.559999	162.09121704	
8.580000	162.47050476	
8.599999	162.75042725	
8.620000	163.13999939	
8.639999	163.56401062	
8.660000	163.91076660	
8.679999	164.21247864	
8.700000	164.45974731	
8.720000	164.81184387	
8.740000	165.10762024	
8.760000	165.21067810	
8.780000	165.10397339	
8.800000	164.87130737	
8.820000	164.51826477	
8.840000	164.09243774	
8.860000	163.42871094	
8.880000	162.81637573	
8.900000	161.84130859	
8.920000	160.68019104	
8.940000	158.95173645	
8.960000	156.88635254	
8.980000	154.32707214	
9.000000	151.68391418	
9.020000	148.90170288	
9.040000	146.33396912	
9.059999	143.70150757	
9.080000	141.44216919	
9.099999	139.36474609	
9.120000	138.00750732	
9.139999	137.23458862	
9.160000	137.27180481	
9.179999	137.86698914	
9.200000	139.11560059	
9.220000	140.80523682	
9.240000	142.78266907	
9.260000	145.01457214	
9.280000	147.28704834	
9.300000	149.68975830	
9.320000	151.72459412	
9.340000	153.47744751	
9.360000	154.49237061	
9.380000	155.09536743	
9.400000	155.67453003	
9.420000	156.47784424	
9.440000	157.15872192	
9.460000	157.49267578	
9.480000	157.50195313	
9.500000	157.65629578	
9.520000	157.96636963	
9.540000	158.54156494	
9.559999	159.15994263	
9.580000	159.78610229	
9.599999	160.43237305	
9.620000	161.04885864	
9.639999	161.64018250	
9.660000	162.05361938	
9.679999	162.43922424	
9.700000	162.80999756	
9.719999	163.24043274	
9.740000	163.73704529	
9.760000	164.13551331	
9.780000	164.50209045	
9.800000	164.77160645	
9.820000	164.92672729	
9.840000	165.09027100	
9.860000	165.00866699	
9.880000	164.88328552	
9.900000	164.53970337	
9.920000	164.19459534	
9.940000	163.88128662	
9.960000	163.50898743	
9.980000	163.30256653	
10.000000	162.98339844	
10.020000	162.68011475	
10.040000	162.22962952	
10.059999	161.48666382	
10.080000	160.42062378	
10.099999	158.91842651	
10.120000	157.29026794	
10.139999	155.45121765	
10.160000	153.55397034	
10.179999	151.54969788	
10.200000	149.87428284	
10.219999	148.49594116	
10.240000	147.80087280	
10.260000	147.66380310	
10.280000	148.15603638	
10.300000	149.15078735	
10.320000	150.34135437	
10.340000	151.86239624	
10.360000	153.38597107	
10.380000	155.19425964	
10.400000	156.92524719	
10.420000	158.51548767	
10.440000	159.47001648	
10.460000	159.72003174	
10.480000	159.35707092	
10.500000	159.00244141	
10.520000	158.73913574	
10.540000	158.68972778	
10.559999	158.52339172	
10.580000	158.45039368	
10.599999	158.52044678	
10.620000	158.87503052	
10.639999	159.45112610	
10.660000	160.05393982	
10.679999	160.62123108	
10.700000	161.10858154	
10.719999	161.57998657	
10.740000	162.06411743	
10.760000	162.24205017	
10.780000	162.55766296	
10.800000	162.55476379	
10.820000	162.80363464	
10.840000	162.83340454	
10.860000	163.14723206	
10.880000	163.40065002	
10.900000	163.73355103	
10.920000	163.87339783	
10.940000	163.78617859	
10.960000	163.50503540	
10.980000	162.96186829	
11.000000	162.34452820	
11.020000	161.14616394	
11.040000	159.61656189	
11.059999	157.29040527	
11.080000	154.72200012	
11.099999	151.91934204	
11.120000	149.16183472	
11.139999	146.38095093	
11.160000	143.84136963	
11.179999	141.76408386	
11.200000	140.49356079	
11.219999	139.97880554	
11.240000	140.31423950	
11.259999	141.22018433	
11.280000	142.71144104	
11.300000	144.67372131	
11.320000	147.07856750	
11.340000	149.60787964	
11.360000	152.11361694	
11.380000	154.23234558	
11.400000	155.66761780	
11.420000	156.16635132	
11.440000	156.15267944	
11.460000	156.27552795	
11.480000	156.65449524	
11.500000	156.97639465	
11.520000	156.92472839	
11.540000	156.90277100	
11.559999	157.25970459	
11.580000	157.97120667	
11.599999	158.55027771	
11.620000	159.03399658	
11.639999	159.12402344	
11.660000	159.49357605	
11.679999	159.62657166	
11.700000	160.10818481	
11.719999	160.51419067	
11.740000	161.18183899	
11.759999	161.65786743	
11.780000	162.09785461	
11.800000	162.44303894	
11.820000	162.61175537	
11.840000	162.56309509	
11.860000	162.09268188	
11.880000	161.53854370	
11.900000	160.59403992	
11.920000	159.41380310	
11.940000	157.72152710	
11.960000	155.65966797	
11.980000	153.32263184	
12.000000	150.85543823	
12.020000	148.44070435	
12.040000	146.27989197	
12.059999	144.52027893	
12.080000	143.47323608	
12.099999	143.05451965	
12.120000	143.38931274	
12.139999	144.20494080	
12.160000	145.50616455	
12.179999	147.22952271	
12.200000	149.20959473	
12.219999	151.30429077	
12.240000	153.13267517	
12.259999	154.69903564	
12.280000	155.62339783	
12.300000	156.03842163	
12.320000	156.03553772	
12.340000	156.16046143	
12.360000	156.47344971	
12.380000	156.83837891	
12.400000	156.89302063	
12.420000	156.89614868	
12.440000	156.96139526	
12.460000	157.40510559	
12.480000	157.90962219	
12.500000	158.54534912	
12.520000	158.98228455	
12.540000	159.47610474	
12.559999	159.77642822	
12.580000	160.24070740	
12.599999	160.47534180	
12.620000	160.81343079	
12.639999	161.06896973	
12.660000	161.52592468	
12.679999	161.97619629	
12.700000	162.55470276	
12.719999	162.94793701	
12.740000	163.24649048	
12.759999	163.39100647	
12.780000	163.43830872	
12.799999	163.44207764	
12.820000	163.17823792	
12.840000	162.90461731	
12.860000	162.47079468	
12.880000	162.09939575	
12.900000	161.53012085	
12.920000	160.99468994	
12.940000	160.11152649	
12.960000	159.15209961	
12.980000	157.65011597	
13.000000	156.01794434	
13.020000	153.89247131	
13.040000	151.78025818	
13.059999	149.41815186	
13.080000	147.15963745	
13.099999	144.81460571	
13.120000	142.81227112	
13.139999	141.35119629	
13.160000	140.65740967	
13.179999	140.67976379	
13.200000	141.31112671	
13.219999	142.38224792	
13.240000	143.96849060	
13.259999	145.85899353	
13.280000	148.00758362	
13.299999	150.16662598	
13.320000	152.29243469	
13.340000	154.26220703	
13.360000	155.68643188	
13.380000	156.45927429	
13.400000	156.51205444	
13.420000	156.29792786	
13.440000	156.32366943	
13.460000	156.73320007	
13.480000	157.27713013	
13.500000	157.65641785	
13.520000	157.93110657	
13.540000	158.33769226	
13.559999	158.86676025	
13.580000	159.51062012	
13.599999	160.10691833	
13.620000	160.60255432	
13.639999	160.95571899	
13.660000	161.38824463	
13.679999	161.79759216	
13.700000	162.21609497	
13.719999	162.40246582	
13.740000	162.60354614	
13.759999	162.69177246	
13.780000	162.95994568	
13.799999	163.15086365	
13.820000	163.47592163	
13.840000	163.81475830	
13.860000	164.29425049	
13.880000	164.72143555	
13.900000	165.05599976	
13.920000	165.27276611	
13.940000	165.54510498	
13.960000	165.65563965	
13.980000	165.75886536	
14.000000	165.61111450	
14.020000	165.35401917	
14.040000	164.89251709	
14.059999	164.18954468	
14.080000	163.45745850	
14.099999	162.43443298	
14.120000	161.20303345	
14.139999	159.51614380	
14.160000	157.55036926	
14.179999	155.22088623	
14.200000	152.66932678	
14.219999	149.74015808	
14.240000	146.79627991	
14.259999	143.62271118	
14.280000	140.80148315	
14.299999	138.11442566	
14.320000	135.90995789	
14.340000	134.03242493	
14.360000	132.92181396	
14.380000	132.63555908	
14.400000	133.28398132	
14.420000	134.57295227	
14.440000	136.37794495	
14.460000	138.50566101	
14.480000	140.86235046	
14.500000	143.46022034	
14.520000	146.15107727	
14.540000	148.87515259	
14.559999	151.33035278	
14.580000	153.42506409	
14.599999	154.74295044	
14.620000	155.56654358	
14.639999	156.16024780	
14.660000	157.05566406	
14.679999	157.95039368	
14.700000	158.59941101	
14.719999	158.78898621	
14.740000	158.99093628	
14.759999	159.19404602	
14.780000	159.63684082	
14.799999	160.04801941	
14.820000	160.65162659	
14.839999	161.26086426	
14.860000	161.82258606	
14.880000	162.19551086	
14.900000	162.39363098	
14.920000	162.52403259	
14.940000	162.55216980	
14.960000	162.43061829	
14.980000	162.26686096	
15.000000	162.05711365	
15.020000	162.03442383	
15.040000	162.05271912	
15.059999	162.26408386	
15.080000	162.54965210	
15.099999	162.84338379	
15.120000	163.05360413	
15.139999	163.26832581	
15.160000	163.60948181	
15.179999	163.93809509	
15.200000	164.15533447	
15.219999	164.21209717	
15.240000	164.27232361	
15.259999	164.34178162	
15.280000	164.31556702	
15.299999	164.14010620	
15.320000	163.65800476	
15.339999	162.75668335	
15.360000	161.40568542	
15.380000	159.62202454	
15.400000	157.38749695	
15.420000	154.72853088	
15.440000	151.94264221	
15.460000	148.97352600	
15.480000	146.19743347	
15.500000	143.23464966	
15.520000	140.75520325	
15.540000	138.39559937	
15.559999	136.78416443	
15.580000	135.78413391	
15.599999	135.66087341	
15.620000	136.11613464	
15.639999	137.15626526	
15.660000	138.63812256	
15.679999	140.54508972	
15.700000	142.73139954	
15.719999	144.88272095	
15.740000	147.11351013	
15.759999	148.94120789	
15.780000	150.77334595	
15.799999	152.00303650	
15.820000	152.83958435	
15.839999	153.10916138	
15.860000	153.38156128	
15.880000	153.88833618	
15.900000	154.67349243	
15.920000	155.34593201	
15.940000	155.86201477	
15.960000	156.26327515	
15.980000	156.84988403	
16.000000	157.50791931	
16.020000	158.07812500	
16.039999	158.54595947	
16.059999	159.10882568	
16.080000	159.73841858	
16.100000	160.50721741	
16.119999	161.09803772	
16.139999	161.59962463	
16.160000	161.93147278	
16.180000	162.21517944	
16.199999	162.38960266	
16.219999	162.57612610	
16.240000	162.60740662	
16.260000	162.74488831	
16.279999	162.82080078	
16.299999	163.01574707	
16.320000	163.19206238	
16.340000	163.39949036	
16.359999	163.61288452	
16.379999	163.76371765	
16.400000	163.82579041	
16.420000	164.01679993	
16.440001	164.04574585	
16.459999	163.91719055	
16.480000	163.42871094	
16.500000	163.00999451	
16.520000	162.60700989	
16.539999	162.21076965	
16.559999	161.79568481	
16.580000	161.05073547	
16.600000	160.14965820	
16.619999	158.65019226	
16.639999	156.92948914	
16.660000	154.53883362	
16.680000	152.03298950	
16.699999	149.06219482	
16.719999	146.21510315	
16.740000	143.28890991	
16.760000	140.73442078	
16.779999	138.46937561	
16.799999	136.95816040	
16.820000	136.29994202	
16.840000	136.48728943	
16.859999	137.39320374	
16.879999	138.89076233	
16.900000	140.92314148	
16.920000	143.21211243	
16.940001	145.74658203	
16.959999	148.24621582	
16.980000	150.81449890	
17.000000	152.93075562	
17.020000	154.63192749	
17.039999	155.34896851	
17.059999	155.68278503	
17.080000	155.93247986	
17.100000	156.56512451	
17.119999	157.19767761	
17.139999	157.48992920	
17.160000	157.41801453	
17.180000	157.23738098	
17.199999	157.25837708	
17.219999	157.50146484	
17.240000	157.93766785	
17.260000	158.44712830	
17.279999	159.03118896	
17.299999	159.64788818	
17.320000	160.24389648	
17.340000	160.81581116	
17.359999	161.32574463	
17.379999	161.72929382	
17.400000	161.95127869	
17.420000	162.10232544	
17.440001	162.23353577	
17.459999	162.44165039	
17.480000	162.70910645	
17.500000	163.07585144	
17.520000	163.44056702	
17.539999	163.90373230	
17.559999	164.33320618	
17.580000	164.88008118	
17.600000	165.22798157	
17.619999	165.55363464	
17.639999	165.57771301	
17.660000	165.47790527	
17.680000	165.17906189	
17.699999	164.54403687	
17.719999	163.85353088	
17.740000	162.63554382	
17.760000	161.38664246	
17.779999	159.51098633	
17.799999	157.66564941	
17.820000	155.51071167	
17.840000	153.29385376	
17.859999	150.71693420	
17.879999	148.01484680	
17.900000	145.30035400	
17.920000	142.90361023	
17.940001	140.77766418	
17.959999	139.17771912	
17.980000	138.29905701	
18.000000	138.27441406	
18.020000	138.99896240	
18.039999	140.22227478	
18.059999	141.95063782	
18.080000	144.03146362	
18.100000	146.44166565	
18.119999	148.90216064	
18.139999	151.38632202	
18.160000	153.28021240	
18.180000	154.51948547	
18.199999	154.97912598	
18.219999	155.33946228	
18.240000	155.95913696	
18.260000	156.82798767	
18.279999	157.38719177	
18.299999	157.51031494	
18.320000	157.41036987	
18.340000	157.61901855	
18.359999	157.94242859	
18.379999	158.41748047	
18.400000	158.82856750	
18.420000	159.36936951	
18.440001	159.89611816	
18.459999	160.50117493	
18.480000	161.10064697	
18.500000	161.57757568	
18.520000	161.86927795	
18.539999	162.02786255	
18.559999	162.11746216	
18.580000	162.21690369	
18.600000	162.28286743	
18.619999	162.45721436	
18.639999	162.76785278	
18.660000	163.11941528	
18.680000	163.40756226	
18.699999	163.69378662	
18.719999	163.79716492	
18.740000	163.79948425	
18.760000	163.49998474	
18.779999	163.11531067	
18.799999	162.44172668	
18.820000	161.42543030	
18.840000	160.04322815	
18.859999	158.10169983	
18.879999	155.84732056	
18.900000	153.16532898	
18.920000	150.56486511	
18.939999	147.76983643	
18.959999	145.04280090	
18.980000	142.47622681	
19.000000	140.47810364	
19.020000	139.42091370	
19.039999	139.23864746	
19.059999	139.92033386	
19.080000	141.25682068	
19.100000	143.11822510	
19.119999	145.38937378	
19.139999	147.87431335	
19.160000	150.44017029	
19.180000	152.95094299	
19.199999	155.03134155	
19.219999	156.52453613	
19.240000	157.00250244	
19.260000	157.09695435	
19.279999	157.16970825	
19.299999	157.51237488	
19.320000	157.75700378	
19.340000	157.77488708	
19.359999	157.79626465	
19.379999	158.12948608	
19.400000	158.77987671	
19.420000	159.53361511	
19.439999	160.25666809	
19.459999	160.95976257	
19.480000	161.58485413	
19.500000	162.19873047	
19.520000	162.55479431	
19.539999	162.95790100	
19.559999	163.01809692	
19.580000	163.14453125	
19.600000	163.20748901	
19.619999	163.36827087	
19.639999	163.39414978	
19.660000	163.30764771	
19.680000	163.07524109	
19.699999	162.47073364	
19.719999	161.50440979	
19.740000	160.14134216	
19.760000	158.62886047	
19.779999	156.65374756	
19.799999	154.35545349	
19.820000	151.80838013	
19.840000	149.26708984	
19.859999	146.65763855	
19.879999	144.28649902	
19.900000	142.20399475	
19.920000	140.92333984	
19.939999	140.28323364	
19.959999	140.35420227	
19.980000	140.97529602	
20.000000	142.14384460	
20.020000	143.87107849	
20.039999	145.89122009	
20.059999	148.30252075	
20.080000	150.64797974	
20.100000	152.94041443	
20.119999	154.61576843	
20.139999	155.74208069	
20.160000	155.97215271	
20.180000	155.87174988	
20.199999	155.85832214	
20.219999	156.43199158	
20.240000	157.02824402	
20.260000	157.39186096	
20.279999	157.37631226	
20.299999	157.44909668	
20.320000	157.86773682	
20.340000	158.58235168	
20.359999	159.25611877	
20.379999	159.85789490	
20.400000	160.35508728	
20.420000	160.85270691	
20.439999	161.21607971	
20.459999	161.42730713	
20.480000	161.51641846	
20.500000	161.52307129	
20.520000	161.48910522	
20.539999	161.54463196	
20.559999	161.66818237	
20.580000	161.96356201	
20.600000	162.11834717	
20.619999	162.31942749	
20.639999	162.29527283	
20.660000	162.29747009	
20.680000	162.06729126	
20.699999	161.58552551	
20.719999	161.02294922	
20.740000	160.03527832	
20.760000	158.93403625	
20.779999	157.23585510	
20.799999	155.46678162	
20.820000	153.32394409	
20.840000	151.16748047	
20.859999	148.64540100	
20.879999	146.04977417	
20.900000	143.36111450	
20.920000	140.95362854	
20.939999	138.83834839	
20.959999	137.22932434	
20.980000	136.39686584	
21.000000	136.40072632	
21.020000	137.15814209	
21.039999	138.36720276	
21.059999	140.18652344	
21.080000	142.23500061	
21.100000	144.69915771	
21.119999	146.98121643	
21.139999	149.17657471	
21.160000	150.58163452	
21.180000	151.33073425	
21.199999	151.69506836	
21.219999	152.32208252	
21.240000	153.27055359	
21.260000	154.32260132	
21.279999	154.95416260	
21.299999	155.43748474	
21.320000	155.76252747	
21.340000	156.28207397	
21.359999	156.80397034	
21.379999	157.46124268	
21.400000	158.13793945	
21.420000	158.84677124	
21.439999	159.55548096	
21.459999	160.19091797	
21.480000	160.66027832	
21.500000	160.93032837	
21.520000	161.06442261	
21.539999	161.18826294	
21.559999	161.41932678	
21.580000	161.80192566	
21.600000	162.13468933	
21.619999	162.43638611	
21.639999	162.58128357	
21.660000	162.76768494	
21.680000	162.89379883	
21.699999	163.00929260	
21.719999	163.10499573	
21.740000	163.06323242	
21.760000	162.98846436	
21.779999	162.73295593	
21.799999	162.43190002	
21.820000	161.95971680	
21.840000	161.34605408	
21.859999	160.20808411	
21.879999	158.66098022	
21.900000	156.55340576	
21.920000	154.15518188	
21.939999	151.23495483	
21.959999	148.41549683	
21.980000	145.65507507	
22.000000	143.49386597	
22.020000	141.53900146	
22.039999	140.09582520	
22.059999	138.97602844	
22.080000		
