Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
0.960000	-0.75771916	-0.53190541	0.33281049	-0.22853753	-0.08757459	0.24474213	-1.39819157	0.99025798	0.70321810	
0.980000	-0.76238728	-0.53361404	0.33778149	-0.23412174	-0.06839779	0.24390827	-0.51679754	0.90319598	0.19728006	
1.000000	-0.76700938	-0.53469175	0.34252757	-0.23096120	-0.04994196	0.23629913	-0.03743797	0.77780735	-0.15621546	
1.020000	-0.77174348	-0.53537977	0.34731141	-0.22769040	-0.03371312	0.23017274	0.14901075	0.61004072	-0.26713017	
1.040000	-0.77619702	-0.53576809	0.35178185	-0.22462921	-0.02283826	0.22578722	0.15950079	0.43103072	-0.22640935	
1.060000	-0.78066778	-0.53608871	0.35626408	-0.22071293	-0.01798718	0.22144465	0.12555763	0.26314583	-0.15697840	
1.080000	-0.78497463	-0.53634065	0.36057830	-0.21798825	-0.01635774	0.21860114	0.09598114	0.14585000	-0.10845707	
1.100000	-0.78933048	-0.53671747	0.36495042	-0.21705370	-0.01533999	0.21759509	0.06001869	0.11417215	-0.06690488	
1.120000	-0.79359901	-0.53705841	0.36923254	-0.21662901	-0.01404359	0.21708374	0.02854565	0.14412329	-0.03484567	
1.140000	-0.79799104	-0.53738856	0.37363696	-0.21665013	-0.01075292	0.21691681	0.01965711	0.18223757	-0.02531340	
1.160000	-0.80230510	-0.53752536	0.37795320	-0.21651527	-0.00532518	0.21658075	0.02393492	0.20542285	-0.02829680	
1.180000	-0.80667645	-0.53765363	0.38232642	-0.21583553	0.00019744	0.21583562	0.03526973	0.20794947	-0.03747889	
1.200000	-0.81095445	-0.53749353	0.38660741	-0.21483417	0.00414699	0.21487419	0.05153415	0.18458818	-0.05077233	
1.220000	-0.81526250	-0.53734285	0.39091808	-0.21380848	0.00690445	0.21391992	0.06947447	0.17507958	-0.06464854	
1.240000	-0.81948394	-0.53710788	0.39514604	-0.21224560	0.00922953	0.21244618	0.10289676	0.23898882	-0.08727098	
1.260000	-0.82377553	-0.53701323	0.39943868	-0.21048328	0.01216183	0.21083435	0.16861315	0.40307194	-0.11835510	
1.280000	-0.82795298	-0.53679639	0.40362176	-0.20744121	0.02002964	0.20840596	0.26978254	0.66412759	-0.13112457	
