Time	Knee_Angle_right X
4.380000	157.77239990	
4.400000	158.66307068	
4.420000	159.34016418	
4.440000	159.73129272	
4.460000	159.86228943	
4.480000	159.79052734	
4.500000	159.53518677	
4.520000	159.04325867	
4.540000	158.20985413	
4.560000	157.00225830	
4.580000	155.27841187	
4.600000	152.96090698	
4.620000	149.95053101	
4.640000	146.41125488	
4.660000	142.47862244	
4.680000	138.50587463	
4.700000	134.86665344	
4.720000	132.01556396	
4.740000	130.17745972	
4.760000	129.49359131	
4.780000	129.94847107	
4.800000	131.41893005	
4.820000	133.65612793	
4.840000	136.32835388	
4.860000	139.04487610	
4.880000	141.47099304	
4.900000	143.48786926	
4.920000	145.17565918	
4.940000	146.62402344	
4.960000	147.90933228	
4.980000	149.14881897	
5.000000	150.40148926	
5.020000	151.62936401	
5.040000	152.75370789	
5.060000	153.84498596	
5.080000	154.90391541	
5.100000	155.86273193	
5.120000	156.58105469	
5.140000	157.09458923	
5.160000	157.48985291	
5.180000	157.82539368	
5.200000	158.10324097	
5.220000	158.31001282	
5.240000	158.44815063	
5.260000	158.46266174	
5.280000	158.30549622	
5.300000	157.89105225	
5.320000	157.21577454	
5.340000	156.20628357	
5.360000	154.86029053	
5.380000	153.08482361	
5.400000	150.91285706	
5.420000	148.28628540	
5.440000	145.34129333	
5.460000	142.20463562	
5.480000	139.20770264	
5.500000	136.65940857	
5.520000	134.89546204	
5.540000	134.08468628	
5.560000	134.24798584	
5.580000	135.27252197	
5.600000	136.90373230	
5.620000	138.75317383	
5.640000	140.45544434	
5.660000	141.91488647	
5.680000	143.19866943	
5.700000	144.46841431	
5.720000	145.77742004	
5.740000	147.23667908	
5.760000	148.79658508	
5.780000	150.34722900	
5.800000	151.68885803	
5.820000	152.85881042	
5.840000	153.90248108	
5.860000	154.86888123	
5.880000	155.67613220	
5.900000	156.35188293	
5.920000	156.91226196	
5.940000	157.42167664	
5.960000	157.81269836	
5.980000	158.10995483	
6.000000	158.27415466	
6.020000	158.32020569	
6.040000	158.17689514	
6.060000	157.80004883	
6.080000	157.13304138	
6.100000	156.09721375	
6.120000	154.64237976	
6.140000	152.64927673	
6.160000	150.14179993	
6.180000	147.13192749	
6.200000	143.84927368	
6.220000	140.48910522	
6.240000	137.45616150	
6.260000	135.07162476	
6.280000	133.63230896	
6.300000	133.20672607	
6.320000	133.77221680	
6.340000	135.12130737	
6.360000	137.01573181	
6.380000	139.16934204	
6.400000	141.26477051	
6.420000	143.02772522	
6.440000	144.35668945	
6.460000	145.42616272	
6.480000	146.41036987	
6.500000	147.47113037	
6.520000	148.65116882	
6.540000	150.01416016	
6.560000	151.36732483	
6.580000	152.62680054	
6.600000	153.71012878	
6.620000	154.79522705	
6.640000	155.83859253	
6.660000	156.83003235	
6.680000	157.67457581	
6.700000	158.42127991	
6.720000	159.01460266	
6.740000	159.44326782	
6.760000	159.69081116	
6.780000	159.78623962	
6.800000	159.74699402	
6.820000	159.58355713	
6.840000	159.31829834	
6.860000	158.90560913	
6.880000	158.34143066	
6.900000	157.49278259	
6.920000	156.29460144	
6.940000	154.57748413	
6.960000	152.34667969	
6.980000	149.49630737	
7.000000	146.18879700	
7.020000	142.56610107	
7.040000	139.04087830	
7.060000	135.92552185	
7.080000	133.66459656	
7.100000	132.47145081	
7.120000	132.48919678	
7.140000	133.56044006	
7.160000	135.49357605	
7.180000	137.94177246	
7.200000	140.48272705	
7.220000	142.72038269	
7.240000	144.47520447	
7.260000	145.86656189	
7.280000	147.00910950	
7.300000	148.06048584	
7.320000	149.10763550	
7.340000	150.26472473	
7.360000	151.38528442	
7.380000	152.38357544	
7.400000	153.25912476	
7.420000	154.15032959	
7.440000	155.03166199	
7.460000	155.88232422	
7.480000	156.61921692	
7.500000	157.27427673	
7.520000	157.76747131	
7.540000	158.17382813	
7.560000	158.44407654	
7.580000	158.67933655	
7.600000	158.81010437	
7.620000	158.90899658	
7.640000	158.89413452	
7.660000	158.80679321	
7.680000	158.61105347	
7.700000	158.28933716	
7.720000	157.76258850	
7.740000	156.92008972	
7.760000	155.69601440	
7.780000	153.94506836	
7.800000	151.69955444	
7.820000	148.96148682	
7.840000	145.96157837	
7.860000	142.86935425	
7.880000	140.11888123	
7.900000	138.05020142	
7.920000	136.97248840	
7.940000	136.94407654	
7.960000	137.92404175	
7.980000	139.70126343	
8.000000	141.88583374	
8.020000	144.07550049	
8.040000	145.95135498	
8.059999	147.48417664	
8.080000	148.69075012	
8.099999	149.72137451	
8.120000	150.66320801	
8.139999	151.65896606	
8.160000	152.73532104	
8.179999	153.83250427	
8.200000	154.85353088	
8.220000	155.81738281	
8.240000	156.72926331	
8.260000	157.56259155	
8.280000	158.24490356	
8.300000	158.79870605	
8.320000	159.27705383	
8.340000	159.69534302	
8.360000	160.02697754	
8.380000	160.26434326	
8.400000	160.39819336	
8.420000	160.38725281	
8.440000	160.24223328	
8.460000	159.92124939	
