Time	Right_Heel_y_baseline X
5.020000	-0.02086820	
5.040000	-0.02314815	
5.060000	-0.02047163	
5.080000	-0.01690026	
5.100000	-0.01045676	
5.120000	-0.00399640	
5.140000	0.00485548	
5.160000	0.01191376	
5.180000	0.01810022	
5.200000	0.02063929	
5.220000	0.02031298	
5.240000	0.01636107	
5.260000	0.00890252	
5.280000	0.00017557	
5.300000	-0.00959992	
5.320000	-0.01583426	
5.340000	-0.01856133	
5.360000	-0.01831208	
5.380000	-0.01504749	
5.400000	-0.01033923	
5.420000	-0.00227617	
5.440000	0.00426781	
5.460000	0.01055352	
5.480000	0.01358263	
5.500000	0.01283470	
5.520000	0.00795075	
5.540000	-0.00094242	
5.560000	-0.00919576	
5.580000	-0.01773943	
5.600000	-0.02218263	
5.620000	-0.02322747	
5.640000	-0.02147004	
5.660000	-0.01867722	
5.680000	-0.01764162	
5.700000	-0.01316492	
5.720000	-0.00871515	
5.740000	-0.00120091	
5.760000	0.00320448	
5.780000	0.00818110	
5.800000	0.01006079	
5.820000	0.00939566	
5.840000	0.00540595	
5.860000	-0.00231397	
5.880000	-0.00879733	
5.900000	-0.01490161	
5.920000	-0.01737368	
5.940000	-0.01850729	
5.960000	-0.01783949	
5.980000	-0.01384936	
6.000000	-0.00847659	
6.020000	-0.00004800	
6.040000	0.00793186	
6.060000	0.01616094	
6.080000	0.02089900	
6.100000	0.02082257	
6.120000	0.01663312	
6.140000	0.00783713	
6.160000	-0.00251451	
6.180000	-0.01278849	
6.200000	-0.01851119	
6.220000	-0.02014369	
6.240000	-0.01902735	
6.260000	-0.01436387	
6.280000	-0.00862043	
6.300000	0.00078440	
6.320000	0.00920826	
6.340000	0.01963513	
6.360000	0.02593172	
6.380000	0.03182967	
6.400000	0.03378211	
6.420000	0.03225192	
6.440000	0.02524583	
6.460000	0.01378113	
6.480000	0.00189416	
6.500000	-0.00993054	
6.520000	-0.01692471	
6.540000	-0.02053903	
6.560000	-0.02009684	
6.580000	-0.01763442	
6.600000	-0.01424861	
6.620000	-0.00850679	
6.640000	-0.00251801	
6.660000	0.00621469	
6.680000	0.01383002	
6.700000	0.02160029	
6.720000	0.02603424	
6.740000	0.02743620	
6.760000	0.02591425	
6.780000	0.02087331	
6.800000	0.01322635	
6.820000	0.00158431	
6.840000	-0.00897713	
6.860000	-0.01599042	
6.880000	-0.01862030	
6.900000	-0.01658362	
6.920000	-0.01401848	
6.940000	-0.00972486	
6.960000	-0.00628622	
6.980000	-0.00001656	
7.000000	0.00583129	
7.020000	0.01260683	
7.040000	0.01611799	
7.060000	0.01927656	
7.080000	0.02001566	
7.100000	0.01706319	
7.120000	0.01026689	
7.140000	-0.00006299	
7.160000	-0.00842008	
7.180000	-0.01492380	
7.200000	-0.01782142	
7.220000	-0.01600768	
7.240000	-0.01197439	
7.260000	-0.00474270	
7.280000	0.00082651	
7.300000	0.00897999	
7.320000	0.01723085	
7.340000	0.02639362	
7.360000	0.03193159	
7.380000	0.03423744	
7.400000	0.03375518	
7.420000	0.02987581	
7.440000	0.02206199	
7.460000	0.01088803	
7.480000	-0.00096215	
7.500000	-0.01079457	
7.520000	-0.01674308	
7.540000	-0.01800080	
7.560000	-0.01740594	
7.580000	-0.01377313	
7.600000	-0.01006697	
7.620000	-0.00282457	
7.640000	0.00192191	
7.660000	0.00978051	
7.680000	0.01476823	
7.700000	0.02181357	
7.720000	0.02505536	
7.740000	0.02609280	
7.760000	0.02451311	
7.780000	0.01894391	
7.800000	0.01117364	
7.820000	-0.00075585	
7.840000	-0.00992334	
7.860000	-0.01603809	
7.880000	-0.01795332	
7.900000	-0.01654911	
7.920000	-0.01445675	
7.940000	-0.01033717	
7.960000	-0.00794153	
7.980000	-0.00125597	
8.000000	0.00555676	
8.020000	0.01623121	
8.040000	0.02285430	
8.059999	0.02776188	
8.080000	0.02844015	
8.099999	0.02688409	
8.120000	0.02235705	
8.139999	0.01396154	
8.160000	0.00472397	
8.179999	-0.00561617	
8.200000	-0.01234919	
8.220000	-0.01662308	
8.240000	-0.01723827	
8.260000	-0.01460223	
8.280000	-0.01084881	
8.300000	-0.00449695	
8.320000	-0.00010450	
8.340000	0.00718147	
8.360000	0.01253943	
8.380000	0.01897657	
8.400000	0.02178089	
8.420000	0.02380854	
8.440000	0.02347587	
8.460000	0.01960696	
8.480000	0.01341251	
8.500000	0.00322092	
8.520000	-0.00542918	
8.540000	-0.01332931	
8.559999	-0.01693623	
8.580000	-0.01871420	
8.599999	-0.01825209	
8.620000	-0.01506311	
8.639999	-0.01085620	
8.660000	-0.00436072	
8.679999	0.00059639	
8.700000	0.00835945	
8.720000	0.01414955	
8.740000	0.02113180	
8.760000	0.02452359	
8.780000	0.02576321	
8.800000	0.02189432	
8.820000	0.01377538	
8.840000	0.00440611	
8.860000	-0.00662053	
8.880000	-0.01364616	
8.900000	-0.01816744	
8.920000	-0.01831701	
8.940000	-0.01517859	
8.960000	-0.01140565	
8.980000	-0.00505604	
9.000000	-0.00018217	
9.020000	0.00758091	
9.040000	0.01467495	
9.059999	0.02276801	
9.080000	0.02733757	
9.099999	0.03116065	
9.120000	0.03235385	
9.139999	0.03011581	
9.160000	0.02574883	
9.179999	0.01657559	
9.200000	0.00843260	
9.220000	-0.00272082	
9.240000	-0.00996649	
9.260000	-0.01578823	
9.280000	-0.01766360	
9.300000	-0.01576830	
9.320000	-0.01173154	
9.340000	-0.00414373	
9.360000	0.00166793	
9.380000	0.00957216	
9.400000	0.01445138	
9.420000	0.02044366	
9.440000	0.02326547	
9.460000	0.02390572	
9.480000	0.01921472	
9.500000	0.01114137	
9.520000	0.00107966	
9.540000	-0.00890562	
9.559999	-0.01554823	
9.580000	-0.01896344	
9.599999	-0.01908323	
9.620000	-0.01725450	
9.639999	-0.01501009	
9.660000	-0.01090038	
9.679999	-0.00827090	
9.700000	-0.00136817	
9.719999	0.00593771	
9.740000	0.01618046	
9.760000	0.02215014	
9.780000	0.02543652	
9.800000	0.02527131	
9.820000	0.02363162	
9.840000	0.01946807	
9.860000	0.01156713	
9.880000	0.00289339	
9.900000	-0.00630102	
9.920000	-0.01219139	
9.940000	-0.01652794	
9.960000	-0.01762334	
9.980000	-0.01697773	
10.000000	-0.01542988	
10.020000	-0.01147242	
10.040000	-0.00786756	
10.059999	-0.00143556	
10.080000	0.00371858	
10.099999	0.01089008	
10.120000	0.01502590	
10.139999	0.01889253	
10.160000	0.01978718	
10.179999	0.01804720	
10.200000	0.01415960	
10.219999	0.00616908	
10.240000	-0.00177789	
10.260000	-0.01059894	
10.280000	-0.01538241	
10.300000	-0.01694383	
10.320000	-0.01627500	
10.340000	-0.01293808	
10.360000	-0.00955184	
10.380000	-0.00303170	
10.400000	0.00187033	
10.420000	0.00917046	
10.440000	0.01347558	
10.460000	0.01874809	
10.480000	0.02089921	
10.500000	0.02201946	
10.520000	0.01983978	
10.540000	0.01411523	
10.559999	0.00648941	
10.580000	-0.00405866	
10.599999	-0.01143132	
10.620000	-0.01646198	
10.639999	-0.01733649	
10.660000	-0.01478797	
10.679999	-0.01163763	
10.700000	-0.00525720	
10.719999	-0.00076982	
10.740000	0.00757289	
10.760000	0.01301634	
