Time	Paced_left_y_velocity X
5.100000	-0.22640455	
5.120000	-0.19112122	
5.140000	-0.14462508	
5.160000	-0.08811717	
5.180000	-0.04510505	
5.200000	-0.01589723	
5.220000	-0.00639241	
5.240000	-0.00263241	
5.260000	-0.00475018	
5.280000	-0.00248719	
5.300000	0.00243516	
5.320000	0.00499983	
5.340000	0.00405609	
5.360000	0.00561016	
5.380000	0.00927553	
5.400000	0.01230761	
5.420000	0.01254876	
5.440000	0.02228070	
5.460000	0.04077024	
5.480000	0.07566049	
5.500000	0.11557100	
5.520000	0.15343639	
5.540000	0.17211628	
5.560000	0.17206375	
5.580000	0.15304281	
5.600000	0.13243538	
5.620000	0.12081131	
5.640000	0.12924051	
5.660000	0.14900640	
5.680000	0.16523226	
5.700000	0.17250483	
5.720000	0.16084804	
5.740000	0.13454464	
5.760000	0.09503280	
5.780000	0.05919459	
5.800000	0.01978426	
5.820000	-0.00983607	
5.840000	-0.03473466	
5.860000	-0.04505954	
5.880000	-0.05131045	
5.900000	-0.04845725	
5.920000	-0.04853381	
5.940000	-0.06017093	
5.960000	-0.09237660	
5.980000	-0.14733505	
6.000000	-0.22799501	
6.020000	-0.30562058	
6.040000	-0.33947247	
6.060000	-0.31871834	
6.080000	-0.25643012	
6.100000	-0.17047903	
6.120000	-0.07755107	
6.140000	-0.01653209	
6.160000	0.01589003	
6.180000	0.03159858	
6.200000	0.06500244	
6.220000	0.10227023	
6.240000	0.14566942	
6.260000	0.18946472	
6.280000	0.23273654	
6.300000	0.25839522	
6.320000	0.26181516	
6.340000	0.24979833	
6.360000	0.20677848	
6.380000	0.14063480	
6.400000	0.05087621	
6.420000	-0.02508038	
6.440000	-0.09084191	
6.460000	-0.14606310	
6.480000	-0.21649453	
6.500000	-0.28687790	
6.520000	-0.32870644	
6.540000	-0.32368279	
6.560000	-0.27292082	
6.580000	-0.18933780	
6.600000	-0.08666927	
6.620000	-0.01592772	
6.640000	0.00940449	
6.660000	0.00621291	
6.680000	0.00726313	
6.700000	0.01006548	
6.720000	0.02997684	
6.740000	0.06159852	
6.760000	0.10011508	
6.780000	0.13552912	
6.800000	0.18042375	
6.820000	0.22139075	
6.840000	0.24818955	
6.860000	0.25243780	
6.880000	0.23598239	
6.900000	0.20293039	
6.920000	0.15072432	
6.940000	0.09948843	
6.960000	0.04825261	
6.980000	0.00289989	
7.000000	-0.05360908	
7.020000	-0.12248793	
7.040000	-0.21904829	
7.060000	-0.30736345	
7.080000	-0.35391161	
7.100000	-0.34207678	
7.120000	-0.28133890	
7.140000	-0.18800968	
7.160000	-0.09069184	
7.180000	-0.02746016	
7.200000	-0.00294509	
7.220000	0.00031156	
7.240000	0.00003191	
7.260000	-0.00611332	
7.280000	-0.00538925	
7.300000	0.00063200	
7.320000	0.00836954	
7.340000	0.01509003	
7.360000	0.03269388	
7.380000	0.05514787	
7.400000	0.08437804	
7.420000	0.11796711	
7.440000	0.16291420	
7.460000	0.21296321	
7.480000	0.26344907	
7.500000	0.29715094	
7.520000	0.30490601	
7.540000	0.28517887	
7.560000	0.24099681	
7.580000	0.18393676	
7.600000	0.12970196	
7.620000	0.09649739	
7.640000	0.07252175	
7.660000	0.04624909	
7.680000	-0.00568597	
7.700000	-0.07969343	
7.720000	-0.18400002	
7.740000	-0.31432664	
7.760000	-0.43341804	
7.780000	-0.48661909	
7.800000	-0.45024943	
7.820000	-0.34943807	
7.840000	-0.21987686	
7.860000	-0.09714647	
7.880000	-0.01336534	
7.900000	0.01147016	
7.920000	0.00091779	
7.940000	-0.00627866	
7.960000	-0.00439137	
7.980000	0.00234259	
8.000000	0.00357789	
8.020000	0.00053383	
8.040000	0.00224045	
8.059999	0.00675420	
8.080000	0.01973050	
8.099999	0.04572643	
8.120000	0.09121767	
8.139999	0.13892037	
8.160000	0.18334556	
8.179999	0.22067463	
8.200000	0.25930586	
8.220000	0.28201416	
8.240000	0.28550699	
8.260000	0.27190423	
8.280000	0.24479556	
8.300000	0.20250371	
8.320000	0.14828673	
8.340000	0.10609821	
8.360000	0.05768771	
8.380000	-0.00418586	
8.400000	-0.09676611	
8.420000	-0.19800742	
8.440000	-0.32025731	
8.460000	-0.42313907	
8.480000	-0.46391153	
8.500000	-0.41569361	
8.520000	-0.31703138	
8.540000	-0.20425944	
8.559999	-0.09355355	
8.580000	-0.02003162	
8.599999	0.00322728	
8.620000	-0.00888028	
8.639999	-0.01059261	
8.660000	-0.00529581	
8.679999	0.00883154	
8.700000	0.02150920	
8.720000	0.05276468	
8.740000	0.09871481	
8.760000	0.16144459	
8.780000	0.22932115	
8.800000	0.29885367	
8.820000	0.35579172	
8.840000	0.38655955	
8.860000	0.37926602	
8.880000	0.33814117	
8.900000	0.27695027	
8.920000	0.20933305	
8.940000	0.15354237	
8.960000	0.10978562	
8.980000	0.07495350	
9.000000	0.02682655	
9.020000	-0.04602806	
9.040000	-0.15822078	
9.059999	-0.29551396	
9.080000	-0.44263121	
9.099999	-0.54438788	
9.120000	-0.56048000	
9.139999	-0.48579690	
9.160000	-0.35385412	
9.179999	-0.20534152	
9.200000	-0.07757076	
9.220000	-0.00807332	
9.240000	0.00840692	
9.260000	0.00306976	
9.280000	0.00382351	
9.300000	0.00571149	
9.320000	0.01197935	
9.340000	0.01977787	
9.360000	0.03554106	
9.380000	0.06620918	
9.400000	0.12008568	
9.420000	0.19411841	
9.440000	0.28219280	
9.460000	0.37319633	
9.480000	0.44727644	
9.500000	0.48008031	
9.520000	0.46071708	
9.540000	0.39697137	
9.559999	0.30866283	
9.580000	0.21630803	
9.599999	0.15125930	
9.620000	0.12374302	
9.639999	0.11384805	
9.660000	0.09793685	
9.679999	0.05274447	
9.700000	-0.02299838	
9.719999	-0.13038547	
9.740000	-0.24772580	
9.760000	-0.37809330	
9.780000	-0.51624167	
9.800000	-0.62288201	
9.820000	-0.64698881	
9.840000	-0.57618827	
9.860000	-0.43896592	
9.880000	-0.26330936	
9.900000	-0.10427940	
9.920000	-0.00905705	
9.940000	0.01533689	
9.960000	0.00655483	
9.980000	-0.00091499	
10.000000	0.00236984	
10.020000	0.01171212	
10.040000	0.03584591	
10.059999	0.08627458	
10.080000	0.15721650	
10.099999	0.22210179	
10.120000	0.27936929	
10.139999	0.31956932	
10.160000	0.33399189	
10.179999	0.31555483	
10.200000	0.28624150	
10.219999	0.25414661	
10.240000	0.21549219	
10.260000	0.17512278	
10.280000	0.14029835	
10.300000	0.11321382	
10.320000	0.08220290	
10.340000	0.05405233	
10.360000	0.01664943	
10.380000	-0.01473439	
10.400000	-0.04616546	
10.420000	-0.06872630	
10.440000	-0.10182499	
10.460000	-0.15820172	
10.480000	-0.25787231	
10.500000	-0.38541067	
10.520000	-0.48724124	
10.540000	-0.52045095	
10.559999	-0.46551052	
10.580000	-0.34385601	
10.599999	-0.19153020	
10.620000	-0.06818682	
10.639999	-0.00241225	
10.660000	0.01176732	
10.679999	0.00842989	
10.700000	0.00550138	
10.719999	0.01416181	
