Time	Right_Forefoot_y_baseline X
5.000000	0.00646746	
5.020000	0.00437275	
5.040000	0.00077134	
5.060000	-0.00308704	
5.080000	-0.00401869	
5.100000	-0.00425918	
5.120000	-0.00434251	
5.140000	-0.00408119	
5.160000	-0.00376087	
5.180000	-0.00255573	
5.200000	-0.00166245	
5.220000	0.00073712	
5.240000	0.00284956	
5.260000	0.00477783	
5.280000	0.00515816	
5.300000	0.00171722	
5.320000	-0.00158325	
5.340000	-0.00463374	
5.360000	-0.00445925	
5.380000	-0.00420906	
5.400000	-0.00424144	
5.420000	-0.00368930	
5.440000	-0.00316934	
5.460000	-0.00127304	
5.480000	0.00007029	
5.500000	0.00289699	
5.520000	0.00448062	
5.540000	0.00352813	
5.560000	0.00029531	
5.580000	-0.00309364	
5.600000	-0.00394732	
5.620000	-0.00431137	
5.640000	-0.00461930	
5.660000	-0.00456712	
5.680000	-0.00412656	
5.700000	-0.00287481	
5.720000	-0.00191367	
5.740000	0.00049579	
5.760000	0.00274849	
5.780000	0.00416917	
5.800000	0.00153737	
5.820000	-0.00174949	
5.840000	-0.00430641	
5.860000	-0.00478388	
5.880000	-0.00515556	
5.900000	-0.00534119	
5.920000	-0.00508171	
5.940000	-0.00416636	
5.960000	-0.00340550	
5.980000	-0.00128274	
6.000000	0.00041370	
6.020000	0.00201300	
6.040000	0.00036915	
6.060000	-0.00220861	
6.080000	-0.00456877	
6.100000	-0.00504749	
6.120000	-0.00492744	
6.140000	-0.00459352	
6.160000	-0.00426000	
6.180000	-0.00349893	
6.200000	-0.00307158	
6.220000	-0.00170761	
6.240000	-0.00074647	
6.260000	-0.00128955	
6.280000	-0.00265370	
6.300000	-0.00437592	
6.320000	-0.00459373	
6.340000	-0.00492744	
6.360000	-0.00480720	
6.380000	-0.00404632	
6.400000	-0.00328505	
6.420000	-0.00065181	
6.440000	0.00166772	
6.460000	0.00467037	
6.480000	0.00577877	
6.500000	0.00336561	
6.520000	0.00004286	
6.540000	-0.00361897	
6.560000	-0.00411975	
6.580000	-0.00435983	
6.600000	-0.00435983	
6.620000	-0.00344861	
6.640000	-0.00264752	
6.660000	-0.00072522	
6.680000	0.00093903	
6.700000	0.00566493	
6.720000	0.00936471	
6.740000	0.01074702	
6.760000	0.00674219	
6.780000	0.00144064	
6.800000	-0.00212838	
6.820000	-0.00332959	
6.840000	-0.00334960	
6.860000	-0.00314499	
6.880000	-0.00281870	
6.900000	-0.00210342	
6.920000	-0.00164843	
6.940000	0.00182015	
6.960000	0.00515836	
6.980000	0.00929417	
7.000000	0.01032998	
7.020000	0.00919682	
7.040000	0.00406274	
7.060000	-0.00128871	
7.080000	-0.00470984	
7.100000	-0.00518692	
7.120000	-0.00544658	
7.140000	-0.00544658	
7.160000	-0.00506687	
7.180000	-0.00380583	
7.200000	-0.00272754	
7.220000	-0.00008419	
7.240000	0.00313419	
7.260000	0.00740714	
7.280000	0.00999522	
7.300000	0.00994758	
7.320000	0.00511691	
7.340000	-0.00001696	
7.360000	-0.00388071	
7.380000	-0.00409356	
7.400000	-0.00400342	
7.420000	-0.00397743	
7.440000	-0.00378500	
7.460000	-0.00287686	
7.480000	-0.00199534	
7.500000	0.00010742	
7.520000	0.00275385	
7.540000	0.00691482	
7.560000	0.00968893	
7.580000	0.00782956	
7.600000	0.00293453	
7.620000	-0.00244270	
7.640000	-0.00432518	
7.660000	-0.00496148	
7.680000	-0.00511554	
7.700000	-0.00519186	
7.720000	-0.00503799	
7.740000	-0.00288141	
7.760000	-0.00088239	
7.780000	0.00343078	
7.800000	0.00584127	
7.820000	0.00757277	
7.840000	0.00533904	
7.860000	0.00131132	
7.880000	-0.00246271	
7.900000	-0.00482267	
7.920000	-0.00535089	
7.940000	-0.00550495	
7.960000	-0.00537872	
7.980000	-0.00469644	
8.000000	-0.00380212	
8.020000	-0.00108947	
8.040000	0.00137526	
8.059999	0.00549312	
8.080000	0.00772622	
8.099999	0.00796650	
8.120000	0.00322846	
8.139999	-0.00131264	
8.160000	-0.00433920	
8.179999	-0.00449947	
8.200000	-0.00483298	
8.220000	-0.00513411	
8.240000	-0.00521454	
8.260000	-0.00466880	
8.280000	-0.00412326	
8.300000	-0.00144443	
8.320000	0.00202145	
8.340000	0.00686264	
8.360000	0.00960685	
8.380000	0.00918320	
8.400000	0.00457323	
8.420000	-0.00033809	
8.440000	-0.00371179	
8.460000	-0.00415461	
8.480000	-0.00432868	
8.500000	-0.00420906	
8.520000	-0.00424144	
8.540000	-0.00382893	
8.559999	-0.00344861	
8.580000	-0.00146362	
8.599999	0.00015856	
8.620000	0.00327383	
8.639999	0.00481640	
8.660000	0.00485207	
8.679999	0.00154707	
8.700000	-0.00186437	
8.720000	-0.00415316	
8.740000	-0.00487402	
8.760000	-0.00548804	
8.780000	-0.00500932	
8.800000	-0.00420824	
8.820000	-0.00228575	
8.840000	-0.00024135	
8.860000	0.00474483	
8.880000	0.00862817	
8.900000	0.01145653	
8.920000	0.01130122	
8.940000	0.00608383	
8.960000	0.00104031	
8.980000	-0.00435117	
9.000000	-0.00473645	
9.020000	-0.00512792	
9.040000	-0.00520794	
9.059999	-0.00517103	
9.080000	-0.00517103	
9.099999	-0.00444996	
9.120000	-0.00365898	
9.139999	-0.00101687	
9.160000	0.00162648	
9.179999	0.00484052	
9.200000	0.00535966	
9.220000	0.00303973	
9.240000	0.00051147	
9.260000	-0.00234886	
9.280000	-0.00305548	
9.300000	-0.00365072	
9.320000	-0.00303423	
9.340000	-0.00187984	
9.360000	-0.00131904	
9.380000	0.00006679	
9.400000	0.00091490	
9.420000	0.00371830	
9.440000	0.00568864	
9.460000	0.00736198	
9.480000	0.00546753	
9.500000	0.00123706	
9.520000	-0.00250293	
9.540000	-0.00507306	
9.559999	-0.00529251	
9.580000	-0.00578050	
9.599999	-0.00585435	
9.620000	-0.00547463	
9.639999	-0.00502087	
9.660000	-0.00272465	
9.679999	-0.00064190	
9.700000	0.00417000	
9.719999	0.00721389	
9.740000	0.00926653	
9.760000	0.00661740	
9.780000	0.00229186	
9.800000	-0.00104244	
9.820000	-0.00284635	
9.840000	-0.00300640	
9.860000	-0.00334382	
9.880000	-0.00323863	
9.900000	-0.00252706	
9.920000	-0.00165482	
9.940000	0.00046815	
9.960000	0.00309810	
9.980000	0.00680220	
10.000000	0.00932387	
10.020000	0.00942679	
10.040000	0.00457096	
10.059999	-0.00040740	
10.080000	-0.00457269	
10.099999	-0.00503139	
10.120000	-0.00543585	
10.139999	-0.00556931	
10.160000	-0.00574875	
10.179999	-0.00559488	
10.200000	-0.00530468	
10.219999	-0.00296845	
10.240000	-0.00076565	
10.260000	0.00442719	
10.280000	0.00757937	
10.300000	0.00963201	
10.320000	0.00731950	
10.340000	0.00228484	
10.360000	-0.00185034	
10.380000	-0.00472717	
10.400000	-0.00493075	
10.420000	-0.00535563	
10.440000	-0.00562045	
10.460000	-0.00557694	
10.480000	-0.00523518	
10.500000	-0.00323574	
10.520000	-0.00150137	
10.540000	0.00266682	
10.559999	0.00526355	
10.580000	0.00641878	
10.599999	0.00252141	
10.620000	-0.00151952	
10.639999	-0.00388999	
10.660000	-0.00428165	
10.679999	-0.00461517	
10.700000	-0.00487649	
10.719999	-0.00457537	
10.740000	-0.00268959	
10.760000	-0.00086465	
10.780000	0.00349472	
10.800000	0.00662731	
10.820000	0.00850607	
10.840000	0.00501028	
10.860000	0.00003564	
10.880000	-0.00384915	
10.900000	-0.00556064	
10.920000	-0.00605978	
10.940000	-0.00635658	
10.960000	-0.00598593	
10.980000	-0.00470655	
11.000000	-0.00352575	
11.020000	-0.00041069	
11.040000	0.00193009	
11.059999	0.00514476	
11.080000	0.00614013	
11.099999	0.00327712	
11.120000	-0.00064087	
11.139999	-0.00437179	
11.160000	-0.00446956	
11.179999	-0.00509512	
11.200000	-0.00587127	
11.219999	-0.00611155	
11.240000	-0.00574689	
11.259999	-0.00355069	
11.280000	-0.00167812	
11.300000	0.00267836	
11.320000	0.00555086	
11.340000	0.00784379	
11.360000	0.00764702	
11.380000	0.00383483	
11.400000	0.00039040	
11.420000	-0.00380914	
11.440000	-0.00453019	
11.460000	-0.00517103	
11.480000	-0.00517103	
