Time	Left_Heel_y_baseline X
5.060000	-0.01005372	
5.080000	-0.00675882	
5.100000	-0.00130185	
5.120000	0.00361450	
5.140000	0.01046611	
5.160000	0.01517305	
5.180000	0.01956639	
5.200000	0.02092643	
5.220000	0.02019399	
5.240000	0.01580086	
5.260000	0.00792062	
5.280000	-0.00044763	
5.300000	-0.00703764	
5.320000	-0.01014093	
5.340000	-0.01074071	
5.360000	-0.01020460	
5.380000	-0.00743271	
5.400000	-0.00408705	
5.420000	0.00212364	
5.440000	0.00753415	
5.460000	0.01621458	
5.480000	0.02354355	
5.500000	0.03149340	
5.520000	0.03567609	
5.540000	0.03729120	
5.560000	0.03497888	
5.580000	0.02824354	
5.600000	0.01819569	
5.620000	0.00625844	
5.640000	-0.00301625	
5.660000	-0.00886829	
5.680000	-0.01084326	
5.700000	-0.00942099	
5.720000	-0.00719956	
5.740000	-0.00310795	
5.760000	0.00089175	
5.780000	0.00787559	
5.800000	0.01449834	
5.820000	0.02285637	
5.840000	0.02838171	
5.860000	0.03271753	
5.880000	0.03377399	
5.900000	0.03232798	
5.920000	0.02853340	
5.940000	0.02021161	
5.960000	0.01125258	
5.980000	0.00163317	
6.000000	-0.00466022	
6.020000	-0.00870207	
6.040000	-0.01019068	
6.060000	-0.00898886	
6.080000	-0.00728554	
6.100000	-0.00441232	
6.120000	-0.00219108	
6.140000	0.00293468	
6.160000	0.00826924	
6.180000	0.01562299	
6.200000	0.01983844	
6.220000	0.02188730	
6.240000	0.02093810	
6.260000	0.01615624	
6.280000	0.01023684	
6.300000	0.00142683	
6.320000	-0.00478896	
6.340000	-0.00939131	
6.360000	-0.01107089	
6.380000	-0.01116814	
6.400000	-0.01081768	
6.420000	-0.00895345	
6.440000	-0.00708267	
6.460000	-0.00401090	
6.480000	-0.00156859	
6.500000	0.00368062	
6.520000	0.00782892	
6.540000	0.01247752	
6.560000	0.01396836	
6.580000	0.01341158	
6.600000	0.01052956	
6.620000	0.00530964	
6.640000	0.00028254	
6.660000	-0.00567985	
6.680000	-0.00918701	
6.700000	-0.01094091	
6.720000	-0.01094091	
6.740000	-0.01017450	
6.760000	-0.00923921	
6.780000	-0.00641492	
6.800000	-0.00354417	
6.820000	0.00114475	
6.840000	0.00498416	
6.860000	0.00941353	
6.880000	0.01194754	
6.900000	0.01438412	
6.920000	0.01530078	
6.940000	0.01485923	
6.960000	0.01253954	
6.980000	0.00753087	
7.000000	0.00206551	
7.020000	-0.00448172	
7.040000	-0.00833954	
7.060000	-0.01105779	
7.080000	-0.01152533	
7.100000	-0.01138675	
7.120000	-0.01062280	
7.140000	-0.00798316	
7.160000	-0.00511302	
7.180000	0.00067025	
7.200000	0.00548200	
7.220000	0.01228714	
7.240000	0.01612042	
7.260000	0.01983373	
7.280000	0.02071701	
7.300000	0.02072868	
7.320000	0.01973505	
7.340000	0.01675397	
7.360000	0.01355180	
7.380000	0.00870730	
7.400000	0.00391397	
7.420000	-0.00175036	
7.440000	-0.00569274	
7.460000	-0.00717561	
7.480000	-0.00679342	
7.500000	-0.00595680	
7.520000	-0.00564300	
7.540000	-0.00417875	
7.560000	-0.00238985	
7.580000	0.00193593	
7.600000	0.00652701	
7.620000	0.01300156	
7.640000	0.01744422	
7.660000	0.02114341	
7.680000	0.02232005	
7.700000	0.02139111	
7.720000	0.01978378	
7.740000	0.01484123	
7.760000	0.01018158	
7.780000	0.00258258	
7.800000	-0.00275238	
7.820000	-0.00815347	
7.840000	-0.01060848	
7.860000	-0.01152554	
7.880000	-0.01117468	
7.900000	-0.00939499	
7.920000	-0.00764151	
7.940000	-0.00420189	
7.960000	-0.00124986	
7.980000	0.00429431	
8.000000	0.00890873	
8.020000	0.01573926	
8.040000	0.01953629	
8.059999	0.02254522	
8.080000	0.02214748	
8.099999	0.01910007	
8.120000	0.01399969	
8.139999	0.00610839	
8.160000	-0.00041898	
8.179999	-0.00506307	
8.200000	-0.00666733	
8.220000	-0.00792399	
8.240000	-0.00848980	
8.260000	-0.00749597	
8.280000	-0.00501169	
8.300000	-0.00080217	
8.320000	0.00362535	
8.340000	0.01046467	
8.360000	0.01681374	
8.380000	0.02386923	
8.400000	0.02796105	
8.420000	0.03088686	
8.440000	0.03132862	
8.460000	0.02871354	
8.480000	0.02350180	
8.500000	0.01475954	
8.520000	0.00594668	
8.540000	-0.00319557	
8.559999	-0.00869040	
8.580000	-0.01094091	
8.599999	-0.01035628	
8.620000	-0.00817209	
8.639999	-0.00542457	
8.660000	-0.00015122	
8.679999	0.00464538	
8.700000	0.01212461	
8.720000	0.01743461	
8.740000	0.02301849	
8.760000	0.02523993	
8.780000	0.02480453	
8.800000	0.02101895	
8.820000	0.01380235	
8.840000	0.00517453	
8.860000	-0.00348788	
8.880000	-0.00851150	
8.900000	-0.01038228	
8.920000	-0.01049916	
8.940000	-0.00968547	
8.960000	-0.00866421	
8.980000	-0.00622578	
9.000000	-0.00423853	
9.020000	0.00035173	
9.040000	0.00399278	
9.059999	0.00858960	
9.080000	0.01079854	
9.099999	0.01614866	
9.120000	0.01985542	
9.139999	0.02395952	
9.160000	0.02433801	
9.179999	0.02199702	
9.200000	0.01734658	
9.220000	0.00927249	
9.240000	0.00123645	
9.260000	-0.00603786	
9.280000	-0.00951597	
9.300000	-0.01024328	
9.320000	-0.01026785	
9.340000	-0.01064081	
9.360000	-0.01108237	
9.380000	-0.00967667	
9.400000	-0.00792319	
9.420000	-0.00426187	
9.440000	-0.00168097	
9.460000	0.00409678	
9.480000	0.00989969	
9.500000	0.01812568	
9.520000	0.02338859	
9.540000	0.02752298	
9.559999	0.02869961	
9.580000	0.02678421	
9.599999	0.02202977	
9.620000	0.01417308	
9.639999	0.00726905	
9.660000	0.00008132	
9.679999	-0.00398654	
9.700000	-0.00796166	
9.719999	-0.00973479	
9.740000	-0.01117468	
9.760000	-0.01090980	
9.780000	-0.00814283	
9.800000	-0.00515887	
9.820000	0.00053842	
9.840000	0.00550738	
9.860000	0.01306358	
9.880000	0.01892649	
9.900000	0.02621390	
9.920000	0.03039803	
9.940000	0.03318650	
9.960000	0.03289418	
9.980000	0.02886686	
10.000000	0.02308646	
10.020000	0.01344126	
10.040000	0.00449778	
10.059999	-0.00383854	
10.080000	-0.00857352	
10.099999	-0.01115708	
10.120000	-0.01217711	
10.139999	-0.01241109	
10.160000	-0.01144181	
10.179999	-0.00817455	
10.200000	-0.00476708	
10.219999	0.00141865	
10.240000	0.00620542	
10.260000	0.01358762	
10.280000	0.01805936	
10.300000	0.02232844	
10.320000	0.02335380	
10.340000	0.02173787	
10.360000	0.01798648	
10.380000	0.01140222	
10.400000	0.00420916	
10.420000	-0.00363097	
10.440000	-0.00865193	
10.460000	-0.01142524	
10.480000	-0.01210198	
10.500000	-0.01290749	
10.520000	-0.01295170	
10.540000	-0.01225019	
10.559999	-0.01142032	
10.580000	-0.00744520	
10.599999	-0.00430034	
10.620000	0.00202437	
10.639999	0.00590000	
10.660000	0.01201694	
10.679999	0.01527131	
10.700000	0.01879117	
10.719999	0.02006996	
10.740000	0.01956639	
10.760000	0.01723891	
10.780000	0.01220649	
10.800000	0.00720273	
10.820000	0.00063320	
10.840000	-0.00345206	
10.860000	-0.00702597	
10.880000	-0.00827548	
10.900000	-0.00969796	
10.920000	-0.00984575	
10.940000	-0.00810741	
10.960000	-0.00535989	
10.980000	-0.00110002	
11.000000	0.00199959	
11.020000	0.00746515	
11.040000	0.01163046	
11.059999	0.01733266	
11.080000	0.02005358	
11.099999	0.02098088	
11.120000	0.01915452	
11.139999	0.01405947	
11.160000	0.00809729	
11.179999	-0.00110187	
11.200000	-0.00680181	
11.219999	-0.01077694	
11.240000	-0.01091921	
11.259999	-0.01129135	
11.280000	-0.01096036	
11.300000	-0.00955753	
11.320000	-0.00780384	
11.340000	-0.00457853	
11.360000	-0.00178558	
11.380000	0.00365359	
11.400000	0.00784795	
11.420000	0.01259604	
11.440000	0.01434666	
11.460000	0.01355180	
11.480000	0.01112279	
11.500000	0.00615384	
11.520000	0.00198035	
11.540000	-0.00426923	
11.559999	-0.00801039	
11.580000	-0.01079312	
