Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
0.960000	-0.49192405	-0.53149444	0.33109677	0.23061550	-0.01057237	0.23085772	0.02479118	0.32241219	-0.00064969	
0.980000	-0.48686245	-0.53179884	0.33616751	0.22857937	-0.00802750	0.22872029	0.01810950	0.25471219	0.00931850	
1.000000	-0.48272866	-0.53209883	0.34031218	0.22610454	-0.00469039	0.22615318	0.02578117	0.20971921	0.02431136	
1.020000	-0.47795901	-0.53216213	0.34508225	0.22676343	0.00199601	0.22677222	0.08446385	0.18339939	0.08445466	
1.040000	-0.47388607	-0.53192073	0.34916234	0.23002814	0.00712598	0.23013848	0.17888676	0.13880813	0.17906123	
1.060000	-0.46902904	-0.53162074	0.35402864	0.23511279	0.00921065	0.23529314	0.23024252	0.06704029	0.23064686	
1.080000	-0.46432096	-0.53131402	0.35874671	0.24189840	0.00837743	0.24204342	0.21727642	-0.01043265	0.21707866	
1.100000	-0.45920312	-0.53125083	0.36386493	0.24735197	0.00591328	0.24742265	0.14658266	-0.05018520	0.14527869	
1.120000	-0.45441657	-0.53125846	0.36865148	0.24956778	0.00470330	0.24961209	0.01944768	-0.04385182	0.01810304	
1.140000	-0.44908866	-0.53119785	0.37397975	0.24878050	0.00344937	0.24880442	-0.10871597	0.00970271	-0.10860906	
1.160000	-0.44445479	-0.53113455	0.37861407	0.24403088	0.00434096	0.24406949	-0.16321173	0.11807939	-0.15795274	
1.180000	-0.43908402	-0.53084999	0.38399237	0.23688838	0.00606825	0.23696609	-0.17851833	0.28562063	-0.15651491	
1.200000	-0.43480390	-0.53096455	0.38827401	0.23261870	0.01195992	0.23292595	-0.19218516	0.47653687	-0.13696416	
1.220000	-0.43007487	-0.53063107	0.39301479	0.23290443	0.02409194	0.23414718	-0.21819414	0.69428211	-0.09742028	
1.240000	-0.42597488	-0.53047752	0.39711764	0.22986883	0.04211017	0.23369412	-0.30467349	0.94882232	-0.06279483	
1.260000	-0.42093146	-0.52926695	0.40230432	0.22396164	0.06189543	0.23235717	-0.50808996	1.18033361	-0.07070132	
1.280000	-0.41610891	-0.52771586	0.40737018	0.21130708	0.08834200	0.22903055	-0.78235137	1.39389789	-0.04033811	
1.300000	-0.41191283	-0.52558517	0.41207623	0.19381014	0.11895791	0.22740570	-1.05866885	1.67336059	0.16752103	
1.320000	-0.40837771	-0.52343506	0.41621387	0.16785431	0.15285233	0.22702181	-1.32643783	1.96565711	0.52995527	
1.340000	-0.40558851	-0.51986051	0.42074785	0.13814725	0.19374432	0.23795277	-1.57799685	2.13132310	0.91151041	
